Peak time,Peak total count
2024-10-08 23:59:25.593910,18369461.87255855
2024-10-09 00:02:39.513260,46591610.3863339
2024-10-09 00:15:35.583390,4883555.778248637
2024-10-09 00:20:26.848285,7148561.997777217
2024-10-09 00:26:55.200225,14934253.545828566
2024-10-09 00:36:37.761755,20453549.816221114
2024-10-09 00:41:28.961525,13665347.987664923
2024-10-09 00:46:20.342950,28177999.92664928
2024-10-09 00:52:48.196235,23510138.460411694
2024-10-09 00:56:02.275825,16864252.299005162
2024-10-09 01:11:08.484195,23480909.678715665
2024-10-09 01:15:59.492955,10319854.793763533
