Date,Mean,Std,diff_count,Diff_error,Img_count
2024-06-02 02:50:40.294060,4.8567375303260825,160.33907986680657,4151701.0305677624,8602.177641116667,152146621.3692227
2024-06-02 02:51:06.117100,4.106107511469574,135.0680906870707,3142399.8159727715,8387.890416592321,143855811.0974954
2024-06-02 02:52:05.255085,-5.986025036273813,111.29997962687384,1239480.1974937108,5977.75492296194,72706588.03548512
2024-06-02 02:52:31.772500,-1.2756016753508426,109.82621404278568,873914.9823489201,5088.641655591972,52662462.78040055
2024-06-02 02:53:30.214360,-21.622300024084637,136.63393534854902,673402.3135292111,3689.0407978019516,27891446.32922373
2024-06-02 02:53:56.441000,-15.072729729253435,164.1712777767584,897459.2838254146,2897.3328566608247,17686534.648398165
2024-06-02 02:54:55.142510,-24.943395228892165,189.26276704971426,2079118.2883952232,3810.0870763729536,31112645.34748362
2024-06-02 02:55:20.964560,-18.45492060881263,197.01991707008375,2321392.6815900607,4008.859365504877,34463299.50638239
2024-06-02 02:56:20.103785,-10.592866835454934,198.49208619412875,2455157.0458028167,4253.846722140791,38645580.91673872
2024-06-02 02:56:45.925710,-0.8891930471765169,206.83900693850356,2906421.8863718547,4417.023310260593,41926611.73314274
2024-06-02 02:57:45.629350,-13.286727602756223,201.60417574756224,2575689.898823405,3942.216028641177,33657824.331774235
2024-06-02 02:58:10.884985,-11.57854235077805,201.5702324828203,2539103.1963547617,3978.031639433165,34188574.64501739
2024-06-02 02:59:10.230850,-10.10389583688239,221.53609060849593,2660641.938379823,4150.781072388301,37118608.96017377
2024-06-02 02:59:35.845135,0.8005322117333302,215.38500511289868,2700907.0487155872,4327.45083989655,40154568.5921583
2024-06-02 03:00:34.951640,-11.315946379374152,206.80688025460242,2051892.4962494168,4010.928492188707,34226987.235151775
2024-06-02 03:01:00.773890,-3.732128905676338,203.44782164830767,1922373.8477711063,3921.1691710547007,32673509.18383072
2024-06-02 03:01:59.912265,0.953378604618376,202.92740765737034,1584265.0702009876,3594.729262204141,27428422.007294435
2024-06-02 03:02:25.733390,10.073361216685367,203.54812585603523,1792575.7244274125,4135.119433066969,35991001.17588359
2024-06-02 03:03:24.871890,-2.833921742552854,198.67054827353886,734811.435413172,2914.2970066053767,17721065.520831287
2024-06-02 03:03:50.694015,3.588801818683804,193.5597028019284,673006.475664053,2897.78276764964,17467296.412638463
