filter2_file,mean_counts_under_contours,qs_mean_counts
2024-06-01T07:08:09.224,3476.679271359341,2711.8917480575014
2024-06-01T07:09:34.278,3459.4675818019014,2704.9839371197695
2024-06-01T07:10:59.337,3449.988639500123,2693.054461707599
2024-06-01T07:12:24.391,3434.845375143773,2679.6391604285773
2024-06-01T07:13:49.447,3425.848973131649,2671.2267126053994
2024-06-01T07:15:14.503,3436.1464122698258,2697.8240315703724
2024-06-01T07:16:39.559,3449.602420205807,2678.073623641647
2024-06-01T07:18:04.615,3451.2483086885904,2689.1924988358883
2024-06-01T07:19:29.672,3452.872362989699,2696.0424447975165
2024-06-01T07:20:54.728,3464.8232719638245,2698.9678302965576
2024-06-01T07:22:19.784,3461.4094250452335,2691.4023618034907
2024-06-01T07:23:44.840,3465.547454318653,2696.8933542549353
2024-06-01T07:25:09.896,3472.619949697955,2696.7302649733424
2024-06-01T07:26:34.953,3482.941087274949,2699.937679037836
2024-06-01T07:28:00.884,3476.891785997915,2701.6602530401806
2024-06-01T07:29:25.651,3479.365161434815,2703.9757726002663
2024-06-01T07:30:50.253,3480.6141014193076,2699.4735217599064
2024-06-01T07:32:14.795,3482.40992629144,2703.293808897595
2024-06-01T07:33:39.563,3492.4206977205154,2713.263137944077
2024-06-01T07:35:04.330,3484.6299310798586,2712.878653740472
2024-06-01T07:36:29.991,3474.8027522452153,2699.1612505811618
2024-06-01T07:37:53.867,3470.9548069588113,2697.753354305033
2024-06-01T07:39:18.635,3456.463225596848,2691.9884598656677
2024-06-01T07:40:43.404,3445.485936947719,2688.0278935516876
2024-06-01T07:42:08.176,3452.296063807809,2690.219732661652
2024-06-01T07:43:32.972,3445.6077245192373,2685.7126400181455
2024-06-01T07:44:57.739,3459.5133051048824,2703.5828795959465
2024-06-01T07:46:22.509,3464.920361805505,2696.53847779711
2024-06-01T07:47:47.277,3468.8753977042006,2707.732265453994
2024-06-01T07:49:12.440,3466.607611622281,2696.5133834273765
2024-06-01T07:50:36.813,3463.627358803883,2692.508418864513
2024-06-01T07:52:01.581,3481.0552222347314,2706.00310969289
2024-06-01T07:53:26.350,3494.1864551960734,2705.670526865615
2024-06-01T07:54:51.117,3480.6114306795025,2698.6136099594537
2024-06-01T07:56:15.886,3487.8981901906627,2708.981510023181
2024-06-01T07:57:40.654,3496.1873871236903,2705.3399658692024
2024-06-01T07:59:05.421,3500.7320244204348,2714.9355118186463
2024-06-01T08:00:30.197,3475.985660624009,2703.952208356044
2024-06-01T08:01:54.798,3476.524641770469,2697.121305373104
2024-06-01T08:03:19.373,3480.284984171226,2707.229026364519
2024-06-01T08:04:43.981,3461.6270600717794,2695.1626384573524
2024-06-01T08:06:08.558,3453.8008395482702,2695.627949663547
2024-06-01T08:07:33.135,3450.7030400337976,2692.931933281247
2024-06-01T08:08:57.710,3447.324885862416,2686.2912916573514
2024-06-01T08:10:22.286,3447.3534951566285,2697.361121083727
2024-06-01T08:11:46.863,3465.3523858340304,2701.5115241354
2024-06-01T08:13:11.470,3451.0112966012903,2687.963099647253
2024-06-01T08:14:36.787,3431.9437936220734,2683.357877573583
2024-06-01T08:16:00.720,3429.223261094248,2681.447613915813
2024-06-01T08:17:25.328,3418.588938175203,2676.605107148203
2024-06-01T08:18:49.967,3413.4996399403713,2673.912418059228
2024-06-01T08:20:14.576,3421.19223256772,2675.795121678056
2024-06-01T08:21:39.249,3421.9700712135304,2684.698497462346
2024-06-01T08:23:03.888,3425.8622389844177,2691.4733178820784
2024-06-01T08:24:28.528,3436.105741678406,2692.9685060794045
2024-06-01T08:25:53.169,3435.493582928444,2698.041309885987
2024-06-01T08:27:17.810,3425.16900916291,2700.788422032628
2024-06-01T08:28:42.449,3424.7280648795972,2686.5386248289497
2024-06-01T08:30:07.900,3421.293521352883,2686.997329663841
2024-06-01T08:31:31.539,3422.238200364247,2694.905317411161
2024-06-01T08:32:55.922,3414.478154018087,2691.6840109943346
2024-06-01T08:34:20.307,3423.8530459998656,2688.8294567823227
2024-06-01T08:35:44.723,3427.5958545318726,2683.3233238639205
2024-06-01T08:37:09.107,3421.362726875003,2702.9215267233767
2024-06-01T08:38:33.491,3434.249205897587,2689.593905728095
2024-06-01T08:39:57.875,3432.5133522879514,2678.408461643818
2024-06-01T08:41:22.261,3441.2787360736975,2689.6178514134012
2024-06-01T08:45:48.533,3926.4727191956426,2780.902576286061
2024-06-01T08:47:14.925,4130.799264542354,2908.1678333184104
2024-06-01T08:48:41.654,3836.818972692817,2832.288527305488
2024-06-01T08:50:10.346,3699.2819957492698,2741.2889714848093
2024-06-01T08:51:38.899,3777.852920475274,2811.7046988753114
2024-06-01T08:53:07.594,3653.3884997637388,2739.224893091238
2024-06-01T08:54:36.181,3746.37171420183,2831.2393440599453
2024-06-01T08:56:04.873,3645.681760804194,2770.153808145819
2024-06-01T08:57:35.785,3612.8178882743587,2764.2198172608614
2024-06-01T08:59:06.697,3596.8640183949074,2765.030573240107
2024-06-01T09:00:37.641,3580.9744790396394,2733.3917721704584
2024-06-01T09:02:08.554,3563.04324068124,2569.1850493805914
2024-06-01T09:03:39.466,3559.9528339337444,2778.1809117901335
2024-06-01T09:05:10.378,3568.2749617701947,2761.685874994216
2024-06-01T09:06:41.289,3560.286677417179,2706.9097801009525
2024-06-01T09:08:12.207,3571.134180118826,2769.669874302608
2024-06-01T09:09:43.147,3563.376563993537,2792.513995668775
2024-06-01T09:11:14.580,3555.7357632949156,2768.177042625155
2024-06-01T09:12:44.971,3549.6102568990577,2776.8970666760965
