Peak time & Peak total count
1 & 2024-JUL-10 04:06:16 & 78.82 & - & N/A \\
2 & 2024-JUL-10 04:10:51 & 42.00 & -  & N/A \\
3 & 2024-JUL-10 04:20:00 & 77.51 & 19  & N/A \\
4 & 2024-JUL-10 04:33:46 & 59.06 & 14  & N/A \\
5 & 2024-JUL-10 04:41:24 & 71.50 & -  & N/A \\
6 & 2024-JUL-10 04:49:04 & 77.21 & -  & N/A \\
7 & 2024-JUL-10 04:53:40 & 65.15 & -  & N/A \\
8 & 2024-JUL-10 05:02:51 & 32.08 & -  & N/A \\
9 & 2024-JUL-10 05:05:55 & 36.00 & -  & N/A \\
10 & 2024-JUL-10 05:15:07 & 9.79  & -  & N/A \\
11 & 2024-JUL-10 05:24:21 & 30.54 & -  & N/A \\
12 & 2024-JUL-10 05:32:02 & 46.73 & -  & N/A \\
13 & 2024-JUL-10 05:38:11 & 90.47 & -  & N/A \\
14 & 2024-JUL-10 05:54:40 & 174.02 & - & N/A \\
15 & 2024-JUL-10 05:56:20 & 202.49 & - & N/A \\
