 & Peak time & Peak total count
1 & 2024-10-08 23:59:25.593 & 18.37 & - \\
2 & 2024-10-09 00:02:39.513 & 46.59 & - \\
3 & 2024-10-09 00:15:35.583 & 4.88 & - \\
4 & 2024-10-09 00:20:26.848 & 7.15 & - \\
5 & 2024-10-09 00:26:55.200 & 14.93 & - \\
6 & 2024-10-09 00:36:37.761 & 20.45 & - \\
7 & 2024-10-09 00:41:28.961 & 13.67 & - \\
8 & 2024-10-09 00:46:20.342 & 28.18 & - \\
9 & 2024-10-09 00:52:48.196 & 23.51 & - \\
10 & 2024-10-09 00:56:02.275 & 16.86 & - \\
11 & 2024-10-09 01:11:08.484 & 23.48 & - \\
12 & 2024-10-09 01:15:59.492 & 10.32 & - \\
