 & Peak time & Peak total count
1 & 2024-11-01 12:40:09.863 & 4.73501783380818
2 & 2024-11-01 12:44:21.873 & 1.87864695655575
3 & 2024-11-01 12:48:34.739 & 14.6006529706467
4 & 2024-11-01 12:51:23.314 & 25.4189615069246
5 & 2024-11-01 13:02:38.345 & 42.5405627392395
6 & 2024-11-01 13:13:40.179 & 72.2960943730964
7 & 2024-11-01 13:19:18.484 & 32.3818096097445
8 & 2024-11-01 13:26:21.273 & 3.15951466470096
9 & 2024-11-01 13:31:59.699 & 3.66850055113891
10 & 2024-11-01 13:36:14.132 & 6.65507923143822
11 & 2024-11-01 13:41:53.429 & 5.46530117370062
12 & 2024-11-01 13:46:10.198 & 7.31544492486157
13 & 2024-11-01 13:51:49.528 & 5.75834845012493
14 & 2024-11-01 13:56:03.958 & 6.76322913624949
15 & 2024-11-01 14:00:18.358 & 4.94947603058
16 & 2024-11-01 14:07:23.735 & 23.2453771021083
17 & 2024-11-01 14:14:29.112 & 35.1882120264402
