 & Peak time & Peak total count
1 & 2024-07-10 13:42:07.116 & 126.49 & - \\
2 & 2024-07-10 13:45:46.124 & 36.47 & - \\
3 & 2024-07-10 13:54:53.644 & 52.94 & - \\
4 & 2024-07-10 14:02:11.661 & 18.90 & - \\
5 & 2024-07-10 14:13:08.687 & 61.01 & - \\
6 & 2024-07-10 14:22:16.207 & 78.48 & - \\
7 & 2024-07-10 14:31:23.727 & 39.53 & - \\
8 & 2024-07-10 14:35:02.735 & 42.86 & - \\
9 & 2024-07-10 14:38:41.744 & 45.80 & - \\
10 & 2024-07-10 14:49:38.767 & 25.35 & - \\
11 & 2024-07-10 14:56:56.785 & 31.68 & - \\
12 & 2024-07-10 15:07:53.809 & 73.48 & - \\
13 & 2024-07-10 15:11:32.851 & 64.78 & - \\
14 & 2024-07-10 15:14:20.583 & 54.28 & - \\
15 & 2024-07-10 15:20:49.415 & 52.73 & - \\
