Peak time,Peak total count
2024-07-10 04:06:16.911,105448552.20019531
2024-07-10 04:09:19.857,45823532.90527344
2024-07-10 04:20:00.915,77642178.27539062
2024-07-10 04:33:46.354,61070143.66894531
2024-07-10 04:41:24.916,70406655.2890625
2024-07-10 04:49:04.120,77332338.14746094
2024-07-10 04:53:40.211,65295010.85644531
2024-07-10 05:02:51.990,36369530.5390625
2024-07-10 05:05:55.989,39114263.02246094
2024-07-10 05:24:21.559,31263745.728515625
2024-07-10 05:32:02.839,48605609.2578125
2024-07-10 05:38:11.864,88449971.94238281
