date_time,suit_coun
2024-11-01T12:37:20,804064.884765625
2024-11-01T12:40:09,770373.99609375
2024-11-01T12:48:34,10059641.995117188
2024-11-01T12:51:23,19286406.525390625
2024-11-01T13:02:38,34447081.19921875
2024-11-01T13:13:40,61349114.353515625
2024-11-01T13:19:18,24317728.071289062
2024-11-01T13:24:56,1420219.6875
2024-11-01T13:29:10,373218.90234375
2024-11-01T13:37:38,660288.763671875
2024-11-01T13:41:53,374520.90625
2024-11-01T13:47:35,5690614.962890625
2024-11-01T13:51:49,2073802.28125
2024-11-01T13:56:03,3583816.244140625
2024-11-01T14:00:18,641225.80078125
2024-11-01T14:07:23,23214833.868164062
2024-11-01T14:14:29,26691779.557617188
