# Date,FullDiskIntensity,ROI_Intensity,OutsideROI_Intensity
2024-11-01 12:31:06.623000,61585938.553046,3897245.63234213,57693686.3518513
2024-11-01 12:31:18.638000,61599649.2021555,3890151.94345315,57714353.4784695
2024-11-01 12:31:30.623000,61563459.0842433,3886128.85900302,57682242.294749
2024-11-01 12:31:42.623000,61611313.2382842,3881414.66498714,57734784.787994
2024-11-01 12:31:54.622000,61636088.1022279,3877436.38677722,57763616.5321986
2024-11-01 12:32:06.624000,61622978.1099299,3874181.479468,57753662.8524486
2024-11-01 12:32:18.622000,61606304.1636948,3869537.60893929,57741732.4039847
2024-11-01 12:32:30.622000,61651175.1529054,3866827.03544591,57789219.1640002
2024-11-01 12:32:42.622000,61626575.1613168,3855699.8139143,57775793.9667969
2024-11-01 12:32:54.622000,61637623.9091428,3853597.69581997,57788962.0675569
2024-11-01 12:33:06.624000,61604009.6345404,3847769.22883343,57761180.7448464
2024-11-01 12:33:18.622000,61622004.2912063,3847208.16487499,57779830.2270809
2024-11-01 12:33:30.623000,61645511.347673,3842817.62194418,57807516.8530223
2024-11-01 12:33:42.622000,61643095.4748924,3837829.36864295,57810197.4789844
2024-11-01 12:33:54.622000,61680414.642092,3838519.86424505,57846832.7004652
2024-11-01 12:34:06.624000,61669357.2879641,3835272.6145772,57839043.2764287
2024-11-01 12:34:18.622000,61691208.8499267,3830544.51938507,57865580.5351255
2024-11-01 12:34:30.622000,61689837.0355662,3830191.28748901,57864619.5192596
2024-11-01 12:34:42.623000,61658324.2985161,3829623.74367204,57833622.6198499
2024-11-01 12:34:54.623000,61592829.3206077,3828808.68225563,57768941.3278278
2024-11-01 12:35:06.624000,61603937.1045073,3827090.82836116,57781823.8479433
2024-11-01 12:35:18.622000,61599768.0650218,3828786.6194753,57776078.6372648
2024-11-01 12:35:30.623000,61574868.5453827,3832060.41344989,57747911.1875955
2024-11-01 12:35:42.622000,61553959.3741339,3827974.02934075,57730919.4804765
2024-11-01 12:35:54.642000,61575201.1591233,3834439.17274226,57745720.2515295
2024-11-01 12:36:06.624000,61542145.5984926,3825642.67327815,57721500.8344213
2024-11-01 12:36:18.622000,61533286.5418372,3825437.1534591,57712827.9943685
2024-11-01 12:36:30.622000,61522251.3404858,3823064.83628388,57704233.3634628
2024-11-01 12:36:42.622000,61509488.8850203,3819401.09934622,57695068.4548998
2024-11-01 12:36:54.623000,61498449.3996853,3813804.20378846,57689606.9100652
2024-11-01 12:37:06.623000,61478734.5603469,3816307.85883943,57667396.3479166
2024-11-01 12:37:18.622000,61458963.40095,3813830.81225849,57650177.3813066
2024-11-01 12:37:30.623000,61453700.5500529,3814355.77348687,57644262.3651584
2024-11-01 12:37:42.622000,61435085.9569369,3814615.41988401,57625461.5516409
2024-11-01 12:37:54.622000,61433027.7177563,3812077.44590135,57625961.282565
2024-11-01 12:38:06.623000,61419500.3817893,3815251.92058094,57609238.7828938
2024-11-01 12:38:18.622000,61380999.8552134,3811880.08907826,57574175.57794
2024-11-01 12:38:30.622000,61349599.112525,3812713.94856754,57541884.4503646
2024-11-01 12:38:42.622000,61327786.3883818,3815019.98058477,57517834.9816052
2024-11-01 12:38:54.623000,61274072.7257935,3815318.38994158,57463776.7192243
2024-11-01 12:39:06.623000,61249145.4116985,3817691.39123804,57436475.0283714
2024-11-01 12:39:18.622000,61254889.144909,3816128.85210841,57443843.0040671
2024-11-01 12:39:30.622000,61251618.3388525,3817608.09207347,57439049.8666926
2024-11-01 12:39:42.623000,61222809.8733666,3821075.39469956,57406766.5145025
2024-11-01 12:39:54.622000,61218856.0801016,3823733.67484655,57400276.8187561
2024-11-01 12:40:06.634000,61208079.3818015,3827224.47752632,57385794.8935748
2024-11-01 12:40:18.622000,61183508.9274818,3827958.87229051,57360421.784476
2024-11-01 12:40:30.615000,61187278.7475244,3831395.31476499,57360944.4242394
2024-11-01 12:40:42.622000,61192065.6917699,3832566.30883681,57364524.5137582
2024-11-01 12:40:54.622000,61262447.5320048,3832632.95569247,57434779.7309447
2024-11-01 12:41:06.623000,61380296.6543563,3832710.9224746,57552630.1728099
2024-11-01 12:41:18.622000,61400769.0942028,3833264.44464745,57572570.4672652
2024-11-01 12:41:30.623000,61295572.8978142,3825625.4968433,57475050.7960869
2024-11-01 12:41:42.623000,61296025.1846551,3820382.48574366,57480687.8345182
2024-11-01 12:41:54.638000,61293012.6829961,3820825.74781622,57477177.6050369
2024-11-01 12:42:06.623000,61246834.5135751,3816607.9361063,57435197.9338242
2024-11-01 12:42:18.622000,61233704.321027,3819711.01225001,57419019.1377251
2024-11-01 12:42:30.622000,61204292.9944957,3815480.73147618,57393849.1164047
2024-11-01 12:42:42.631000,61217088.421266,3812182.97735329,57409897.484089
2024-11-01 12:42:54.622000,61268397.2118229,3814955.42639667,57458428.9959391
2024-11-01 12:43:06.623000,61335587.4101719,3812038.88006762,57528705.3513871
2024-11-01 12:43:18.622000,61414669.5274709,3810476.77618987,57609285.1114997
2024-11-01 12:43:30.622000,61460084.8382265,3807162.81458831,57657920.2741299
2024-11-01 12:43:42.623000,61488541.1553163,3806791.95095449,57686830.1884711
2024-11-01 12:43:54.622000,61544935.2561933,3803588.16030513,57746426.0081122
2024-11-01 12:44:06.634000,61607020.6379647,3807575.03311996,57804574.5012012
2024-11-01 12:44:18.622000,61636375.1064786,3805113.31455013,57836399.9960011
2024-11-01 12:44:30.623000,61708921.3142367,3809055.86253804,57904895.0692167
2024-11-01 12:44:42.622000,61744484.0615812,3809488.41724464,57940076.964418
2024-11-01 12:44:54.622000,61767605.0220283,3804089.87803449,57968624.0442358
2024-11-01 12:45:06.623000,61829599.7887492,3806583.86703337,58028023.8194882
2024-11-01 12:45:18.622000,61879649.8506112,3806273.67650308,58078395.1015213
2024-11-01 12:45:30.623000,61977811.7758508,3809772.62275675,58173158.0540386
2024-11-01 12:45:42.622000,62059383.2498282,3809956.70876284,58254530.9633352
2024-11-01 12:45:54.622000,62157091.7138804,3816324.37780417,58345925.541615
2024-11-01 12:46:06.623000,62237015.2960356,3824168.50149458,58417964.3183283
2024-11-01 12:46:18.622000,62185105.2842409,3821584.21739553,58368598.6071496
2024-11-01 12:46:30.639000,62262388.656445,3819394.79850346,58448127.9252515
2024-11-01 12:46:42.623000,62274477.8453794,3820906.31708239,58458714.2174084
2024-11-01 12:46:54.622000,62316375.5878514,3822095.00906296,58499322.6048653
2024-11-01 12:47:06.624000,62331416.8624161,3826775.75773454,58509719.6721752
2024-11-01 12:47:18.622000,62321973.430244,3828927.50559584,58498134.8358066
2024-11-01 12:47:30.623000,62354384.1771528,3824049.63013881,58535433.7983286
2024-11-01 12:47:42.622000,62380170.0072187,3820922.5811478,58564341.5064303
2024-11-01 12:47:54.630000,62434268.3910992,3824143.80214691,58615164.8896398
2024-11-01 12:48:06.624000,62556146.4622873,3830614.49971818,58730540.2102513
2024-11-01 12:48:18.638000,62685656.7059165,3854542.11379614,58836194.8815145
2024-11-01 12:48:30.622000,62830349.6357408,3849980.98812784,58985421.703319
2024-11-01 12:48:42.623000,62954269.7798586,3840550.78276224,59118892.3672193
2024-11-01 12:48:54.622000,63062741.612883,3833320.80813067,59234546.9450341
2024-11-01 12:49:06.623000,63217980.0442358,3833717.4781165,59389341.4818451
2024-11-01 12:49:18.622000,63308497.7842434,3829700.96334996,59483740.9486644
2024-11-01 12:49:30.623000,63445188.219323,3826016.6615072,59624252.1936916
2024-11-01 12:49:42.622000,63570113.2783144,3828283.38194028,59746896.3948125
2024-11-01 12:49:54.630000,63713283.3358901,3831776.93165541,59886717.3535713
2024-11-01 12:50:06.633000,63905643.0367476,3824312.0724045,60086455.7327702
2024-11-01 12:50:18.622000,64102851.0243838,3827646.4871793,60280325.163566
2024-11-01 12:50:30.623000,64301001.9932309,3826220.0524128,60479856.3715476
2024-11-01 12:50:42.623000,64478850.0890784,3827582.99733592,60656278.7850039
2024-11-01 12:50:54.622000,64662638.3748573,3834336.26951865,60833415.1493925
2024-11-01 12:51:06.623000,64848830.9159692,3853534.76157415,61000393.682058
2024-11-01 12:51:18.622000,64996376.5355598,3854513.99003384,61146986.622725
2024-11-01 12:51:30.622000,65137765.3736052,3856755.47845848,61286247.7316728
2024-11-01 12:51:42.623000,65198384.0392331,3852578.91494557,61350800.6203778
2024-11-01 12:51:54.622000,65298901.6186491,3844502.26729463,61459405.5323782
2024-11-01 12:52:06.634000,65398096.3267884,3842515.1845362,61560595.5985443
2024-11-01 12:52:18.622000,65470968.1689566,3840221.51008544,61635644.5910392
2024-11-01 12:52:30.622000,65547518.2879324,3832941.71992747,61719624.1062872
2024-11-01 12:52:42.622000,65617188.5368846,3830536.01795632,61791750.3930789
2024-11-01 12:52:54.622000,65680391.6411193,3835686.74915601,61849738.2980462
2024-11-01 12:53:06.623000,65729101.2397193,3832177.68229513,61901987.6462432
2024-11-01 12:53:18.622000,65756115.8568956,3831522.12133121,61929710.9093291
2024-11-01 12:53:30.623000,65822365.3388922,3836060.78145517,61991347.9606966
2024-11-01 12:53:42.639000,65816954.4532079,3834171.31506654,61987834.4701962
2024-11-01 12:53:54.622000,65771483.7676821,3828233.62237824,61948352.4991916
2024-11-01 12:54:06.624000,65752118.7996347,3823667.95285604,61933553.2024254
2024-11-01 12:54:18.622000,65720198.9232003,3825485.4320402,61899682.0896727
2024-11-01 12:54:30.647000,65679939.9341841,3821980.55858727,61862975.2021671
2024-11-01 12:54:42.622000,65613449.4569804,3823432.44107865,61795114.2023486
2024-11-01 12:54:54.622000,65554843.1133266,3822937.65211216,61737053.6606891
2024-11-01 12:55:06.623000,65470278.2009344,3821055.58537474,61654238.7885896
2024-11-01 12:55:18.646000,65401326.1087045,3819877.70346158,61586435.274464
2024-11-01 12:55:30.622000,65320687.2408704,3818877.57828226,61506920.2917661
2024-11-01 12:55:42.623000,65239733.9231444,3813984.40990397,61430863.591486
2024-11-01 12:55:54.630000,65185216.8493279,3814217.10304962,61376004.544928
2024-11-01 12:56:06.623000,65112133.9650636,3817682.67963221,61299590.1842792
2024-11-01 12:56:18.622000,65018042.1709071,3816842.50805377,61206258.2412184
2024-11-01 12:56:30.622000,64926828.8647057,3817667.85621701,61114141.6759974
2024-11-01 12:56:42.638000,64840222.0893859,3821475.2824552,61023936.0400219
