2024-06-02T06:39:54.616,25068109
2024-06-02T06:40:06.623,24932263
2024-06-02T06:40:18.622,24905166
2024-06-02T06:40:30.622,24932031
2024-06-02T06:40:42.616,24865154
2024-06-02T06:40:54.624,25036876
2024-06-02T06:41:06.639,24833747
2024-06-02T06:41:18.615,24956603
2024-06-02T06:41:30.622,24942811
2024-06-02T06:41:42.622,24975233
2024-06-02T06:41:54.624,25018933
2024-06-02T06:42:06.615,24959739
2024-06-02T06:42:18.622,24980478
2024-06-02T06:42:30.638,25001962
2024-06-02T06:42:42.632,24967941
2024-06-02T06:42:54.623,25411036
2024-06-02T06:43:06.638,25116355
2024-06-02T06:43:18.630,25048832
2024-06-02T06:43:30.622,25130810
2024-06-02T06:43:42.622,24988907
2024-06-02T06:43:54.623,25013305
2024-06-02T06:44:06.623,25017837
2024-06-02T06:44:18.622,24977341
2024-06-02T06:44:30.616,24961949
2024-06-02T06:44:42.622,24935389
2024-06-02T06:44:54.623,24913450
2024-06-02T06:45:06.638,24900610
2024-06-02T06:45:18.615,24894537
2024-06-02T06:45:30.622,24962365
2024-06-02T06:45:42.622,24910973
2024-06-02T06:45:54.624,24917766
2024-06-02T06:46:06.623,24922395
2024-06-02T06:46:18.622,24883605
2024-06-02T06:46:30.622,24856795
2024-06-02T06:46:42.632,25013644
2024-06-02T06:46:54.624,24945854
2024-06-02T06:47:06.624,24970745
2024-06-02T06:47:18.615,25019113
2024-06-02T06:47:30.622,25054300
2024-06-02T06:47:42.622,25082443
2024-06-02T06:47:54.615,25035349
2024-06-02T06:48:06.624,24990398
2024-06-02T06:48:18.622,25019241
2024-06-02T06:48:30.638,24974608
2024-06-02T06:48:42.616,25029066
2024-06-02T06:48:54.624,24952330
2024-06-02T06:49:06.638,25025905
2024-06-02T06:49:18.615,25012174
2024-06-02T06:49:30.622,24940843
2024-06-02T06:49:42.616,24963154
2024-06-02T06:49:54.623,25085919
2024-06-02T06:50:06.615,25032231
2024-06-02T06:50:18.622,24907297
2024-06-02T06:50:30.622,25004516
2024-06-02T06:50:42.622,24964389
2024-06-02T06:50:54.616,25076036
2024-06-02T06:51:06.623,24955059
2024-06-02T06:51:18.615,24938397
2024-06-02T06:51:30.622,25007303
2024-06-02T06:51:42.646,25017795
2024-06-02T06:51:54.634,24978358
2024-06-02T06:52:06.624,25026622
2024-06-02T06:52:18.622,25016170
2024-06-02T06:52:30.622,24882099
2024-06-02T06:52:42.623,24930975
2024-06-02T06:52:54.624,25094346
2024-06-02T06:53:06.624,24960021
2024-06-02T06:53:18.622,24997066
2024-06-02T06:53:30.622,24929369
2024-06-02T06:53:42.615,24967021
2024-06-02T06:53:54.623,24989156
2024-06-02T06:54:06.616,24978895
2024-06-02T06:54:18.622,24952691
2024-06-02T06:54:30.622,25062375
2024-06-02T06:54:42.616,24999636
2024-06-02T06:54:54.624,25007646
2024-06-02T06:55:06.623,24987749
2024-06-02T06:55:18.615,25005382
2024-06-02T06:55:30.622,24999448
2024-06-02T06:55:42.642,25056613
2024-06-02T06:55:54.623,25000313
2024-06-02T06:56:06.623,24999436
2024-06-02T06:56:18.622,24970810
2024-06-02T06:56:30.622,24998232
2024-06-02T06:56:42.631,24928216
2024-06-02T06:56:54.623,25003060
2024-06-02T06:57:06.625,24924721
2024-06-02T06:57:18.616,25055441
2024-06-02T06:57:30.622,24862377
2024-06-02T06:57:42.616,24929634
2024-06-02T06:57:54.623,24991647
2024-06-02T06:58:06.616,24897302
2024-06-02T06:58:18.622,24976422
2024-06-02T06:58:30.630,24929945
2024-06-02T06:58:42.623,24971544
2024-06-02T06:58:54.624,25087726
2024-06-02T06:59:06.623,24918086
2024-06-02T06:59:18.622,24989299
2024-06-02T06:59:30.622,24934688
2024-06-02T06:59:42.615,24920741
2024-06-02T06:59:54.638,24922427
2024-06-02T07:00:06.624,24911828
2024-06-02T07:00:18.622,24969476
2024-06-02T07:00:30.622,24888044
2024-06-02T07:00:42.642,24911847
2024-06-02T07:00:54.615,25017787
2024-06-02T07:01:06.623,24980457
2024-06-02T07:01:18.622,25025213
2024-06-02T07:01:30.622,24953155
2024-06-02T07:01:42.622,24909360
2024-06-02T07:01:54.623,24999318
2024-06-02T07:02:06.623,24925453
2024-06-02T07:02:18.622,24935703
2024-06-02T07:02:30.622,24966338
2024-06-02T07:02:42.622,24962090
2024-06-02T07:02:54.638,24910547
2024-06-02T07:03:06.624,24967402
2024-06-02T07:03:18.622,24870103
2024-06-02T07:03:30.622,24909776
2024-06-02T07:03:42.615,24981255
2024-06-02T07:03:54.623,24861959
2024-06-02T07:04:06.623,24959700
2024-06-02T07:04:18.630,24940018
2024-06-02T07:04:30.622,24928874
2024-06-02T07:04:42.622,24967664
2024-06-02T07:04:54.623,24931776
2024-06-02T07:05:06.624,24923051
2024-06-02T07:05:18.615,24932357
2024-06-02T07:05:30.622,25026950
2024-06-02T07:05:42.622,24958059
2024-06-02T07:05:54.634,24980871
2024-06-02T07:06:06.623,24951107
2024-06-02T07:06:18.622,25030829
2024-06-02T07:06:30.647,25000033
2024-06-02T07:06:42.622,25006755
2024-06-02T07:06:54.624,24942865
2024-06-02T07:07:06.623,24952484
2024-06-02T07:07:18.622,25008256
2024-06-02T07:07:30.622,24984240
2024-06-02T07:07:42.616,24890226
2024-06-02T07:07:54.623,24941691
2024-06-02T07:08:06.623,25057475
2024-06-02T07:08:18.622,24978824
2024-06-02T07:08:30.622,25064174
2024-06-02T07:08:42.622,24981157
2024-06-02T07:08:54.615,25031075
2024-06-02T07:09:06.624,25007713
2024-06-02T07:09:18.622,25088993
2024-06-02T07:09:30.630,25094295
2024-06-02T07:09:42.622,25048591
2024-06-02T07:09:54.638,25012651
2024-06-02T07:10:06.624,25058667
2024-06-02T07:10:18.622,24988382
2024-06-02T07:10:30.622,25002752
2024-06-02T07:10:42.623,24967220
2024-06-02T07:10:54.622,24895244
2024-06-02T07:11:06.624,25047732
2024-06-02T07:11:18.622,25060467
2024-06-02T07:11:30.622,24941134
2024-06-02T07:11:42.623,24924610
2024-06-02T07:11:54.622,24902704
2024-06-02T07:12:06.623,24962588
2024-06-02T07:12:18.622,24922337
2024-06-02T07:12:30.622,25020136
2024-06-02T07:12:42.642,24898191
2024-06-02T07:12:54.615,24927687
2024-06-02T07:13:06.624,24931415
2024-06-02T07:13:18.622,24893594
2024-06-02T07:13:30.622,24957694
2024-06-02T07:13:42.616,24927517
2024-06-02T07:13:54.622,24941276
2024-06-02T07:14:06.623,24880730
2024-06-02T07:14:18.622,24899255
2024-06-02T07:14:30.622,24906798
2024-06-02T07:14:42.632,24912395
2024-06-02T07:14:54.615,24942802
2024-06-02T07:15:06.623,24898255
2024-06-02T07:15:18.622,24962610
2024-06-02T07:15:30.630,24937190
