Peak time,Peak total count
2024-11-01 00:26:43.619100,19954909.64668946
2024-11-01 00:36:54.678150,14552215.260990765
2024-11-01 00:39:53.162600,10606214.546542235
2024-11-01 00:48:49.843710,7792028.944150524
2024-11-01 00:53:18.260440,5530840.907821933
2024-11-01 00:57:46.677170,10074496.747075876
2024-11-01 01:03:43.959175,15801205.789663866
2024-11-01 01:06:42.486745,15125988.145165928
2024-11-01 01:15:38.440700,3782354.675206529
2024-11-01 01:21:35.350850,8250117.7762691
2024-11-01 01:24:33.495520,9838106.206068333
2024-11-01 01:29:01.176250,17774125.57187524
2024-11-01 01:36:26.714540,7984589.960521137
2024-11-01 01:40:53.979270,20185111.628496673
2024-11-01 01:45:21.243990,28937212.21337254
2024-11-01 01:51:17.596880,15307955.814235486
2024-11-01 01:55:44.861600,38399585.62535951
2024-11-01 02:00:12.125330,9892618.797522616
