filter2_file,counts_under_contours
2024-06-01T07:08:09.224,42818587.038188495
2024-06-01T07:09:34.278,42606608.834314264
2024-06-01T07:10:59.337,42489866.71222027
2024-06-01T07:12:24.391,42303363.11718744
2024-06-01T07:13:49.447,42192563.93425445
2024-06-01T07:15:14.503,42319386.61750877
2024-06-01T07:16:39.559,42485110.057039075
2024-06-01T07:18:04.615,42505380.72734099
2024-06-01T07:19:29.672,42525382.489085205
2024-06-01T07:20:54.728,42672569.214162074
2024-06-01T07:22:19.784,42630524.46685883
2024-06-01T07:23:44.840,42681488.20345372
2024-06-01T07:25:09.896,42768592.66013184
2024-06-01T07:26:34.953,42895707.21203033
2024-06-01T07:28:00.884,42821204.356565736
2024-06-01T07:29:25.651,42851666.3098139
2024-06-01T07:30:50.253,42867048.18465982
2024-06-01T07:32:14.795,42889165.46312903
2024-06-01T07:33:39.563,43012457.56294576
2024-06-01T07:35:04.330,42916506.91767191
2024-06-01T07:36:29.991,42795475.933957815
2024-06-01T07:37:53.867,42748084.85548781
2024-06-01T07:39:18.635,42569607.351686984
2024-06-01T07:40:43.404,42434411.67996134
2024-06-01T07:42:08.176,42518284.82066261
2024-06-01T07:43:32.972,42435911.608865984
2024-06-01T07:44:57.739,42607171.95995099
2024-06-01T07:46:22.509,42673764.96721032
2024-06-01T07:47:47.277,42722474.9676589
2024-06-01T07:49:12.440,42694545.0413834
2024-06-01T07:50:36.813,42657840.41471516
2024-06-01T07:52:01.581,42872481.003897764
2024-06-01T07:53:26.350,43034204.53304403
2024-06-01T07:54:51.117,42867015.29197807
2024-06-01T07:56:15.886,42956758.613694645
2024-06-01T07:57:40.654,43058847.89851232
2024-06-01T07:59:05.421,43114819.396732114
2024-06-01T08:00:30.197,42810044.56724903
2024-06-01T08:01:54.798,42816682.62883893
2024-06-01T08:03:19.373,42862994.79507946
2024-06-01T08:04:43.981,42633204.847647324
2024-06-01T08:06:08.558,42536817.55433945
2024-06-01T08:07:33.135,42498665.22915086
2024-06-01T08:08:57.710,42457060.07172167
2024-06-01T08:10:22.286,42457412.42218564
2024-06-01T08:11:46.863,42679085.750930704
2024-06-01T08:13:11.470,42502461.69975831
2024-06-01T08:14:36.787,42267627.401799835
2024-06-01T08:16:00.720,42234121.475672975
2024-06-01T08:17:25.328,42103149.750655815
2024-06-01T08:18:49.967,42040470.2388508
2024-06-01T08:20:14.576,42135211.77847941
2024-06-01T08:21:39.249,42144791.59564335
2024-06-01T08:23:03.888,42192727.3157536
2024-06-01T08:24:28.528,42318885.720784426
2024-06-01T08:25:53.169,42311346.40793141
2024-06-01T08:27:17.810,42184189.53612745
2024-06-01T08:28:42.449,42178758.891049094
2024-06-01T08:30:07.900,42136459.24548024
2024-06-01T08:31:31.539,42148093.85923494
2024-06-01T08:32:55.922,42052521.56338623
2024-06-01T08:34:20.307,42167982.20757113
2024-06-01T08:35:44.723,42214078.427666895
2024-06-01T08:37:09.107,42137311.5768117
2024-06-01T08:38:33.491,42296020.73016671
2024-06-01T08:39:57.875,42274642.05440502
2024-06-01T08:41:22.261,42382596.0298105
2024-06-01T08:45:48.533,35808222.04179038
2024-06-01T08:47:14.925,25731799.390897248
2024-06-01T08:48:41.654,34990607.48255586
2024-06-01T08:50:10.346,45560149.71489216
2024-06-01T08:51:38.899,34452855.244927645
2024-06-01T08:53:07.594,44994927.9906648
2024-06-01T08:54:36.181,34165756.3383513
2024-06-01T08:56:04.873,44900012.22560176
2024-06-01T08:57:35.785,44309013.0
2024-06-01T08:59:06.697,44298775.64632345
2024-06-01T09:00:37.641,43980008.96504468
2024-06-01T09:02:08.554,43882240.843656525
2024-06-01T09:03:39.466,43721830.04038918
2024-06-01T09:05:10.378,43946674.42735012
2024-06-01T09:06:41.289,43725930.16438623
2024-06-01T09:08:12.207,43981888.400272675
2024-06-01T09:09:43.147,43763878.8401237
2024-06-01T09:11:14.580,43792242.361750655
2024-06-01T09:12:44.971,43594806.898121715
