date_time,suit_count
2024-10-08T23:59:25,46701.048828125
2024-10-09T00:02:39,4035772.1821289062
2024-10-09T00:17:12,166283.203125
2024-10-09T00:22:03,204566.970703125
2024-10-09T00:26:55,599675.3642578125
2024-10-09T00:30:09,513809.57177734375
2024-10-09T00:36:37,429734.52978515625
2024-10-09T00:41:28,528516.5913085938
2024-10-09T00:46:20,1362341.6396484375
2024-10-09T00:51:11,1072655.6391601562
2024-10-09T00:56:02,864780.900390625
2024-10-09T01:11:08,2738619.6772460938
2024-10-09T01:25:41,1159232.8149414062
2024-10-09T01:33:45,41617808.76452637
2024-10-09T01:44:19,314549856.086263
2024-10-09T01:49:20,339381769.2453613
2024-10-09T01:55:52,285873733.4451904
2024-10-09T01:59:21,266363991.93475342
2024-10-09T02:02:50,243906103.23742676
2024-10-09T02:09:49,197731288.70617676
