Date,Mean,Std,diff_count,Diff_error,Img_count,area,median,thresh_val
2024-11-01 02:00:12.125330,-18.715638268505252,222.64835783091564,610406.2338867188,2378.405401350625,11924030.740234375,550,-9.0,887.9607116382506
2024-11-01 02:01:40.956615,-14.183573672656527,225.73414764236193,569767.888671875,nan,10838052.5546875,493,-4.0,892.9607116382506
2024-11-01 02:03:09.789765,-13.635264811431126,223.75247299502456,350843.9619140625,1824.7444417868578,7010228.517578125,322,-2.0,902.3736100815419
2024-11-01 02:04:38.622050,-13.634923034453749,226.7005985649739,307824.412109375,1749.564065401811,6429773.25,290,-1.0,895.9607116382506
2024-11-01 02:06:07.454335,-5.57581533527007,226.08153564267124,276204.85546875,1644.8873699925286,5687513.775390625,261,3.0,914.7865085248333
2024-11-01 02:07:36.286495,-4.049948733453394,220.80257966160806,92963.08984375,966.3404504681243,1960590.822265625,93,4.0,886.1349147516679
2024-11-01 02:09:05.118905,10.079088507091873,236.17330455425267,1633102.8334960938,3470.801773499566,25726032.735351562,1342,15.0,904.5478131949592
2024-11-01 02:10:33.951055,10.878606733006455,270.46103424054667,4135702.2001953125,4905.685462843247,52267201.92089844,2575,7.0,903.9607116382506
2024-11-01 02:12:02.751340,17.79909429100995,311.7604202581289,6665472.812255859,nan,72453210.28320312,3508,6.0,917.7865085248333
2024-11-01 02:13:31.551500,74.79257423790307,754.1992378259503,21270281.52758789,7258.350362966585,126637581.51074219,5025,16.0,1038.9799851742032
2024-11-01 02:14:05.663560,93.576140680662,862.999975432393,26044388.86376953,7666.677844518502,143600287.20703125,5530,18.0,1033.5670867309118
2024-11-01 02:14:24.127590,110.28643539757864,1068.276974605395,32985754.701660156,nan,157481703.4243164,5771,10.0,1055.218680504077
2024-11-01 02:14:42.591630,136.92506539771009,1221.3763564941833,39364105.521972656,nan,178435671.15966797,6242,13.0,991.5025945144553
2024-11-01 02:15:02.461785,140.94271292048427,1259.3099702837014,40670669.23095703,nan,179996479.76367188,6190,11.0,1085.8702742772425
2024-11-01 02:16:33.998945,164.05521998606602,1289.7900224925934,39898383.44327799,9155.359681436377,133418317.65185547,6098,40.0,1092.6315789473686
2024-11-01 02:18:10.724250,62.54678729641265,693.2342520613589,20456846.799316406,7154.133479024092,122820098.47070312,5052,4.0,1012.1541882876205
2024-11-01 02:19:47.396545,42.54470377137749,505.1672383022997,14738290.576904297,6819.596391896243,107752080.47363281,4790,0.0,941.4381022979985
