date_time,temperature,emission_measure,HOPE_trigger
2024-11-01 02:00:00,0.0,0.0,False
2024-11-01 02:01:00,0.0,0.0,False
2024-11-01 02:02:00,0.0,0.0,False
2024-11-01 02:03:00,0.0,0.0,False
2024-11-01 02:04:00,0.0,0.0,False
2024-11-01 02:05:00,0.0,0.0,False
2024-11-01 02:06:00,2.811525924575948,1.8609305745065717e+47,False
2024-11-01 02:07:00,10.647207500530207,1.5849586486814294e+46,False
2024-11-01 02:08:00,11.814498080439193,5.484606030081044e+46,True
2024-11-01 02:09:00,12.581430624124625,1.5413028649616015e+47,False
2024-11-01 02:10:00,12.758834168396492,3.435133638101015e+47,False
2024-11-01 02:11:00,12.532723471366525,5.540559789465674e+47,False
2024-11-01 02:12:00,11.738370364151688,6.297112945237226e+47,False
2024-11-01 02:13:00,12.696292971091411,7.912919442407905e+47,False
2024-11-01 02:14:00,14.346124028664287,1.7626505215376712e+48,False
2024-11-01 02:15:00,14.222535418112443,2.555571305781041e+48,False
2024-11-01 02:16:00,13.523723481184584,2.9945366275026885e+48,False
2024-11-01 02:17:00,5.996730582563094,4.774093229438081e+48,False
2024-11-01 02:18:00,0.0,0.0,False
2024-11-01 02:19:00,0.0,0.0,False
2024-11-01 02:20:00,0.0,0.0,False
