time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10
2024-06-02 02:30:06.625,2.9008109999999996,2.1342496e+07,2.331912e+06,1.7673328e+07,3.238636e+06,7.634423e+06,3.200161e+06,1.999665e+06,2.604609e+06,2.236812e+06,1.798102e+06
2024-06-02 02:30:18.622,2.9008109999999996,2.1359444e+07,2.336872e+06,1.7669232e+07,3.237591e+06,7.629245e+06,3.202171e+06,1.998755e+06,2.603058e+06,2.235786e+06,1.797193e+06
2024-06-02 02:30:30.622,2.900808,2.1359638e+07,2.345887e+06,1.7660428e+07,3.238776e+06,7.633747e+06,3.199217e+06,1.99851e+06,2.607182e+06,2.234333e+06,1.797218e+06
2024-06-02 02:30:42.615,2.9008079999999996,2.139013e+07,2.35198e+06,1.7646804e+07,3.236716e+06,7.63567e+06,3.199405e+06,1.999755e+06,2.610317e+06,2.232457e+06,1.799661e+06
2024-06-02 02:30:54.625,2.900808,2.1430106e+07,2.356101e+06,1.7669448e+07,3.242975e+06,7.625982e+06,3.193604e+06,1.999592e+06,2.604678e+06,2.233669e+06,1.802879e+06
2024-06-02 02:31:06.646,2.9008070000000004,2.1470804e+07,2.371289e+06,1.766956e+07,3.251875e+06,7.628301e+06,3.195354e+06,2.002319e+06,2.603758e+06,2.234343e+06,1.797534e+06
2024-06-02 02:31:18.622,2.90081,2.1559268e+07,2.374324e+06,1.7658288e+07,3.254836e+06,7.637959e+06,3.193212e+06,2.003149e+06,2.603187e+06,2.231651e+06,1.80688e+06
2024-06-02 02:31:30.622,2.9008089999999997,2.1630468e+07,2.379489e+06,1.7662672e+07,3.245608e+06,7.635422e+06,3.197304e+06,2.004296e+06,2.601262e+06,2.230677e+06,1.802817e+06
2024-06-02 02:31:42.622,2.900811,2.1725936e+07,2.398572e+06,1.7663844e+07,3.242004e+06,7.629371e+06,3.189443e+06,2.002934e+06,2.59929e+06,2.230212e+06,1.804729e+06
2024-06-02 02:31:54.616,2.9008089999999997,2.187814e+07,2.421351e+06,1.7666666e+07,3.243608e+06,7.639493e+06,3.194363e+06,2.000976e+06,2.597842e+06,2.227944e+06,1.801579e+06
2024-06-02 02:32:06.626,2.90081,2.1974052e+07,2.413429e+06,1.7660348e+07,3.241907e+06,7.63384e+06,3.197576e+06,2.004162e+06,2.597965e+06,2.231141e+06,1.803579e+06
2024-06-02 02:32:18.622,2.9008089999999997,2.207749e+07,2.415743e+06,1.7672088e+07,3.237221e+06,7.643764e+06,3.198974e+06,2.004517e+06,2.601208e+06,2.23156e+06,1.804502e+06
2024-06-02 02:32:30.647,2.900811,2.2181164e+07,2.409292e+06,1.7672012e+07,3.237247e+06,7.647688e+06,3.200682e+06,2.003802e+06,2.599607e+06,2.233972e+06,1.800824e+06
2024-06-02 02:32:42.615,2.9008119999999997,2.2236016e+07,2.400851e+06,1.7646964e+07,3.23407e+06,7.647407e+06,3.192396e+06,2.007893e+06,2.602362e+06,2.231066e+06,1.804268e+06
2024-06-02 02:32:54.625,2.9008119999999997,2.2348652e+07,2.390733e+06,1.7675424e+07,3.220235e+06,7.644842e+06,3.194593e+06,2.010837e+06,2.595993e+06,2.234548e+06,1.801886e+06
2024-06-02 02:33:06.625,2.9008109999999996,2.2375508e+07,2.380983e+06,1.765866e+07,3.222557e+06,7.652424e+06,3.196062e+06,2.011494e+06,2.597498e+06,2.236392e+06,1.803171e+06
2024-06-02 02:33:18.630,2.90081,2.2432728e+07,2.378769e+06,1.7646106e+07,3.220575e+06,7.654809e+06,3.191748e+06,2.009597e+06,2.599287e+06,2.232999e+06,1.805793e+06
2024-06-02 02:33:30.616,2.9008119999999997,2.254232e+07,2.371862e+06,1.7643432e+07,3.221566e+06,7.656389e+06,3.190357e+06,2.009399e+06,2.59719e+06,2.237886e+06,1.807131e+06
2024-06-02 02:33:42.622,2.90081,2.2614036e+07,2.364405e+06,1.7643404e+07,3.219105e+06,7.654534e+06,3.194368e+06,2.009054e+06,2.596551e+06,2.234778e+06,1.802843e+06
