file,region_id,x0_pix,y0_pix,width_pix,height_pix,top_left_hpc_Tx,top_left_hpc_Ty,bottom_right_hpc_Tx,bottom_right_hpc_Ty,Centre_hpc_Tx,Centre_hpc_Ty,max_intensity,area_pix
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,1,1052,1224,825,621,-593,-119,-99,-493,-346,-306,798.2921540006458,147260
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,2,2875,1819,310,245,501,9,687,-138,594,-64,365.6445829194638,13507
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,3,2224,2497,860,592,111,626,627,269,369,447,362.70574476948116,135024
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,4,1621,2503,417,305,-250,458,0,274,-125,366,251.67165389974642,20454
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,5,370,2260,383,673,-1002,535,-772,130,-887,332,249.5007658639797,49896
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,6,3466,1615,264,396,856,-23,1014,-261,935,-142,241.61722512677636,19855
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,7,2411,2026,298,265,223,146,401,-12,312,66,212.5628161868126,14370
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,8,619,2799,323,395,-852,691,-658,453,-755,572,194.55728093988267,10651
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,9,1121,1689,269,336,-552,-11,-391,-213,-471,-112,191.22221513536962,12766
aia.lev1_euv_12s.2024-06-02T023008Z.131.image_lev1.fits,10,3047,2084,345,223,605,155,812,20,708,88,105.75829557372714,11461
