date_time,suit_count
2024-11-12T22:24:40,175686.10498046875
2024-11-12T22:27:54,590979.5551757812
2024-11-12T22:43:02,184295.58544921875
2024-11-12T22:49:31,226879.2353515625
2024-11-12T22:54:22,2506512.3510742188
2024-11-12T23:05:43,753879.8505859375
2024-11-12T23:08:58,305003.99658203125
2024-11-12T23:25:10,4982201.1357421875
2024-11-12T23:28:25,6044176.833984375
2024-11-12T23:41:23,477973.34130859375
2024-11-12T23:46:14,580039.2622070312
2024-11-12T23:55:58,3258978.5336914062
2024-11-13T00:04:04,2179441.881591797
2024-11-13T00:19:16,59295400.44213867
2024-11-13T00:21:18,55200187.724609375
2024-11-13T00:32:45,9597097.692871094
