Time,AR_total,AR_count_Er,QS_total,QS_count_Er,AR_area,QS_area
2024-11-13T15:00:48.212,663039407.6859152,74332.55274361717,864446478.9152877,84874.73509606611,3422,3364
2024-11-13T15:02:25.204,663349991.4457023,74349.96029172344,854002363.1832016,84360.45495289846,3422,3364
2024-11-13T15:04:02.197,665798992.5567381,74487.07900013812,862692562.6911676,84788.5882008485,3422,3364
2024-11-13T15:05:39.189,665159028.6105406,74451.27201793021,863414062.5578264,84824.03661688052,3422,3364
2024-11-13T15:07:16.179,664791749.9235281,74430.71442195577,862280226.8664234,84768.32284067084,3422,3364
2024-11-13T15:08:53.158,658249427.4049059,74063.5665833133,862436303.7372248,84775.9942307385,3422,3364
2024-11-13T15:10:30.132,656492838.316827,73964.67841233562,866587933.3029304,84979.79825145358,3422,3364
2024-11-13T15:12:07.124,660308445.0176048,74179.31231244131,868359521.3622333,85066.61709910227,3422,3364
2024-11-13T15:13:44.116,659867181.2877498,74154.5222990339,865311067.0450406,84917.16881001552,3422,3364
2024-11-13T15:15:21.109,663559797.3089168,74361.71715052245,866447849.945996,84972.92951022676,3422,3364
2024-11-13T15:16:58.101,669332895.8755325,74684.49726881813,867271094.019288,85013.28788387966,3422,3364
2024-11-13T15:18:35.932,668485759.2667367,74637.22034317823,863966669.9010812,84851.17706417321,3422,3364
2024-11-13T15:20:12.117,669295310.8695747,74682.40036255612,861208873.3919336,84715.64561283497,3422,3364
2024-11-13T15:21:49.142,667200682.9234253,74565.4456905378,865705434.717392,84936.51721125765,3422,3364
2024-11-13T15:23:26.134,670247932.3734596,74735.52994691009,865610486.8383765,84931.85929704552,3422,3364
2024-11-13T15:25:03.158,673804613.7378497,74933.56022381036,866934710.4921911,84996.79947367583,3422,3364
2024-11-13T15:26:40.151,674563568.9841714,74975.74991200886,864304898.939737,84867.78437368217,3422,3364
2024-11-13T15:28:17.111,670575774.5061193,74753.80561695613,864596745.9222844,84882.1116766407,3422,3364
2024-11-13T15:29:54.103,661057866.1857657,74221.39551064807,869221590.4345218,85108.83181915384,3422,3364
2024-11-13T15:31:31.634,670758332.2492719,74763.98042335581,863858185.0169554,84845.84968326164,3422,3364
2024-11-13T15:33:08.237,678281926.3524653,75182.10815260865,854716487.554991,84395.71906377474,3422,3364
2024-11-13T15:34:44.984,678129147.5977757,75173.64052632722,869952339.4199002,85144.59952633032,3422,3364
2024-11-13T15:41:45.879,677718569.0843679,75150.87985093544,874815949.6460301,85382.27517299428,3422,3364
2024-11-13T15:43:22.839,678459039.0858963,75191.92327448343,872559205.2826223,85272.07462404395,3422,3364
2024-11-13T15:44:59.800,677741375.2846296,75152.14430765485,870532983.4784946,85173.00939257375,3422,3364
2024-11-13T15:46:36.760,677204958.7133813,75122.39783143804,870406610.0160804,85166.82697389089,3422,3364
2024-11-13T15:48:13.720,672251051.3123318,74847.12482299792,867614978.0833442,85030.14064060578,3422,3364
2024-11-13T15:49:50.680,673877144.1309392,74937.59315428957,866055401.5628184,84953.68353612938,3422,3364
2024-11-13T15:51:27.673,676643484.5482123,75091.24918769456,871044485.1457934,85198.02839785443,3422,3364
2024-11-13T15:53:04.633,676993145.0902989,75110.64866195178,868540100.5406017,85075.46162773189,3422,3364
2024-11-13T15:54:41.593,677728198.0024803,75151.41371493954,860527637.0240321,84682.13295534621,3422,3364
2024-11-13T15:56:18.586,675313594.954939,75017.41991891722,866129081.0407585,84957.29716749658,3422,3364
2024-11-13T15:57:55.546,681495440.8432469,75359.99385412478,858113016.5267029,84563.24144916153,3422,3364
2024-11-13T15:59:32.506,674466093.8374307,74970.33267885764,868830897.9084797,85089.70256482664,3422,3364
