time_start,time_end,T,T_err,EM,EM_err,L
2024-11-01T14:15:00.000,2024-11-01T14:15:20.000,10.611611296792484,0.5115514980131906,45.00952758813593,16.23255768301428,10.611611296792484
2024-11-01T14:15:20.000,2024-11-01T14:15:40.000,9.883557628975305,2.9735502800017892,78.57111662303832,45.6172011563334,9.883557628975305
2024-11-01T14:15:40.000,2024-11-01T14:16:00.000,9.839301197032924,0.3038776058984478,73.36444799539517,18.362189715128572,9.839301197032924
2024-11-01T14:16:00.000,2024-11-01T14:16:20.000,9.683443230860028,0.28518749494598783,73.89181948524958,17.375608904297252,9.683443230860028
2024-11-01T14:16:20.000,2024-11-01T14:16:40.000,9.365211731441201,0.09284060984002718,92.9055804344339,7.828323088672832,9.365211731441201
2024-11-01T14:16:40.000,2024-11-01T14:17:00.000,9.28385580581049,0.06117175222220883,96.45098052342607,5.444994718471726,9.28385580581049
2024-11-01T14:17:00.000,2024-11-01T14:17:20.000,9.416646035952382,10.372670827484136,80.1807283370494,46.97255702384573,9.416646035952382
2024-11-01T14:17:20.000,2024-11-01T14:17:40.000,10.702175917572855,1.7520715413933088,27.877239791722065,30.151400248574,10.702175917572855
2024-11-01T14:17:40.000,2024-11-01T14:18:00.000,11.927795762351709,0.5299441869724211,13.034501933486496,4.394421817801262,11.927795762351709
2024-11-01T14:18:00.000,2024-11-01T14:18:20.000,12.082779403794062,1.5409346904679353,13.671174268637902,45.3404113775349,12.082779403794062
2024-11-01T14:18:20.000,2024-11-01T14:18:40.000,12.432007799233375,1.4747755362211645,11.787987637208987,6.200056596253162,12.432007799233375
2024-11-01T14:18:40.000,2024-11-01T14:19:00.000,13.31378862913594,0.34736983618811834,8.362574107017778,1.4779052106392445,13.31378862913594
2024-11-01T14:19:00.000,2024-11-01T14:19:20.000,14.011541137127377,4.523758338665349,6.5118105809686595,3.4743118271152547,14.011541137127377
2024-11-01T14:19:20.000,2024-11-01T14:19:40.000,14.363919907015326,0.8840916782254258,5.910447321914902,3.3642140121262734,14.363919907015326
2024-11-01T14:19:40.000,2024-11-01T14:20:00.000,17.31857160353912,0.23449032772093759,3.0327231880797942,0.19476622101541663,17.31857160353912
2024-11-01T14:20:00.000,2024-11-01T14:20:20.000,16.340215238118144,4.894281037118242,30.952412580129426,29.12975282818162,16.340215238118144
2024-11-01T14:20:20.000,2024-11-01T14:20:40.000,17.94592868749114,0.22293959117519613,3.1284341701108396,0.17973304490371844,17.94592868749114
2024-11-01T14:20:40.000,2024-11-01T14:21:00.000,16.86607532453712,0.2160898332779002,4.4384252172791445,0.26975341456184276,16.86607532453712
2024-11-01T14:21:00.000,2024-11-01T14:21:20.000,16.121378571267662,2.5232454168208687,5.2927856414848655,24.928456662408585,16.121378571267662
2024-11-01T14:21:20.000,2024-11-01T14:21:40.000,16.16006540569404,0.20616463618175107,5.0901656575476375,0.33293933044891677,16.16006540569404
2024-11-01T14:21:40.000,2024-11-01T14:22:00.000,18.436121372030666,0.18965621612660577,3.3345692664344986,0.15000232518668977,18.436121372030666
2024-11-01T14:22:00.000,2024-11-01T14:22:20.000,20.020062535473297,0.17293889897609915,3.085271606112669,0.10712104643591891,20.020062535473297
2024-11-01T14:22:20.000,2024-11-01T14:22:40.000,19.99170638176284,2.7076310392694767,3.6455728689186473,6.350322765915681,19.99170638176284
2024-11-01T14:22:40.000,2024-11-01T14:23:00.000,21.050740713550496,0.13464147996188913,3.6953361345219617,0.09099354928092152,21.050740713550496
2024-11-01T14:23:00.000,2024-11-01T14:23:20.000,22.569131415632466,4.126908597610228,3.9398703827271757,13.322693156946954,22.569131415632466
2024-11-01T14:23:20.000,2024-11-01T14:23:40.000,23.123434962538767,3.4938484729883115,4.643992297768322,8.313764176715736,23.123434962538767
2024-11-01T14:23:40.000,2024-11-01T14:24:00.000,25.088911660627968,5.201467905475548,5.185829823495591,23.35364612408752,25.088911660627968
2024-11-01T14:24:00.000,2024-11-01T14:24:20.000,25.7295893089894,5.474718896809237,6.233756383564592,29.034500042064593,25.7295893089894
2024-11-01T14:24:20.000,2024-11-01T14:24:40.000,28.404384790011118,6.527598571899749,7.2242290313599025,38.06587722530732,28.404384790011118
2024-11-01T14:24:40.000,2024-11-01T14:25:00.000,29.173184825010274,0.06386485405592346,9.764253410751014,0.06620458001033658,29.173184825010274
2024-11-01T14:25:00.000,2024-11-01T14:25:20.000,27.479323017844045,0.06267192544048505,13.74407947515628,0.10091423160300383,27.479323017844045
2024-11-01T14:25:20.000,2024-11-01T14:25:40.000,26.593679668682707,0.04956749502046165,18.944397023834156,0.109068647812677,26.593679668682707
2024-11-01T14:25:40.000,2024-11-01T14:26:00.000,24.44557497143844,0.038012892193053816,28.944362138154943,0.14855736048232338,24.44557497143844
2024-11-01T14:26:00.000,2024-11-01T14:26:20.000,25.197311692482295,0.04601782775018037,33.737041989865176,0.2044755093984243,25.197311692482295
2024-11-01T14:26:20.000,2024-11-01T14:26:40.000,24.959443341392102,0.0317581782420735,44.39533386003849,0.18522472856211536,24.959443341392102
2024-11-01T14:26:40.000,2024-11-01T14:27:00.000,23.90698690912523,0.029525834732941902,59.909784811986746,0.2576729042317325,23.90698690912523
2024-11-01T14:27:00.000,2024-11-01T14:27:20.000,23.24176056833747,0.03202598450936911,75.20992118381291,0.3455420562268401,23.24176056833747
2024-11-01T14:27:20.000,2024-11-01T14:27:40.000,23.954872448401467,0.0258046224122932,79.82089470880747,0.3022769813045372,23.954872448401467
2024-11-01T14:27:40.000,2024-11-01T14:28:00.000,23.335795597299597,0.022741835970684576,98.97819925356558,0.3368986179062574,23.335795597299597
2024-11-01T14:28:00.000,2024-11-01T14:28:20.000,23.400182506095906,0.007287726722600141,99.99741131539156,0.003515546877437714,23.400182506095906
2024-11-01T14:28:20.000,2024-11-01T14:28:40.000,23.447650264847336,0.007454358044626019,99.99827965087024,0.001932210905579268,23.447650264847336
2024-11-01T14:28:40.000,2024-11-01T14:29:00.000,23.53774759436665,0.007379564352598678,99.99819396563728,0.002210344033088063,23.53774759436665
2024-11-01T14:29:00.000,2024-11-01T14:29:20.000,23.421810454323094,0.019321576925726447,99.99694947063128,0.010970233581595323,23.421810454323094
2024-11-01T14:29:20.000,2024-11-01T14:29:40.000,23.224842844611956,0.007259672123327121,99.99884592672157,0.0015900838699849373,23.224842844611956
2024-11-01T14:29:40.000,2024-11-01T14:30:00.000,23.0141188813245,0.006438774989574014,99.99879144141688,0.0014652443569076468,23.0141188813245
2024-11-01T14:30:00.000,2024-11-01T14:30:20.000,22.840367014284574,0.007329902871965999,99.99892489837853,0.0013576204955043636,22.840367014284574
2024-11-01T14:30:20.000,2024-11-01T14:30:40.000,22.339282822960982,0.006441649793499593,99.99854827490512,0.001893083206624624,22.339282822960982
2024-11-01T14:30:40.000,2024-11-01T14:31:00.000,22.055322584394403,0.006820486432147277,99.99892501885672,0.0012483008524881711,22.055322584394403
2024-11-01T14:31:00.000,2024-11-01T14:31:20.000,21.621060779351964,0.007243804087996963,99.9981215829629,0.0021264599230548242,21.621060779351964
2024-11-01T14:31:20.000,2024-11-01T14:31:40.000,21.154041433843524,0.007211006971296285,99.99823386031028,0.0020762909031333265,21.154041433843524
2024-11-01T14:31:40.000,2024-11-01T14:32:00.000,20.6375997883294,0.02652055192452174,99.99817594121029,0.005672182338230414,20.6375997883294
2024-11-01T14:32:00.000,2024-11-01T14:32:20.000,20.115029737100482,0.012554764712117361,99.99627913081164,0.047483124405850674,20.115029737100482
2024-11-01T14:32:20.000,2024-11-01T14:32:40.000,19.58850901132539,0.006574840247433045,99.9982490781487,0.002434258322281835,19.58850901132539
2024-11-01T14:32:40.000,2024-11-01T14:33:00.000,18.982111311528747,0.007117230721329193,99.99739323925185,0.0035777614720942097,18.982111311528747
2024-11-01T14:33:00.000,2024-11-01T14:33:20.000,18.49618889471562,0.007529355228911072,99.99587523087405,0.005051470529423341,18.49618889471562
2024-11-01T14:33:20.000,2024-11-01T14:33:40.000,18.049886618586083,0.006702968723999447,99.99557104495284,0.005867858764673883,18.049886618586083
2024-11-01T14:33:40.000,2024-11-01T14:34:00.000,17.561918468985603,0.006740861739990223,99.9941388623075,0.007707452241227486,17.561918468985603
2024-11-01T14:34:00.000,2024-11-01T14:34:20.000,17.18739013209173,0.006645630846255912,99.9889746486316,0.012886265784636919,17.18739013209173
2024-11-01T14:34:20.000,2024-11-01T14:34:40.000,16.805503492028517,4.760797383842375,99.98809609653927,40.031378584548705,16.805503492028517
2024-11-01T14:34:40.000,2024-11-01T14:35:00.000,16.392466154564307,0.006356083255406375,99.98987739392186,0.013108193944439961,16.392466154564307
2024-11-01T14:35:00.000,2024-11-01T14:35:20.000,16.09793325713121,0.00664319203467123,99.98225555114541,0.019164068979137028,16.09793325713121
2024-11-01T14:35:20.000,2024-11-01T14:35:40.000,15.768008037854903,0.0063947618905295656,99.98043363036848,0.025551329861805527,15.768008037854903
