time_start,time_end,T,T_er1,T_er2,EM,EM_er1,EM_er2,Flux,Flux_er1,Flux_er2,Index,Index_er1,Index_er2,Ecut,Ecut_er1,Ecut_er2,L
2024-11-01T14:15:00.000,2024-11-01T14:15:20.000,10.133087011624854,0.3995791358242098,0.39077231868699513,65.40305229143114,17.56873579128095,25.53930411970049,31.07395884320976,22.470465790387337,40.478348483138554,5.75591376171825,1.2161974220084595,6.447592516006819,2.587589767512301,1.3490710963720247,2.4290893157719884,-13.385587942629812
2024-11-01T14:15:20.000,2024-11-01T14:15:40.000,9.84402559896736,0.1726170687508386,0.2305671423870006,77.77214495646966,17.71491576118391,15.431665708270359,58.86985474523575,42.88571161117358,28.59731425041199,12.902396233185874,3.129794564593972,1.6688951013641127,3.281412651677915,2.2406027008854954,3.245815623709938,-10.89668559289734
2024-11-01T14:15:40.000,2024-11-01T14:16:00.000,9.60377031775755,0.11511772993979896,0.20888359239417298,88.4532184346784,14.395519661428267,9.091016281730049,14.903665400254674,11.352268948753194,46.651404228949076,6.2236511969207156,1.277418800121045,4.894472702720804,3.4173779026186297,1.6777248492582595,1.6538570090779272,-11.206135395324907
2024-11-01T14:16:00.000,2024-11-01T14:16:20.000,9.442658207306494,0.06723458484490408,0.13125135075782346,90.73875387334239,10.920331391184575,6.631057413146394,6.816471615535239,6.69092540437764,33.59722767897928,3.5025638556339214,0.38333745532178565,1.583014217407693,1.2354615346659985,0.6648308253893493,1.270899877285005,-11.408903743030493
2024-11-01T14:16:20.000,2024-11-01T14:16:40.000,9.322811408898342,0.11993429036524184,0.13513076376980138,91.45305748414272,17.939621028008432,6.359449407884654,54.80565681188837,26.265693092458054,33.8214668749152,14.28536617850819,8.018446249150792,0.5586345215307755,6.016422855857452,4.707800002650609,0.6559244752237436,-14.756331136453657
2024-11-01T14:16:40.000,2024-11-01T14:17:00.000,9.265733095690386,0.039062667409694996,0.07599265226095575,96.15054574650792,7.249048327077929,2.930318596315743,10.835860404970495,9.433854421457589,42.519497765978784,10.800503650151539,6.691231615529344,3.5883033863277483,2.6190111652216004,1.9115882893469003,3.47799253330901,-11.186837580663227
2024-11-01T14:17:00.000,2024-11-01T14:17:20.000,9.292570852713121,0.09680653788014126,0.17133962120660584,87.39674195162229,12.460743576810799,9.333497164248499,24.098586632391566,20.55255954964536,39.6555097781462,6.339320857434715,2.1864989958527987,7.6047296000657605,3.0464506083779543,2.0959700434100164,3.3364684670616906,-19.736605820461577
2024-11-01T14:17:20.000,2024-11-01T14:17:40.000,9.719422931678881,0.4153677047821933,0.4892210893605746,58.6211507337476,19.936842646731648,28.99112925603076,42.30950857863697,31.257570011991838,34.63693108107825,11.180930991844141,4.797144932710976,3.0141970288817834,2.6974368517706835,1.914180069757614,2.905105515424975,-10.071181048593235
2024-11-01T14:17:40.000,2024-11-01T14:18:00.000,11.820415081361633,0.5969175301279126,0.7950577197210844,13.71937569639936,6.561437908226868,7.008400423367533,23.103386367708246,19.038122205949428,39.65221117573072,12.710379262737677,5.958415186577245,1.7713157919949545,5.3037801335229044,3.7735140283127957,1.4076617994423817,-9.082080173052917
2024-11-01T14:18:00.000,2024-11-01T14:18:20.000,9.436248612461764,0.07556905908739076,0.8896526241537099,94.191406365484,51.66737121505429,4.84553410818387,0.16926417575466376,0.06001413375105025,36.965376016825644,7.574915687328805,1.2205712332813246,0.8549587573506097,10.795258640371463,5.777594942629689,2.0159011955068102,-6.0754921799961465
2024-11-01T14:18:20.000,2024-11-01T14:18:40.000,9.559738428927563,0.12883319815766292,0.492621485106735,83.70571974596383,33.73544428495166,13.971930349267197,34.758883188474975,34.64258022751174,37.21731600096856,7.14380750889442,1.4148479682709114,1.3360842723732302,4.558320875994053,1.8176840447396474,8.349713450550716,-14.9922397833969
2024-11-01T14:18:40.000,2024-11-01T14:19:00.000,11.030908343460228,0.3952653498701597,1.0829797261715584,31.7824793102102,16.146519509128733,11.132349078703413,19.248851817999288,14.754155297000013,15.184152345124751,6.552157881954296,0.7407168852368731,0.8911106714919228,5.016642877826085,1.4334716635761517,0.9934153270028574,-7.852621061970478
