Time_UT,Flux_10_30keV
2024-10-31T22:57:54,386.56230533116974
2024-10-31T22:57:57,404.6234480539325
2024-10-31T22:58:00,408.74931651044767
2024-10-31T22:58:03,403.86408185952547
2024-10-31T22:58:06,402.95014055563666
2024-10-31T22:58:09,399.1287911732368
2024-10-31T22:58:12,400.39838741216766
2024-10-31T22:58:15,427.9474147954908
2024-10-31T22:58:18,430.1171493300651
2024-10-31T22:58:21,444.4456378618181
2024-10-31T22:58:24,430.9482637016826
2024-10-31T22:58:27,429.26076273116723
2024-10-31T22:58:30,452.8557248114832
2024-10-31T22:58:33,459.01043844362613
2024-10-31T22:58:36,467.51108630490944
2024-10-31T22:58:39,459.32456728808853
2024-10-31T22:58:42,435.62148841215316
2024-10-31T22:58:45,474.5717027454361
2024-10-31T22:58:48,493.1018944848334
2024-10-31T22:58:51,466.1528158981866
2024-10-31T22:58:54,506.6372977097037
2024-10-31T22:58:57,539.028768857236
2024-10-31T22:59:00,554.0340574581551
2024-10-31T22:59:03,594.9182353018783
2024-10-31T22:59:06,594.1600034633343
2024-10-31T22:59:09,598.825476845012
2024-10-31T22:59:12,615.8893217244774
2024-10-31T22:59:15,587.9860620497739
2024-10-31T22:59:18,613.5598255792295
2024-10-31T22:59:21,595.1594661075933
2024-10-31T22:59:24,645.5975285767499
2024-10-31T22:59:27,624.8897517123835
2024-10-31T22:59:30,668.277083875781
2024-10-31T22:59:33,690.2257544971204
2024-10-31T22:59:36,681.9922610144692
2024-10-31T22:59:39,709.2518071183447
2024-10-31T22:59:42,745.9191286562707
2024-10-31T22:59:45,717.9069898922116
2024-10-31T22:59:48,731.9994860489019
2024-10-31T22:59:51,737.1638774870673
2024-10-31T22:59:54,724.3529026507199
2024-10-31T22:59:57,753.5977959631696
2024-10-31T23:00:00,750.2443405636966
2024-10-31T23:00:03,740.6726483353808
2024-10-31T23:00:06,739.4963322482469
2024-10-31T23:00:09,734.989478270098
2024-10-31T23:00:12,730.5016371407957
2024-10-31T23:00:15,730.5017844040046
2024-10-31T23:00:18,727.6742108661786
2024-10-31T23:00:21,717.1701958178353
2024-10-31T23:00:24,745.6077496209568
2024-10-31T23:00:27,665.1847313244098
2024-10-31T23:00:30,709.4966451329001
