# Date,Intensity
2024-06-02 02:30:45.342000,214425105.14137843
2024-06-02 02:31:45.350000,214196739.58854643
2024-06-02 02:32:45.343000,213758855.77382657
2024-06-02 02:33:45.350000,213925051.6329305
2024-06-02 02:34:45.349000,213750392.46781766
2024-06-02 02:35:45.342000,214435862.33652735
2024-06-02 02:36:45.350000,213908507.5023848
2024-06-02 02:37:45.342000,213103476.68709818
2024-06-02 02:38:45.349000,213377527.04278252
2024-06-02 02:39:45.350000,213492636.40904143
2024-06-02 02:40:45.350000,213523931.03765494
2024-06-02 02:41:45.350000,213446688.35136005
2024-06-02 02:42:45.350000,213241932.91956767
2024-06-02 02:43:45.350000,213890733.8339549
2024-06-02 02:44:45.342000,214031606.39247262
2024-06-02 02:45:45.350000,214357160.67695874
2024-06-02 02:46:45.350000,213961436.18151504
2024-06-02 02:47:45.350000,213782022.94490057
2024-06-02 02:48:45.349000,214046805.13857606
2024-06-02 02:49:45.349000,214014321.68956542
2024-06-02 02:50:45.350000,213641606.1050872
2024-06-02 02:51:45.342000,213550801.65245044
2024-06-02 02:52:45.349000,213757703.86828282
2024-06-02 02:53:45.343000,214168643.56911343
2024-06-02 02:54:45.342000,214591414.32119703
2024-06-02 02:55:45.349000,214824926.34416586
2024-06-02 02:56:45.349000,215071072.63650748
2024-06-02 02:57:45.342000,215315049.30308735
2024-06-02 02:58:45.350000,215479299.2181649
2024-06-02 02:59:45.350000,215692659.96794295
2024-06-02 03:00:45.349000,215738717.686432
2024-06-02 03:01:45.350000,216079356.81820795
2024-06-02 03:02:45.349000,216053795.53497058
2024-06-02 03:03:45.349000,215858668.43717757
2024-06-02 03:04:45.343000,216091204.56682777
2024-06-02 03:05:45.350000,216406819.79303843
2024-06-02 03:06:45.342000,216565503.04250813
2024-06-02 03:07:45.350000,216285922.40994436
2024-06-02 03:08:45.350000,216509802.96086165
2024-06-02 03:09:45.350000,216360855.88382635
2024-06-02 03:10:45.342000,216300916.07717186
2024-06-02 03:11:45.350000,215923186.8747747
2024-06-02 03:12:45.350000,215647412.55958268
2024-06-02 03:13:45.350000,215304682.2309403
2024-06-02 03:14:45.350000,215720654.6269752
2024-06-02 03:15:45.350000,216599994.00053996
2024-06-02 03:16:45.350000,216272393.6637196
2024-06-02 03:17:45.350000,215743403.2220084
2024-06-02 03:18:45.349000,215788737.3235395
2024-06-02 03:19:45.350000,215894773.41777915
2024-06-02 03:20:45.350000,215887909.13540545
2024-06-02 03:21:45.350000,216050839.44986922
2024-06-02 03:22:45.350000,216594655.2382705
2024-06-02 03:23:45.350000,217132026.11764944
2024-06-02 03:24:45.350000,217583060.6059697
2024-06-02 03:25:45.349000,217725035.3343729
2024-06-02 03:26:45.349000,218032441.33981016
2024-06-02 03:27:45.349000,217889621.9340259
2024-06-02 03:28:45.349000,217656491.3394645
2024-06-02 03:29:45.350000,217848291.50205633
2024-06-02 03:30:45.350000,217525465.2000514
2024-06-02 03:31:45.350000,217075403.75136423
2024-06-02 03:32:45.349000,217054859.6112311
2024-06-02 03:33:45.350000,217072389.09356523
2024-06-02 03:34:45.350000,216798003.76069728
2024-06-02 03:35:45.350000,216739638.17220268
2024-06-02 03:36:45.350000,216560458.60285318
2024-06-02 03:37:45.350000,216809173.19734523
2024-06-02 03:38:45.350000,217106574.36747622
2024-06-02 03:39:45.350000,217514154.75438166
2024-06-02 03:40:45.350000,217790368.2946157
2024-06-02 03:41:45.350000,217603458.89561716
2024-06-02 03:42:45.350000,217879269.89986822
2024-06-02 03:43:45.349000,217960556.53019053
2024-06-02 03:44:45.350000,217835909.7835782
2024-06-02 03:45:45.342000,217994994.4555046
2024-06-02 03:46:45.349000,218213830.0382768
2024-06-02 03:47:45.350000,218542243.3847303
2024-06-02 03:48:45.342000,219137416.45701763
2024-06-02 03:49:45.349000,219734365.77426317
2024-06-02 03:50:45.350000,219859451.8060483
2024-06-02 03:51:45.350000,221066377.4928369
2024-06-02 03:52:45.349000,219998094.15913773
2024-06-02 03:53:45.349000,219513034.55733803
2024-06-02 03:54:45.350000,218929410.3236483
2024-06-02 03:55:45.349000,218898402.79614416
2024-06-02 03:56:45.350000,218769132.93109968
2024-06-02 03:57:45.350000,218885337.76227027
2024-06-02 03:58:45.350000,218835388.66274098
2024-06-02 03:59:45.350000,218860222.57996783
2024-06-02 04:00:45.342000,218721798.0907585
2024-06-02 04:01:45.350000,218908844.74955016
2024-06-02 04:02:45.350000,219220218.33198762
2024-06-02 04:03:45.350000,219132632.49675906
2024-06-02 04:04:45.342000,219389612.35698056
2024-06-02 04:05:45.350000,219219922.9870082
2024-06-02 04:06:45.350000,218904454.93024078
2024-06-02 04:07:45.342000,218825108.32769635
2024-06-02 04:08:45.350000,218687200.99311903
2024-06-02 04:09:45.342000,218539235.27767795
2024-06-02 04:10:45.350000,218786819.6610173
2024-06-02 04:11:45.349000,218835334.49056485
2024-06-02 04:12:45.350000,218533296.2697059
2024-06-02 04:13:45.349000,218609837.0294229
2024-06-02 04:14:45.349000,218608404.7192178
2024-06-02 04:15:45.342000,218810984.63335228
2024-06-02 04:16:45.350000,218725629.8611663
2024-06-02 04:17:45.349000,218982961.0249883
2024-06-02 04:18:45.350000,219015016.768625
2024-06-02 04:19:45.342000,218814026.95861417
2024-06-02 04:20:45.350000,218680982.81891745
2024-06-02 04:21:45.343000,218747400.73393393
2024-06-02 04:22:45.349000,218976126.46956626
2024-06-02 04:23:45.343000,219592892.63966238
2024-06-02 04:24:45.349000,219808343.71581534
2024-06-02 04:25:45.342000,220226257.74993137
2024-06-02 04:26:45.350000,220538694.6350819
2024-06-02 04:27:45.343000,221056984.87136155
2024-06-02 04:28:45.350000,220836401.83325058
2024-06-02 04:29:45.349000,221030335.72428125
2024-06-02 04:30:45.350000,221873135.46632403
2024-06-02 04:31:45.349000,221699152.22672352
2024-06-02 04:32:45.350000,222172760.574492
2024-06-02 04:33:45.341000,222526354.41763404
2024-06-02 04:34:45.350000,223160437.26392573
2024-06-02 04:35:45.342000,223551528.3624474
2024-06-02 04:36:45.349000,224048812.04622427
2024-06-02 04:37:45.341000,224069257.8360526
2024-06-02 04:38:45.349000,224199168.06655467
2024-06-02 04:39:45.342000,224785400.52855194
2024-06-02 04:40:45.350000,225003612.70014587
2024-06-02 04:41:45.350000,224947242.74815267
2024-06-02 04:42:45.349000,225146675.1193153
2024-06-02 04:43:45.342000,225552982.56104335
2024-06-02 04:44:45.350000,227067765.9770729
2024-06-02 04:45:45.342000,228259454.519366
2024-06-02 04:46:45.350000,227814681.10349005
2024-06-02 04:47:45.350000,229011708.94619486
2024-06-02 04:48:45.350000,228436433.9941955
2024-06-02 04:49:45.350000,228064542.12666646
2024-06-02 04:50:45.349000,228085079.1511283
2024-06-02 04:51:45.342000,228449629.3085476
2024-06-02 04:52:45.350000,228282366.70474687
2024-06-02 04:53:45.350000,227570734.63388297
2024-06-02 04:54:45.349000,227522230.37153363
2024-06-02 04:55:45.351000,227616001.51985946
2024-06-02 04:56:45.350000,228175389.0919272
2024-06-02 04:57:45.341000,228651165.39511445
2024-06-02 04:58:45.349000,228921829.02727625
2024-06-02 04:59:45.342000,228848569.20448706
2024-06-02 05:00:45.350000,229041480.51563674
