Date,FullDiskIntensity,ROI_Intensity,OutsideROI_Intensity,Exposure
2024-07-10 03:30:06.622000,51242727.89825745,4813356.398139555,46435858.649233386,2.900812
2024-07-10 03:30:18.623000,51249538.663815975,4803419.248327969,46452588.29162721,2.900813
2024-07-10 03:30:30.622000,51273943.484750815,4786473.433282428,46493860.68029275,2.90081
2024-07-10 03:30:42.626000,51234770.97776139,4774613.297665135,46466701.369617455,2.90081
2024-07-10 03:30:54.631000,51244134.40098841,4758291.126760369,46492339.38635113,2.900812
2024-07-10 03:31:06.623000,51211643.64436141,4731084.765979158,46487021.21131684,2.90081
2024-07-10 03:31:18.622000,51201513.509339474,4721713.398473805,46486236.93812207,2.9008079999999996
2024-07-10 03:31:30.622000,51197981.25351195,4703924.421109966,46500622.929457635,2.90081
2024-07-10 03:31:42.638000,51153959.358262226,4680441.779902241,46480044.373797536,2.900811
2024-07-10 03:31:54.622000,51172366.33905702,4669137.585708819,46509679.71014993,2.90081
2024-07-10 03:32:06.622000,51133646.11953213,4652059.941878303,46488047.131663226,2.90081
2024-07-10 03:32:18.622000,51156205.33575105,4636759.732626405,46525989.63737715,2.90081
2024-07-10 03:32:30.622000,51150160.127688475,4630368.414339444,46526304.03232201,2.90081
2024-07-10 03:32:42.625000,51148828.67279921,4619233.166437536,46536073.3477385,2.9008119999999997
2024-07-10 03:32:54.623000,51133682.56888072,4605610.773810919,46534539.98397691,2.9008119999999997
2024-07-10 03:33:06.654000,51124498.93340209,4591868.070043836,46539134.5595647,2.900812
2024-07-10 03:33:18.623000,51139597.56068133,4576525.522181735,46569541.61079147,2.90081
2024-07-10 03:33:30.622000,51146246.24200182,4567066.887800075,46585759.233704485,2.900813
2024-07-10 03:33:42.626000,51117423.36884409,4559146.735171647,46564798.602873474,2.900811
2024-07-10 03:33:54.639000,51128998.54109614,4551950.697874524,46583462.26292813,2.9008079999999996
2024-07-10 03:34:06.622000,51114736.14974014,4546402.5245345095,46574920.401597895,2.900812
2024-07-10 03:34:18.622000,51112355.51449423,4532440.5941788675,46586370.01389267,2.90081
2024-07-10 03:34:30.622000,51109222.5964472,4528554.093511812,46587252.5260186,2.90081
2024-07-10 03:34:42.626000,51091132.16347578,4524801.529504356,46572883.63349673,2.9008089999999997
2024-07-10 03:34:54.622000,51078301.57783516,4514378.053026569,46570473.76422448,2.90081
2024-07-10 03:35:06.623000,51043735.73027387,4507815.923075253,46542447.98606183,2.9008089999999997
2024-07-10 03:35:18.630000,51024750.6816202,4502924.184253427,46528449.13263852,2.9008089999999997
2024-07-10 03:35:30.630000,51025008.87683096,4498873.073382952,46532680.1824318,2.90081
2024-07-10 03:35:42.626000,51019057.43568176,4490396.820198497,46535211.88909305,2.90081
2024-07-10 03:35:54.623000,51018277.64088125,4489452.263710989,46535372.854221515,2.9008119999999997
2024-07-10 03:36:06.622000,51006552.3055449,4482942.18409955,46530176.56096864,2.900811
2024-07-10 03:36:18.622000,51006241.353717044,4482333.401015509,46530458.8748051,2.900813
2024-07-10 03:36:30.622000,51002244.544715255,4477571.96177207,46531196.96526247,2.900811
2024-07-10 03:36:42.626000,51015569.43366202,4480610.256714326,46541500.7935709,2.900812
2024-07-10 03:36:54.623000,51020770.73591808,4484842.17522542,46542543.26030091,2.9008119999999997
2024-07-10 03:37:06.622000,51048383.36589319,4509059.363053988,46545857.69290037,2.900811
2024-07-10 03:37:18.647000,51042441.90936882,4504508.048091361,46544528.9112152,2.900812
2024-07-10 03:37:30.623000,51013622.39262662,4493532.500555017,46526652.53728956,2.9008119999999997
2024-07-10 03:37:42.625000,50978317.44294958,4467044.216255385,46517871.03675489,2.900811
2024-07-10 03:37:54.630000,50969444.73076304,4457045.603485097,46518962.12401437,2.9008089999999997
2024-07-10 03:38:06.624000,50947088.571812704,4447283.689728042,46506425.44668558,2.90081
2024-07-10 03:38:18.624000,50925371.24088014,4433832.320053833,46498070.19551767,2.900812
2024-07-10 03:38:30.623000,50923811.30656221,4423348.849683762,46507016.141348064,2.9008109999999996
2024-07-10 03:38:42.630000,50910763.16986055,4415415.147981132,46502006.85395006,2.9008089999999997
2024-07-10 03:38:54.622000,50876423.396515734,4403613.06229161,46479347.823089294,2.9008079999999996
2024-07-10 03:39:06.615000,50860681.57561618,4391507.469642942,46475812.25644717,2.9008079999999996
2024-07-10 03:39:18.623000,50864988.35324904,4385585.88311054,46485956.15912665,2.9008089999999997
2024-07-10 03:39:30.623000,50855075.65128361,4380400.301984618,46481273.851096764,2.90081
2024-07-10 03:39:42.626000,50850560.25769372,4368917.212031959,46488288.78022952,2.9008079999999996
2024-07-10 03:39:54.615000,50832791.24355223,4367394.842338919,46471958.35923126,2.900811
2024-07-10 03:40:06.622000,50839756.592292085,4361588.410417496,46484766.334391885,2.900812
2024-07-10 03:40:18.622000,50820919.51463263,4363740.785772816,46463779.63695006,2.900813
2024-07-10 03:40:30.615000,50815984.90904785,4361810.886679621,46460722.880601324,2.900811
2024-07-10 03:40:42.630000,50823010.93624819,4355570.095545661,46473955.568302944,2.900812
2024-07-10 03:40:54.622000,50808012.78813905,4362373.238123244,46452207.7086665,2.900813
2024-07-10 03:41:06.615000,50852388.52169272,4388107.325847841,46470855.21945415,2.900811
2024-07-10 03:41:18.622000,50817038.407534994,4371711.910910431,46451826.05829887,2.900811
2024-07-10 03:41:30.616000,50814854.1907763,4366604.029011197,46454776.95720266,2.900811
2024-07-10 03:41:42.626000,50822545.02106137,4382670.83423969,46446392.02374235,2.9008089999999997
2024-07-10 03:41:54.616000,50858324.399047166,4387436.612532361,46477578.33156946,2.90081
2024-07-10 03:42:06.623000,50857929.8286377,4397552.686091796,46466923.58314721,2.900813
2024-07-10 03:42:18.623000,50867506.06381938,4398459.121101265,46475626.82448915,2.9008119999999997
2024-07-10 03:42:30.622000,50861512.474102065,4395994.222303426,46472057.11508165,2.90081
2024-07-10 03:42:42.617000,50827644.12171488,4391463.1489389865,46442863.58440326,2.900812
2024-07-10 03:42:54.622000,50859769.512653366,4382427.666755148,46483937.9345769,2.90081
2024-07-10 03:43:06.615000,50833126.72451713,4377562.903076793,46462234.71221161,2.900812
2024-07-10 03:43:18.622000,50840696.219331846,4378123.351753476,46469233.076278694,2.90081
2024-07-10 03:43:30.622000,50842454.74799978,4375809.730451243,46473304.189759344,2.900811
2024-07-10 03:43:42.626000,50836559.443741575,4363499.505310586,46479690.84497089,2.90081
2024-07-10 03:43:54.615000,50821231.31125444,4349838.49338633,46478030.61903399,2.90081
2024-07-10 03:44:06.630000,50828490.94855953,4342409.307196717,46492740.47343345,2.9008089999999997
2024-07-10 03:44:18.623000,50829296.24115204,4332655.8211864345,46503330.62259529,2.9008089999999997
2024-07-10 03:44:30.622000,50845567.56408299,4320051.061617639,46532166.71625054,2.9008089999999997
2024-07-10 03:44:42.616000,50825807.72378436,4312438.680835603,46520019.60834334,2.9008059999999998
2024-07-10 03:44:54.622000,50805915.17745567,4307384.939856433,46505106.67886097,2.9008089999999997
2024-07-10 03:45:06.622000,50836556.861590594,4309565.924241083,46533643.91357303,2.9008069999999995
2024-07-10 03:45:18.615000,50830809.495426625,4304719.686625136,46532617.99216564,2.9008069999999995
2024-07-10 03:45:30.623000,50815416.12917238,4292385.978241909,46529616.94094676,2.9008059999999998
2024-07-10 03:45:42.626000,50833298.055781744,4292621.774775701,46547228.59784488,2.9008059999999998
2024-07-10 03:45:54.616000,50847490.95509695,4299825.738027893,46554233.0491019,2.9008049999999996
2024-07-10 03:46:06.622000,50865033.46653761,4310000.1792604,46561691.77691182,2.9008079999999996
2024-07-10 03:46:18.622000,50862197.407688685,4300201.4265675545,46568614.47961586,2.9008089999999997
2024-07-10 03:46:30.615000,50838095.743701674,4296103.463622365,46548602.50957751,2.9008069999999995
2024-07-10 03:46:42.626000,50825870.98978251,4278529.196510353,46553992.35178877,2.9008089999999997
2024-07-10 03:46:54.622000,50818932.23580043,4272061.345645301,46553534.548465624,2.9008089999999997
2024-07-10 03:47:06.616000,50773458.13542857,4251923.086204317,46528144.24680589,2.9008059999999998
2024-07-10 03:47:18.622000,50776285.77968622,4242302.489513267,46540687.9738335,2.9008079999999996
2024-07-10 03:47:30.630000,50792937.69184311,4236131.450271787,46563396.129630096,2.9008079999999996
2024-07-10 03:47:42.626000,50781703.16053429,4233254.4012752315,46555061.401878856,2.900807
2024-07-10 03:47:54.622000,50755074.27935547,4229328.331505106,46532369.279434755,2.9008059999999998
2024-07-10 03:48:06.615000,50759888.541361086,4235129.741482285,46531448.66238947,2.9008069999999995
2024-07-10 03:48:18.623000,50739529.12429916,4232455.233162622,46513732.725502685,2.900808
2024-07-10 03:48:30.622000,50725980.67436337,4224025.358434369,46508670.336905904,2.90081
2024-07-10 03:48:42.616000,50720705.9003601,4216727.350950046,46510637.38836723,2.900806
2024-07-10 03:48:54.622000,50731314.35702442,4210677.707261075,46527263.76425895,2.90081
2024-07-10 03:49:06.622000,50735865.75331227,4205020.7373184515,46537583.1362906,2.9008089999999997
2024-07-10 03:49:18.623000,50722870.757778265,4204490.885128942,46525023.881268986,2.9008089999999997
2024-07-10 03:49:30.615000,50693234.88723319,4198507.381906221,46501471.830789275,2.9008089999999997
2024-07-10 03:49:42.647000,50688408.647380784,4197006.766043542,46498035.548014365,2.9008089999999997
2024-07-10 03:49:54.623000,50681808.200269796,4200773.439942747,46487687.04708725,2.9008069999999995
2024-07-10 03:50:06.616000,50690959.6849979,4200501.171053839,46497107.35567977,2.9008059999999998
2024-07-10 03:50:18.622000,50686385.310575545,4205265.912118279,46487737.20977052,2.9008079999999996
2024-07-10 03:50:30.623000,50681850.4768842,4210451.636078073,46478024.57866064,2.900809
2024-07-10 03:50:42.626000,50677984.892485134,4209590.569248293,46474940.77512197,2.9008079999999996
2024-07-10 03:50:54.623000,50690758.33672607,4210073.120981079,46487313.021988004,2.9008089999999997
2024-07-10 03:51:06.630000,50688324.05834092,4215212.228580214,46479741.010358825,2.900811
2024-07-10 03:51:18.622000,50714434.4411151,4222132.285718619,46499046.47388386,2.900812
2024-07-10 03:51:30.615000,50698751.520266086,4228599.7556542875,46476909.881660566,2.9008079999999996
2024-07-10 03:51:42.625000,50696547.0357955,4230384.457869038,46472880.007391036,2.9008119999999997
2024-07-10 03:51:54.622000,50696468.886481136,4236225.154810049,46466851.87911113,2.900813
2024-07-10 03:52:06.616000,50731710.54577497,4239939.106684304,46498499.902268715,2.9008109999999996
2024-07-10 03:52:18.623000,50723847.857877135,4247887.317146153,46482687.96275804,2.900814
2024-07-10 03:52:30.623000,50749670.609243624,4251458.041029919,46504996.880181745,2.90081
2024-07-10 03:52:42.615000,50761838.245179795,4255014.289112352,46513628.95191343,2.90081
