# Date,Intensity
2024-06-01 07:00:04.843000,2050525733.0736096
2024-06-01 07:00:16.844000,2050658890.8221834
2024-06-01 07:00:28.835000,2050603337.329916
2024-06-01 07:00:40.843000,2050789061.4297104
2024-06-01 07:00:52.835000,2051169723.8509374
2024-06-01 07:01:40.843000,2051523127.7758806
2024-06-01 07:01:52.835000,2051166655.0835712
2024-06-01 07:02:04.844000,2050453323.2535503
2024-06-01 07:02:16.844000,2050292305.0077474
2024-06-01 07:02:28.843000,2050040790.1638017
2024-06-01 07:02:40.843000,2049865815.8849587
2024-06-01 07:02:52.843000,2049710557.7888443
2024-06-01 07:03:04.843000,2049529183.1225631
2024-06-01 07:03:16.835000,2049153256.3582447
2024-06-01 07:03:28.843000,2049205477.4794955
2024-06-01 07:03:40.843000,2049175399.3166142
2024-06-01 07:03:52.843000,2048943468.6588926
2024-06-01 07:04:04.835000,2048924653.5069296
2024-06-01 07:04:16.844000,2048788208.6299317
2024-06-01 07:04:28.835000,2048660082.4683094
2024-06-01 07:04:40.843000,2048553332.933341
2024-06-01 07:04:52.835000,2048710258.1499665
2024-06-01 07:05:04.843000,2048464502.013207
2024-06-01 07:05:16.844000,2048206971.860563
2024-06-01 07:05:28.843000,2048115453.6909263
2024-06-01 07:05:40.843000,2047795204.0959182
2024-06-01 07:05:52.843000,2047729157.1460142
2024-06-01 07:06:04.835000,2047602568.3460646
2024-06-01 07:06:16.843000,2047443084.2521465
2024-06-01 07:06:28.835000,2047349645.0071
2024-06-01 07:06:40.843000,2047322254.571527
2024-06-01 07:06:52.835000,2047233807.706942
2024-06-01 07:07:04.843000,2047183504.738153
2024-06-01 07:07:16.843000,2047117714.0868616
2024-06-01 07:07:28.843000,2047031315.8580248
2024-06-01 07:07:40.843000,2047027091.4581707
2024-06-01 07:07:52.843000,2046989972.2005558
2024-06-01 07:08:04.835000,2046973206.0760696
2024-06-01 07:08:16.843000,2046924439.6623275
2024-06-01 07:08:28.835000,2046932374.4201376
2024-06-01 07:08:40.843000,2047193105.7516735
2024-06-01 07:08:52.843000,2047300238.6949873
2024-06-01 07:09:04.843000,2047474315.3022213
2024-06-01 07:09:16.843000,2047804547.9090416
2024-06-01 07:09:28.843000,2047854978.9729311
2024-06-01 07:09:40.843000,2048031231.3597572
