# Date,Intensity
2024-06-01 07:00:04.843000,215211068.40153757
2024-06-01 07:00:16.844000,215244223.11553767
2024-06-01 07:00:28.835000,215280199.11581856
2024-06-01 07:00:40.843000,215370661.2161145
2024-06-01 07:00:52.835000,215296107.13369665
2024-06-01 07:01:40.843000,215001864.46177855
2024-06-01 07:01:52.835000,214918778.16504768
2024-06-01 07:02:04.844000,214837061.00318846
2024-06-01 07:02:16.844000,214808428.42721725
2024-06-01 07:02:28.843000,214659359.4831306
2024-06-01 07:02:40.843000,214461117.08598268
2024-06-01 07:02:52.843000,214411551.76896465
2024-06-01 07:03:04.843000,214322736.06117472
2024-06-01 07:03:16.835000,214217224.5468968
2024-06-01 07:03:28.843000,214246774.57095945
2024-06-01 07:03:40.843000,214213677.51277223
2024-06-01 07:03:52.843000,214128906.35741967
2024-06-01 07:04:04.835000,214158276.83446327
2024-06-01 07:04:16.844000,214136400.34019336
2024-06-01 07:04:28.835000,214153097.86149386
2024-06-01 07:04:40.843000,214093958.12083757
2024-06-01 07:04:52.835000,214199375.11218536
2024-06-01 07:05:04.843000,214166963.4102867
2024-06-01 07:05:16.844000,214189684.2063159
2024-06-01 07:05:28.843000,214141621.16757667
2024-06-01 07:05:40.843000,214142837.14325714
2024-06-01 07:05:52.843000,214119531.72889715
2024-06-01 07:06:04.835000,214132559.21625644
2024-06-01 07:06:16.843000,214168872.28480974
2024-06-01 07:06:28.835000,214170852.58294836
2024-06-01 07:06:40.843000,214188146.95484048
2024-06-01 07:06:52.835000,214213144.63053507
2024-06-01 07:07:04.843000,214202888.84077877
2024-06-01 07:07:16.843000,214185401.19927546
2024-06-01 07:07:28.843000,214134522.24229404
2024-06-01 07:07:40.843000,214135589.2882142
2024-06-01 07:07:52.843000,214135589.2882142
2024-06-01 07:08:04.835000,214137588.04185712
2024-06-01 07:08:16.843000,214143608.84060553
2024-06-01 07:08:28.835000,214154974.74553037
2024-06-01 07:08:40.843000,214270902.0401551
2024-06-01 07:08:52.843000,214288251.9467091
2024-06-01 07:09:04.843000,214296992.6146588
2024-06-01 07:09:16.843000,214339777.20445588
2024-06-01 07:09:28.843000,214195160.9991995
2024-06-01 07:09:40.843000,214239704.08606625
2024-06-01 07:09:52.843000,214293346.13307735
2024-06-01 07:10:04.835000,214580743.6754983
2024-06-01 07:10:16.843000,214927913.97776347
2024-06-01 07:10:28.835000,215323757.52484947
2024-06-01 07:10:40.843000,215633891.87132478
2024-06-01 07:11:04.843000,215701530.11863258
2024-06-01 07:11:18.936000,215031582.71599287
2024-06-01 07:11:28.843000,216179648.3172095
2024-06-01 07:11:42.808000,215748957.58647338
2024-06-01 07:11:52.843000,216508213.83572325
2024-06-01 07:12:06.639000,216136552.7566457
2024-06-01 07:12:16.843000,216757040.85918278
2024-06-01 07:12:30.446000,216445050.0313186
2024-06-01 07:12:40.843000,216669641.9375193
2024-06-01 07:12:54.228000,216036581.28614902
2024-06-01 07:13:04.843000,216134625.24018258
2024-06-01 07:13:17.958000,215704265.42826518
2024-06-01 07:13:28.843000,215895470.03833428
2024-06-01 07:13:41.629000,215713967.39259592
2024-06-01 07:13:52.843000,215840447.1112813
2024-06-01 07:14:05.224000,215717461.1660855
2024-06-01 07:14:16.843000,215754552.540778
2024-06-01 07:14:31.115000,214772033.90824142
2024-06-01 07:14:40.843000,215573512.52974942
2024-06-01 07:14:55.033000,214638269.28179672
2024-06-01 07:15:04.843000,215333105.67133373
2024-06-01 07:15:18.916000,214542858.1286647
2024-06-01 07:15:28.843000,215217316.0450211
2024-06-01 07:15:42.789000,214485686.39162385
2024-06-01 07:15:52.843000,215031687.85039908
2024-06-01 07:16:06.607000,214394612.52896965
2024-06-01 07:16:16.843000,214887537.69301498
2024-06-01 07:16:30.421000,214379355.73405603
2024-06-01 07:16:40.843000,214786188.8831279
2024-06-01 07:16:54.186000,214393895.17517486
2024-06-01 07:17:04.844000,214701454.62018028
2024-06-01 07:17:17.908000,214439932.10002932
2024-06-01 07:17:28.843000,214737561.248775
2024-06-01 07:17:41.573000,214639145.8919971
2024-06-01 07:17:52.843000,214833815.32369348
2024-06-01 07:18:04.835000,214733426.59804147
2024-06-01 07:18:16.842000,214689571.51899815
2024-06-01 07:18:31.037000,213850851.43863767
2024-06-01 07:18:40.843000,214792307.55000275
2024-06-01 07:18:54.930000,214089820.65841842
2024-06-01 07:19:04.843000,214871284.26738828
2024-06-01 07:19:18.808000,214312407.87502155
2024-06-01 07:19:28.843000,215012008.2538308
2024-06-01 07:19:42.647000,214599645.7362868
2024-06-01 07:19:52.843000,215131548.93479577
2024-06-01 07:20:06.446000,214775259.961573
2024-06-01 07:20:16.843000,215174960.50079
2024-06-01 07:20:30.220000,214958717.15862808
2024-06-01 07:20:40.843000,215289422.21155578
2024-06-01 07:20:53.957000,215052595.0547876
2024-06-01 07:21:04.844000,215189307.80849773
2024-06-01 07:21:17.627000,214905409.59910983
2024-06-01 07:21:28.843000,214947744.51898187
2024-06-01 07:21:41.232000,214777276.67229122
2024-06-01 07:21:52.843000,214784657.52219203
2024-06-01 07:22:04.835000,214768829.23900062
2024-06-01 07:22:16.843000,214690026.19947603
2024-06-01 07:22:28.835000,214724030.15738177
2024-06-01 07:22:40.843000,214584527.1404029
2024-06-01 07:22:52.843000,214448008.5918196
2024-06-01 07:23:04.843000,214367231.1045313
2024-06-01 07:23:16.843000,214317366.49398687
2024-06-01 07:23:28.843000,214267613.78153124
2024-06-01 07:23:40.843000,214128864.48714247
2024-06-01 07:23:52.835000,214085052.3840047
2024-06-01 07:24:04.843000,214012524.74324277
2024-06-01 07:24:16.843000,213973064.5387092
2024-06-01 07:24:28.835000,213906164.8297858
2024-06-01 07:24:40.843000,213806720.96222028
2024-06-01 07:24:52.843000,213681545.2098684
2024-06-01 07:25:04.846000,213633673.6928525
2024-06-01 07:25:16.843000,213547035.83280125
2024-06-01 07:25:28.835000,213494332.61901498
2024-06-01 07:25:40.843000,213427603.44793105
2024-06-01 07:25:52.835000,213428072.86661553
2024-06-01 07:26:04.846000,213447800.49179065
2024-06-01 07:26:16.843000,213447075.05849886
2024-06-01 07:26:28.835000,213386862.95617238
2024-06-01 07:26:40.843000,213377247.1436807
2024-06-01 07:26:52.843000,213398537.32998475
2024-06-01 07:27:04.846000,213371945.87510955
2024-06-01 07:27:16.843000,213383700.3259935
2024-06-01 07:27:28.843000,213346415.72526976
2024-06-01 07:27:40.843000,213380852.38295236
2024-06-01 07:27:52.835000,213370276.5944681
2024-06-01 07:28:04.846000,213303835.27137694
2024-06-01 07:28:16.842000,213257649.58935866
2024-06-01 07:28:28.835000,213277558.448831
2024-06-01 07:28:40.843000,213263622.83210912
2024-06-01 07:28:52.843000,213257446.85106298
2024-06-01 07:29:04.846000,213246055.0788984
2024-06-01 07:29:16.843000,213219884.99235767
2024-06-01 07:29:28.843000,213257889.58431873
2024-06-01 07:29:40.843000,213245116.47511226
2024-06-01 07:29:52.843000,213193346.9397143
2024-06-01 07:30:04.835000,213133620.19397596
2024-06-01 07:30:16.843000,213090133.1072048
2024-06-01 07:30:28.843000,213149363.8633589
2024-06-01 07:30:40.843000,213032928.8249591
