Date,Mean,Std,diff_count,Diff_error,Img_count,area
2024-11-13 15:08:12.416425,3.5134852877810805,109.88522283830076,668935.0439626444,3519.3759278349044,25440948.886810225,1528
2024-11-13 15:09:49.407720,-4.691475506413393,106.954168713901,406295.7527439407,2784.7440974465812,15915895.129271088,978
2024-11-13 15:11:26.400015,2.72459777837826,116.06665818532296,2138815.83417952,5613.357462118321,65158379.82921838,3533
2024-11-13 15:13:03.392310,-5.047319617995964,109.446377718164,614378.919694948,3122.5515003501173,20115034.664372478,1176
2024-11-13 15:14:40.384490,-6.694469802644232,113.6536398619987,470116.0153477741,2938.206759908097,17736233.94328705,1084
2024-11-13 15:16:17.344785,2.233640309556674,143.06496918437608,245727.86868940466,1221.645824330616,3230564.908898265,188
2024-11-13 15:17:54.369080,-1.7652982976330454,143.0972441124778,105517.24385192162,1152.7648285829546,2763250.743887699,159
2024-11-13 15:19:31.361375,-2.299200790688956,155.2125558650142,226960.5504379914,1648.5293569090127,5662258.631619676,325
2024-11-13 15:21:08.385680,3.4718986515929413,163.5176548128967,266806.57112668763,1695.070210114469,6013332.60556171,351
2024-11-13 15:22:45.409975,11.735194665770813,163.47766252522115,214194.34256781664,1509.950886605269,4774097.702487894,274
2024-11-13 15:24:22.402270,14.417918550273747,168.58441156983082,625125.6912246945,2595.108331002707,14094300.190504003,758
2024-11-13 15:25:59.425565,14.985325514081712,174.58677970061328,601739.8072500963,2500.0885269419687,13102625.092343822,716
2024-11-13 15:27:36.384745,12.097066320009933,174.74393408002902,772528.5409753096,2775.1553684099695,16175503.17860465,871
2024-11-13 15:29:13.376915,18.86896911006108,177.7108842047325,331682.3538686207,1839.230309867077,7097218.619336109,389
2024-11-13 15:30:50.337210,12.90398776963881,179.65820114738997,379539.7785934061,2018.9123572693386,8531553.99126308,469
2024-11-13 15:32:27.296505,15.315099773358554,184.54895035322693,544241.4861068268,2287.7739791297454,11012061.045273125,643
2024-11-13 15:34:04.258810,12.014533291461873,188.13891200207314,957552.6346306182,3070.9528835633428,19819055.86076264,1131
2024-11-13 15:41:05.155060,1.148480577241888,190.60000404601374,936012.6106857916,2907.3742831092795,17841663.054856185,1054
2024-11-13 15:42:42.114355,1.2741704217088912,188.5384509663135,820473.3696933317,2658.0413464720104,14950840.968802808,902
2024-11-13 15:44:19.756500,-8.277033261032035,183.45294997557238,488057.6192835623,2075.5713600598147,9104050.560684662,556
2024-11-13 15:45:56.358200,-1.1743435066373566,188.9384798632004,578922.9759467494,2302.1804948395365,11178993.03758598,666
2024-11-13 15:47:32.995125,6.550013267410129,192.03401573295,588412.0560520084,2281.314217558969,10997201.174525388,665
2024-11-13 15:49:09.956420,4.141506057972497,194.35269475500542,748010.9302943363,2571.791387563676,13976232.81258773,816
2024-11-13 15:50:46.916590,1.2163634637434546,196.51382828703703,728593.7078124222,2549.225694721149,13725696.993065469,801
2024-11-13 15:52:23.907885,5.26250240395734,196.97022790199009,993665.2438702679,2985.9958456944305,18826007.624879062,1078
2024-11-13 15:54:00.869190,3.226575717961639,194.52185225781542,1090763.3462798863,3103.486868075189,20354024.82691018,1173
2024-11-13 15:55:37.860485,-2.2379053558952338,199.36264981653278,1259860.6368329034,3197.0845682813283,21702560.110318124,1238
2024-11-13 15:57:14.820780,1.2179214715383624,198.68684273825838,1271716.6768001341,3276.7184832645116,22745484.713934697,1291
2024-11-13 15:58:51.781950,8.102180967474153,201.57902215707074,1804119.7551965686,3763.266969774844,30128476.32679324,1726
2024-11-13 16:08:33.636615,14.242552601020982,218.4392281181823,2141400.1809227974,4029.397136722249,34613482.75177371,1897
2024-11-13 16:10:10.627910,11.276354067008942,214.56352409146558,1937994.943564475,3927.8196118814817,32793528.75052606,1791
2024-11-13 16:24:43.272210,-2.5372059564585507,236.0041928574297,2710622.871781462,3848.0371250081625,32325402.30266363,1991
2024-11-13 16:26:20.267515,1.875471358217639,252.90749369918575,4094320.305498637,4615.790356221366,46705361.53067097,2775
2024-11-13 16:27:57.259810,-1.8056799121673106,246.03827828372567,3218272.8474703077,4299.472665839964,40189203.25608032,2402
2024-11-13 16:29:34.251105,-1.5542344947794566,240.08624594293528,2517359.5120601756,3833.4354968688867,31907814.92936899,1825
2024-11-13 16:31:11.239275,-1.0760161740684209,255.85163307774414,3068873.9872191916,4019.6965628047465,35384794.90126777,1910
2024-11-13 16:32:48.231570,-2.9880593308843397,249.68991877271296,2971397.1651717783,4020.927289884843,35307109.706253126,1870
2024-11-13 16:34:25.221875,-20.615198852916762,241.86749510653397,2045246.0476924097,3467.3754652817524,26090631.282168113,1395
2024-11-13 16:36:02.214170,-13.553762223666626,240.75709109415965,1941985.4863300202,3485.0157574690643,26232655.14594537,1414
2024-11-13 16:37:39.174340,-6.063286763506588,255.14239758448682,3409477.122117503,4293.800372657289,40282920.402581245,2106
2024-11-13 16:39:16.134645,-6.3317655879897075,261.1293212976566,3836854.0456374986,4353.522024808205,41743162.086617775,2198
2024-11-13 16:40:53.949400,-10.800270703854364,259.0188020128433,3254249.835176061,nan,39997836.71917856,2191
2024-11-13 16:42:30.542350,-17.67036450079239,242.70700369819713,2575762.763290971,3878.467385550493,32660781.28484873,1699
2024-11-13 16:44:07.154050,-20.094814511868854,256.1785423611542,1945547.8790272598,nan,26103240.375409197,1360
2024-11-13 16:45:43.975700,-23.270367908934443,248.56934779321918,2029822.2136951222,nan,29926069.53244904,1621
2024-11-13 16:47:20.935005,-29.879020694725412,249.15120467207436,2621429.0917181084,4010.302703389284,34786484.63734091,1881
2024-11-13 16:48:57.896300,-20.047799192270332,268.77199312543365,3547899.754098007,4548.919254858537,44933232.5285435,2496
2024-11-13 16:50:34.856470,-21.85771250374287,267.7144974741038,3386559.3680727687,4369.539161012164,41572304.32731053,2284
