date_time,temperature,emission_measure,HOPE_trigger
2024-11-13 00:08:00,0.0,0.0,False
2024-11-13 00:09:00,0.0,0.0,False
2024-11-13 00:10:00,0.0,0.0,False
2024-11-13 00:11:00,0.0,0.0,False
2024-11-13 00:12:00,0.0,0.0,False
2024-11-13 00:13:00,0.0,0.0,False
2024-11-13 00:14:00,9.215325241309404,3.7862518034583083e+46,False
2024-11-13 00:15:00,10.173445973003195,9.038090132718119e+46,True
2024-11-13 00:16:00,10.697658913571624,1.7830084743767845e+47,False
2024-11-13 00:17:00,10.224334047176605,2.759814657271956e+47,False
2024-11-13 00:18:00,11.124830374585125,6.668621210225426e+47,False
2024-11-13 00:19:00,12.172848207480465,1.80490839992265e+48,False
2024-11-13 00:20:00,12.325530095132795,2.6641120413640927e+48,False
2024-11-13 00:21:00,12.177711959088244,2.863192985498063e+48,False
2024-11-13 00:22:00,11.072275354071513,2.0124072695885486e+48,False
2024-11-13 00:23:00,4.86147451410567,4.407038547849749e+48,False
2024-11-13 00:24:00,0.0,0.0,False
2024-11-13 00:25:00,0.0,0.0,False
