Peak time,Peak total count
2024-11-12 22:24:40.142,217034.14664301754
2024-11-12 22:27:54.637,712688.5942530775
2024-11-12 22:43:02.937,215859.17312042275
2024-11-12 22:49:31.858,285416.5314982449
2024-11-12 22:54:22.830,3044978.7640128755
2024-11-12 23:05:43.568,890095.5577496833
2024-11-12 23:08:58.647,380425.96176783973
2024-11-12 23:25:10.545,5966148.248739149
2024-11-12 23:28:25.417,7275773.581875435
2024-11-12 23:41:23.266,574026.1966781148
2024-11-12 23:47:52.196,743959.9530693137
2024-11-12 23:57:35.509,3936624.6212382554
2024-11-13 00:04:04.501,2702463.929184457
