date_time,suit_coun
2024-07-10T13:42:07,6105481.0380859375
2024-07-10T13:54:53,4411979.092041016
2024-07-10T14:02:11,2547988.2797851562
2024-07-10T14:13:08,4222860.681152344
2024-07-10T14:22:16,5910895.541015625
2024-07-10T14:31:23,3302654.6313476562
2024-07-10T14:35:02,2560305.1171875
2024-07-10T14:38:41,2139988.4130859375
2024-07-10T14:45:59,1038104.2109375
2024-07-10T14:56:56,2536427.7563476562
2024-07-10T15:11:32,5620464.026855469
2024-07-10T15:14:01,4412733.054199219
2024-07-10T15:20:49,3828050.802734375
