Peak time,Peak total count
2024-07-10 04:06:16.911680,105448552.20019531
2024-07-10 04:09:19.857055,45823532.90527344
2024-07-10 04:20:00.915445,77642178.27539062
2024-07-10 04:33:46.354415,61070143.66894531
2024-07-10 04:41:24.916350,70406655.2890625
2024-07-10 04:49:04.120545,77332338.14746094
2024-07-10 04:53:40.211600,65295010.85644531
2024-07-10 05:02:51.990515,36369530.5390625
2024-07-10 05:05:55.989970,39114263.02246094
2024-07-10 05:15:07.991325,13593272.611328125
2024-07-10 05:24:21.559690,31263745.728515625
2024-07-10 05:32:02.839760,48605609.2578125
2024-07-10 05:38:11.864670,88449971.94238281
