time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7
2024-10-08 23:00:06.622,2.900766,2.20735e+07,1.1952388e+07,8.377794e+06,1.970885e+06,8.31481e+06,5.273956e+06,4.934576e+06
2024-10-08 23:00:18.622,2.900791,2.2068004e+07,1.1945033e+07,8.380173e+06,1.962796e+06,8.324834e+06,5.274756e+06,4.934721e+06
2024-10-08 23:00:30.622,2.9007929999999993,2.2085044e+07,1.193738e+07,8.382207e+06,1.970007e+06,8.316335e+06,5.280983e+06,4.937665e+06
2024-10-08 23:00:42.622,2.900792,2.2099754e+07,1.1940646e+07,8.377922e+06,1.977183e+06,8.311715e+06,5.276207e+06,4.934581e+06
2024-10-08 23:00:54.646,2.9007899999999998,2.2111026e+07,1.1942609e+07,8.372052e+06,1.977347e+06,8.306792e+06,5.27538e+06,4.930947e+06
2024-10-08 23:01:06.623,2.900791,2.2125892e+07,1.1937295e+07,8.379692e+06,1.982885e+06,8.311184e+06,5.273279e+06,4.935891e+06
2024-10-08 23:01:18.622,2.900792,2.2116252e+07,1.1932667e+07,8.377631e+06,1.986786e+06,8.310216e+06,5.277073e+06,4.925351e+06
2024-10-08 23:01:30.622,2.900792,2.2103052e+07,1.1940337e+07,8.374559e+06,1.979429e+06,8.305991e+06,5.283369e+06,4.929727e+06
2024-10-08 23:01:42.630,2.9007929999999993,2.2093802e+07,1.1948042e+07,8.383001e+06,1.985156e+06,8.29084e+06,5.276495e+06,4.929894e+06
2024-10-08 23:01:54.622,2.9007899999999998,2.2097474e+07,1.1945244e+07,8.385517e+06,1.980711e+06,8.284169e+06,5.283322e+06,4.9389e+06
2024-10-08 23:02:06.622,2.900791,2.2098428e+07,1.194752e+07,8.386641e+06,1.976835e+06,8.290323e+06,5.279707e+06,4.941073e+06
2024-10-08 23:02:18.622,2.9007899999999998,2.2087204e+07,1.1949485e+07,8.387783e+06,1.974924e+06,8.285758e+06,5.283227e+06,4.944276e+06
2024-10-08 23:02:30.622,2.900791,2.2068832e+07,1.1950077e+07,8.388489e+06,1.98183e+06,8.303641e+06,5.288437e+06,4.935307e+06
2024-10-08 23:02:42.622,2.900791,2.206216e+07,1.1961469e+07,8.377854e+06,1.979485e+06,8.309749e+06,5.278839e+06,4.926617e+06
2024-10-08 23:02:54.622,2.9007929999999997,2.2041076e+07,1.1953344e+07,8.383691e+06,1.982693e+06,8.307537e+06,5.285793e+06,4.932455e+06
2024-10-08 23:03:06.622,2.9007939999999994,2.2038396e+07,1.1967683e+07,8.381303e+06,1.989301e+06,8.303644e+06,5.281735e+06,4.939035e+06
2024-10-08 23:03:18.623,2.9007929999999993,2.2012906e+07,1.1971653e+07,8.382852e+06,1.984671e+06,8.312666e+06,5.281865e+06,4.946891e+06
