Date,FullDiskIntensity,ROI_Intensity,OutsideROI_Intensity,Exposure
2024-07-10 13:30:06.622000,55710953.75346927,11211909.86144277,44505449.660320535,2.900823
2024-07-10 13:30:18.623000,55765531.36816689,11244650.914585276,44527231.06511497,2.900823
2024-07-10 13:30:30.622000,55773043.71897217,11256067.674587522,44523348.02916276,2.900823
2024-07-10 13:30:42.623000,55780078.88798416,11262473.878093863,44523964.58658959,2.9008220000000002
2024-07-10 13:30:54.642000,55803214.467066765,11290848.148956347,44518836.206138745,2.900823
2024-07-10 13:31:06.622000,55853517.33181745,11324387.130402049,44535463.58082764,2.9008209999999996
2024-07-10 13:31:18.622000,55882847.08069155,11354455.837375863,44534741.85265979,2.900824
2024-07-10 13:31:30.622000,55924777.23570958,11380784.908012344,44550400.85162009,2.900824
2024-07-10 13:31:42.622000,55982815.92305637,11399335.016762473,44589852.886678785,2.900825
2024-07-10 13:31:54.623000,55939402.02487363,11375906.768527415,44569878.272476465,2.900823
2024-07-10 13:32:06.622000,55953420.099544205,11365845.26730699,44593933.71947676,2.900822
2024-07-10 13:32:18.623000,55927468.83469582,11340076.01983162,44593685.51396811,2.900822
2024-07-10 13:32:30.622000,55913332.21181292,11319571.266646994,44600050.19263492,2.900824
2024-07-10 13:32:42.623000,55891445.94187441,11291074.736747034,44606763.186434746,2.900822
2024-07-10 13:32:54.622000,55872954.67527664,11254350.920411209,44624968.84504846,2.900823
2024-07-10 13:33:06.623000,55830969.46558306,11217364.715210328,44619957.4259047,2.900825
2024-07-10 13:33:18.622000,55776320.03055685,11157510.816757865,44625051.58018949,2.900823
2024-07-10 13:33:30.622000,55742346.134992085,11108081.778199421,44640612.90213602,2.900822
2024-07-10 13:33:42.638000,55679679.87016099,11062614.299459154,44623413.42439715,2.900823
2024-07-10 13:33:54.623000,55623637.97321037,10999855.213553114,44630096.82766,2.900824
2024-07-10 13:34:06.622000,55540562.85483514,10944736.64161742,44602192.69109862,2.900819
2024-07-10 13:34:18.623000,55497714.439365424,10900548.120876167,44603514.86820968,2.90082
2024-07-10 13:34:30.624000,55454909.80305907,10856560.854020882,44604820.91436936,2.900819
2024-07-10 13:34:42.622000,55399168.7180974,10808256.00752339,44597357.78250365,2.9008209999999996
2024-07-10 13:34:54.622000,55360760.06094828,10770613.826435285,44596559.59349425,2.90082
2024-07-10 13:35:06.623000,55288390.822309725,10727115.843570968,44567532.52618142,2.9008169999999995
2024-07-10 13:35:18.622000,55242551.51038171,10676148.113828387,44572920.16782823,2.900823
2024-07-10 13:35:30.622000,55173872.78502439,10635825.293658143,44544496.69783255,2.900822
2024-07-10 13:35:42.623000,55148064.927803226,10603628.902428348,44550908.67347255,2.900822
2024-07-10 13:35:54.642000,55134538.62263322,10559357.424181053,44581565.58909965,2.9008249999999998
2024-07-10 13:36:06.622000,55071091.844561465,10505817.482957436,44571783.54433653,2.9008249999999998
2024-07-10 13:36:18.623000,55054042.249389224,10462618.367270254,44597842.75014367,2.900823
2024-07-10 13:36:30.623000,54989115.513994984,10410276.245455606,44585281.5715248,2.900826
2024-07-10 13:36:42.623000,54949584.70449452,10368505.384328466,44587479.566164955,2.9008259999999995
2024-07-10 13:36:54.632000,54863496.90502161,10322780.943923598,44547098.9662262,2.9008279999999997
2024-07-10 13:37:06.622000,54844300.0259581,10283109.41458459,44567676.343555585,2.900829
2024-07-10 13:37:18.622000,54783461.40600595,10240886.478235345,44549066.869551346,2.9008269999999996
2024-07-10 13:37:30.622000,54744043.24837133,10211441.844495328,44539024.40201516,2.9008259999999995
2024-07-10 13:37:42.622000,54740312.3316213,10182005.338477615,44564648.632958815,2.9008269999999996
2024-07-10 13:37:54.642000,54666827.08069114,10135539.968429694,44537660.46717023,2.9008269999999996
2024-07-10 13:38:06.622000,54674980.626194485,10114859.088314217,44566525.9250475,2.900824
2024-07-10 13:38:18.622000,54636098.351331085,10068356.415847216,44574105.64236036,2.900825
2024-07-10 13:38:30.622000,54579100.682496205,10035199.677884407,44550277.128345005,2.900822
2024-07-10 13:38:42.638000,54548117.863021724,10002260.736169882,44552213.939138,2.900825
2024-07-10 13:38:54.623000,54502557.37768213,9972429.893171696,44536392.603064716,2.900823
2024-07-10 13:39:06.623000,54479684.91722182,9932095.869278567,44553937.58672102,2.900825
2024-07-10 13:39:18.622000,54455114.822546974,9906909.209245373,44554595.521824144,2.900824
2024-07-10 13:39:30.623000,54421724.019296564,9864697.848130152,44563425.727706514,2.9008260000000003
2024-07-10 13:39:42.622000,54410727.982556686,9851715.97735127,44565429.48988649,2.900825
2024-07-10 13:39:54.622000,54423759.30166098,9866129.854048468,44563996.59958922,2.900826
2024-07-10 13:40:06.623000,54375954.98661415,9844658.038779298,44537587.56988526,2.9008260000000003
2024-07-10 13:40:18.623000,54356455.95872069,9810480.05670113,44552292.72785939,2.900824
2024-07-10 13:40:30.623000,54340275.25933975,9793952.623182071,44552702.883452594,2.9008279999999997
2024-07-10 13:40:42.623000,54272378.37511742,9743033.792110864,44535672.43801332,2.900825
2024-07-10 13:40:54.622000,54254331.095464215,9721635.741556281,44539061.81862056,2.900825
2024-07-10 13:41:06.622000,54214443.89594129,9689310.34768052,44531534.48813165,2.900824
2024-07-10 13:41:18.623000,54206253.1198032,9667360.722332688,44545229.907088466,2.900824
2024-07-10 13:41:30.622000,54148485.34468642,9619696.46566063,44535198.09019847,2.900825
