Date,QS_mode,AR sum
2024-06-02T02:30:52.740,3727,923700456.8613511
2024-06-02T02:30:52.740,3727,926692217.4016955
2024-06-02T02:30:52.740,3727,924525505.2462473
2024-06-02T02:31:18.502,3846,926144143.6040165
2024-06-02T02:32:17.413,3689,922378393.1316289
2024-06-02T02:32:43.171,3629,922669903.5040864
2024-06-02T02:33:42.859,3652,917485873.9769953
2024-06-02T02:34:07.845,3632,920152816.4257057
2024-06-02T02:35:06.757,3689,924317435.183084
2024-06-02T02:35:32.515,3632,921188537.1760299
2024-06-02T02:36:31.429,3855,922785593.7365448
2024-06-02T02:36:57.187,3873,922719381.7147449
2024-06-02T02:37:56.102,3671,920022453.8009644
2024-06-02T02:39:20.773,3696,918082535.6956294
2024-06-02T02:39:46.532,3721,918577529.9156183
2024-06-02T02:40:45.573,3758,918945858.4127625
2024-06-02T02:41:11.395,3629,917864454.0760489
2024-06-02T02:42:10.534,3767,913943705.7763814
2024-06-02T02:42:36.356,3706,914191243.3392197
2024-06-02T02:43:35.497,3723,917525295.7725627
2024-06-02T02:44:01.315,3743,921012551.53077
2024-06-02T02:45:00.453,3668,918510817.8601017
2024-06-02T02:45:26.275,3878,921903078.460488
2024-06-02T02:46:25.414,3772,915692349.7668687
2024-06-02T02:46:51.237,3729,919473630.9805772
2024-06-02T02:47:50.375,3884,919131541.4976349
2024-06-02T02:48:16.196,3884,921814093.2540562
2024-06-02T02:49:15.334,3619,917587083.3261153
2024-06-02T02:49:41.156,3858,918007341.0245264
2024-06-02T02:50:40.294,3668,917566644.9399378
2024-06-02T02:52:05.255,3714,914796541.410256
2024-06-02T02:52:31.772,3757,915714066.7287459
2024-06-02T02:53:30.214,3674,911163211.5810022
2024-06-02T02:53:56.441,3851,912213961.2294065
2024-06-02T02:54:55.143,3774,912067553.2765157
2024-06-02T02:55:20.965,3730,915123984.47536
2024-06-02T02:56:20.104,3752,915599445.5755525
2024-06-02T02:56:45.926,3786,918208527.3641452
2024-06-02T02:57:45.629,3795,912742830.8640236
2024-06-02T02:58:10.885,3746,916251999.1871843
2024-06-02T02:59:10.231,3760,917905802.381602
2024-06-02T02:59:35.845,3706,918023997.2661214
2024-06-02T03:00:34.952,3812,915253210.5559916
2024-06-02T03:01:00.774,3797,919097875.7010064
2024-06-02T03:01:59.912,3714,920021616.3073785
2024-06-02T03:02:25.733,3823,918516418.2090747
2024-06-02T03:03:24.872,3660,918633452.7539606
2024-06-02T03:04:49.832,3586,921777030.8476276
2024-06-02T03:05:15.656,3646,923304759.6851194
2024-06-02T03:06:14.792,3836,925870819.8428605
2024-06-02T03:06:40.584,3739,925209674.1113691
2024-06-02T03:07:39.752,3824,925044387.3969054
2024-06-02T03:08:05.544,3855,926616354.431329
2024-06-02T03:09:04.680,3611,929936208.8720639
2024-06-02T03:09:30.478,3635,928901913.9516842
2024-06-02T03:10:29.673,3730,928923556.521388
2024-06-02T03:10:55.529,3796,929300054.3583784
2024-06-02T03:11:54.888,3851,926762493.1297709
2024-06-02T03:12:20.745,3710,926967925.889169
2024-06-02T03:13:20.105,3757,928078239.5803351
2024-06-02T03:13:45.961,3795,925362405.3184009
2024-06-02T03:14:45.323,3856,926212559.0266547
2024-06-02T03:15:11.179,3767,929236390.1433451
2024-06-02T03:16:10.539,3757,934587743.7375821
2024-06-02T03:17:35.755,3826,928349576.8602064
2024-06-02T03:18:01.611,3735,926395033.2528453
2024-06-02T03:19:00.972,3634,927447366.1166863
2024-06-02T03:19:26.829,3752,930740284.9205076
2024-06-02T03:20:26.189,3626,928144911.8515621
2024-06-02T03:20:52.451,3636,926411221.2699468
2024-06-02T03:21:51.424,3765,921954195.5961124
2024-06-02T03:22:17.280,3748,925807305.3648493
2024-06-02T03:23:16.641,3710,925480786.8838344
2024-06-02T03:23:42.502,3667,926601452.6005332
2024-06-02T03:24:41.858,3731,928837425.3063673
2024-06-02T03:25:07.714,3829,929899173.5211043
2024-06-02T03:26:07.739,3792,928527811.546262
2024-06-02T03:26:32.930,3514,928778113.8154384
2024-06-02T03:27:32.290,3821,929168526.5991452
2024-06-02T03:27:58.147,3741,930560781.2069777
2024-06-02T03:28:57.512,3692,934558307.7579802
2024-06-02T03:29:23.396,3727,936738948.4868429
2024-06-02T03:30:48.612,3832,938321279.737823
2024-06-02T03:31:47.972,3910,936890952.9319674
2024-06-02T03:32:13.828,3891,936717722.8658814
2024-06-02T03:33:13.190,3888,939164258.5332729
2024-06-02T03:33:39.460,3741,937567111.1453296
2024-06-02T03:34:38.406,3937,938033535.6099874
2024-06-02T03:35:04.263,3737,937823876.3560295
2024-06-02T03:36:03.622,3897,937553165.3382075
2024-06-02T03:36:29.478,3823,935953544.0836197
2024-06-02T03:37:28.839,3710,935956141.2595648
2024-06-02T03:37:54.696,3767,939421971.0787
2024-06-02T03:38:54.562,3798,939517633.7270025
2024-06-02T03:39:19.912,3888,939773395.2107694
2024-06-02T03:40:19.271,3829,933663215.4750811
2024-06-02T03:40:45.191,3958,934419014.2275437
2024-06-02T03:41:44.712,3799,936010687.9619055
2024-06-02T03:42:10.633,3778,935857135.3553722
2024-06-02T03:43:10.153,3755,938315376.4812256
