HARP no.,NOAA_AR,T_REC
11297,13697,2024-05-30 04:00:00
11297,13697,2024-05-30 04:12:00
11297,13697,2024-05-30 04:24:00
11297,13697,2024-05-30 04:36:00
11297,13697,2024-05-30 04:48:00
11297,13697,2024-05-30 05:00:00
11297,13697,2024-05-30 05:12:00
11297,13697,2024-05-30 05:24:00
11297,13697,2024-05-30 05:36:00
11297,13697,2024-05-30 05:48:00
11297,13697,2024-05-30 06:00:00
11297,13697,2024-05-30 06:12:00
11297,13697,2024-05-30 06:24:00
11297,13697,2024-05-30 06:36:00
11297,13697,2024-05-30 06:48:00
11297,13697,2024-05-30 07:00:00
11297,13697,2024-05-30 07:12:00
11297,13697,2024-05-30 07:24:00
11297,13697,2024-05-30 07:36:00
11297,13697,2024-05-30 07:48:00
11297,13697,2024-05-30 08:00:00
11298,13698,2024-05-30 03:00:00
11299,13699,2024-05-30 03:12:00
11300,13700,2024-05-30 03:24:00
11301,13701,2024-05-30 03:36:00
11302,13702,2024-05-30 03:48:00
