35.313,1858094870.34735,43105.62457499021
132.56,1856852733.5113504,43091.214104501625
229.81,1859491914.1870935,43121.82642235832
327.577,1861192760.346677,43141.54331963566
424.303,1861590239.770268,43146.149758698055
521.554,1861928818.0056772,43150.073209671384
618.8,1863399511.3469508,43167.111450732955
716.478,1866020062.1873968,43197.454346292216
813.297,1866051256.5048103,43197.815407726346
910.545,1872719636.6826577,43274.93080294872
1007.793,1873694649.575497,43286.19466989447
1105.417,1872778904.9723144,43275.61558198797
1202.289,1869338537.3622053,43235.84782330514
1299.537,1869345556.962788,43235.92899429825
1396.786,1868049690.7613924,43220.94041087029
1494.328,1864016713.3684568,43174.25984310559
1591.282,1862008284.6443715,43150.9940094084
1688.53,1859327091.727617,43119.91524806142
1785.777,1854026337.17924,43058.40611309248
