date_time,Mean,Std,diff_count,Diff_error,Img_count,area
2024-11-12 22:23:02.892885,-1.8213250635950495,123.34039018950158,0.0,0.0,0.0,0
2024-11-12 22:24:40.142055,7.315520050304399,104.14613096967715,0.0,1819.2981970890976,6795377.96484375,364
2024-11-12 22:26:17.389360,-4.500811730071169,98.44478481586862,0.0,1458.3462638191631,4345079.2578125,206
2024-11-12 22:27:54.637655,-1.3348072141080973,116.49850330348332,347136.5705566406,2862.568369475544,16979574.89501953,988
2024-11-12 22:34:55.851655,-10.652356589590418,133.56863425155782,0.0,2030.1840484320167,8529352.154296875,501
2024-11-12 22:36:33.999500,-10.607934375625232,153.78408491308852,0.0,0.0,0.0,0
2024-11-12 22:38:10.349130,-14.361494269300026,150.6283077832368,0.0,0.0,0.0,0
2024-11-12 22:39:47.596425,-15.35452882499214,149.04168869188373,0.0,0.0,0.0,0
2024-11-12 22:41:24.844595,-14.652599536970875,157.7248193136415,0.0,0.0,0.0,0
2024-11-12 22:43:02.937650,-14.683625346557292,177.87121516490166,143150.6875,430.8410903871816,555543.67578125,24
2024-11-12 22:44:39.341070,-8.334364192414325,162.48021960990204,0.0,0.0,0.0,0
2024-11-12 22:46:16.590240,-4.974547689141681,159.4546201741917,0.0,373.5986933095164,292103.2109375,17
2024-11-12 22:47:53.838535,-5.024920684825792,169.14892836544354,0.0,634.6326685756395,846177.96875,47
2024-11-12 22:49:31.858400,1.8058335953354103,183.1006258535615,0.0,1268.0755527262068,3442910.4501953125,261
2024-11-12 22:51:08.335010,-0.6150227227255838,175.36737104529308,0.0,0.0,0.0,0
2024-11-12 22:52:45.582305,-6.53823420127476,183.80326926576492,0.0,2387.9600038996905,11955863.373046875,585
2024-11-12 22:54:22.830485,10.982507788607197,210.98721132118754,1726292.6430664062,3976.0890197306026,34125080.13671875,1648
2024-11-12 22:56:00.797800,7.118498299368337,188.47668128520363,1284449.1279296875,3323.2771799233974,23406928.857421875,1172
2024-11-12 22:57:37.327075,-6.9892045616943435,182.09132960473332,0.0,1994.800462393576,8330802.59765625,426
2024-11-12 22:59:14.575245,1.005519192843056,179.47912291298832,0.0,555.2155692784025,645732.23046875,35
2024-11-12 23:00:51.823550,-1.0514248149312602,186.3762493804097,0.0,1508.6105962614554,4790988.1337890625,251
2024-11-12 23:02:29.708450,-10.306913996627319,185.97559831937377,0.0,1715.6518153072866,6182668.103515625,336
2024-11-12 23:04:06.319015,-14.144828079000773,187.0206314789456,0.0,2039.8193844293544,8735046.465820312,452
2024-11-12 23:05:43.568320,-7.361314202418041,189.74695835886703,0.0,2498.1880309512894,13235766.7265625,760
2024-11-12 23:07:20.815490,-16.082742161374224,183.5399149172812,0.0,1524.632131603801,4948963.5654296875,309
2024-11-12 23:08:58.647850,-24.283305227655987,187.6275072079615,0.0,1482.8958173543256,4702964.0068359375,294
2024-11-12 23:10:35.313090,-18.837525366564723,184.62089356140123,0.0,1352.3943088830338,3893823.974609375,247
2024-11-12 23:12:12.560260,-24.44039786206305,183.27574314099758,0.0,1223.3250551974434,3173090.4716796875,200
2024-11-12 23:13:49.809555,-20.00053734244148,187.7378736437362,0.0,946.2193016404152,1903253.279296875,126
2024-11-12 23:15:27.577250,-11.614293880584217,185.86187250406374,0.0,1164.6892991584575,2886004.3515625,193
2024-11-12 23:17:04.303030,-14.74519678737817,183.65395512510946,0.0,1304.8897872746165,3597609.859375,222
2024-11-12 23:18:41.554325,-11.679946837396747,189.7167000995023,0.0,1659.5362087711906,5821974.544921875,349
2024-11-12 23:20:18.800495,-7.434272729871095,191.83364901759543,0.0,2184.521438056875,10132667.5859375,594
2024-11-12 23:21:56.478000,-1.8496584445651243,206.02721596788905,1190194.5615234375,3806.1793004517667,30776615.403320312,1433
2024-11-12 23:23:33.297095,-0.06994026352645268,211.828381484217,2263904.3505859375,4864.9763522758385,50083080.20410156,2373
2024-11-12 23:25:10.545265,16.856472404035785,250.09485341857274,2346983.0498046875,5795.679572789478,72162004.55664062,3290
2024-11-12 23:26:47.792570,19.243084574270444,233.67815001625317,1967006.7236328125,5333.958055546564,60936956.19433594,2791
2024-11-12 23:28:25.417400,19.49762197387601,246.54908541835272,2887028.470703125,6296.259830954145,85329952.55175781,4487
2024-11-12 23:30:02.289035,10.783216623317232,217.33335194719345,1586540.4038085938,5063.921745599614,54619802.31738281,2863
2024-11-12 23:31:39.537330,10.65279389487524,209.35237460608224,797318.603515625,4465.849936738885,42478949.65917969,2277
2024-11-12 23:33:16.785510,9.202795323977478,211.65963033100854,800090.1376953125,4082.644972165716,35618421.47949219,1953
2024-11-12 23:34:54.328050,-0.03779403778546317,209.89445280780646,0.0,3835.1493536363437,31408169.067382812,1772
2024-11-12 23:36:31.281975,-6.734358476005373,209.31630864381245,0.0,3176.931914889852,21553277.063476562,1255
2024-11-12 23:38:08.530280,-13.162383170892046,192.0093150757072,0.0,1948.0333338084608,8016864.9365234375,463
2024-11-12 23:39:45.777450,-26.04654300168634,191.55752245412492,0.0,1718.5256206521597,6247543.4912109375,374
