date_time,suit_count,Mean,Std,diff_count,Diff_error,Img_count,area
2024-11-12 22:24:40,175686.10498046875,,,,,,
2024-11-12 22:27:54,590979.5551757812,-1.334807214108097,116.49850330348332,347136.5705566406,2862.568369475544,16979574.89501953,988.0
2024-11-12 22:43:02,184295.58544921875,-14.683625346557292,177.87121516490166,143150.6875,430.8410903871816,555543.67578125,24.0
2024-11-12 22:49:31,226879.2353515625,,,,,,
2024-11-12 22:54:22,2506512.3510742188,10.982507788607196,210.98721132118757,1726292.6430664062,3976.0890197306026,34125080.13671875,1648.0
2024-11-12 23:05:43,753879.8505859375,,,,,,
2024-11-12 23:08:58,305003.99658203125,,,,,,
2024-11-12 23:25:10,4982201.135742188,16.856472404035785,250.09485341857277,2346983.0498046875,5795.679572789478,72162004.55664062,3290.0
2024-11-12 23:28:25,6044176.833984375,19.49762197387601,246.54908541835272,2887028.470703125,6296.259830954145,85329952.55175781,4487.0
2024-11-12 23:41:23,477973.34130859375,,,,,,
2024-11-12 23:46:14,580039.2622070312,,,,,,
2024-11-12 23:55:58,3258978.5336914062,-2.7632063337811186,238.7694462725597,1537015.001953125,4431.438829253103,42534278.728515625,2677.0
2024-11-13 00:04:04,2179441.881591797,2.5861948723811703,236.1110017451846,1549095.2331542969,3304.5070755453226,24018975.90625,1621.0
