time,reg1,reg2,reg3,reg4,reg5,reg6,reg7
2024-07-10 13:38:28.108555,39899512.0,25593244.0,19256776.0,30778288.0,26913716.0,15570148.0,165571392.0
2024-07-10 13:40:17.611870,39944552.0,26590892.0,19219362.0,32275692.0,26809604.0,15462966.0,166086544.0
2024-07-10 13:42:07.116195,39706380.0,26519564.0,18658404.0,33462008.0,27712704.0,15530324.0,166119712.0
2024-07-10 13:43:56.621510,40088888.0,25068346.0,18628944.0,33296464.0,27129796.0,15727003.0,163340096.0
2024-07-10 13:45:46.124835,40646312.0,24324330.0,18846198.0,32396912.0,27723128.0,15668524.0,161947552.0
2024-07-10 13:47:35.629150,40383048.0,23960604.0,19160246.0,32097324.0,27024182.0,15826133.0,159911776.0
2024-07-10 13:49:25.131465,39195168.0,24095026.0,18896056.0,31966706.0,26524116.0,15916670.0,159417216.0
2024-07-10 13:51:14.635665,39236064.0,24052192.0,18951596.0,32230036.0,26222496.0,15732512.0,160259200.0
2024-07-10 13:53:04.140980,39309744.0,24608442.0,18879352.0,33647240.0,26183296.0,16162278.0,160332832.0
2024-07-10 13:54:53.644305,39574056.0,24536656.0,19211526.0,34482140.0,26068732.0,16399910.0,160412992.0
2024-07-10 13:56:43.147620,39536240.0,24070504.0,18493416.0,34362152.0,26120054.0,16795300.0,158862864.0
2024-07-10 13:58:32.653070,39809232.0,23977958.0,18850442.0,33055734.0,25788020.0,16892478.0,159289216.0
2024-07-10 14:00:22.156385,39819688.0,23809688.0,18500062.0,32319678.0,25739712.0,16901376.0,159244480.0
2024-07-10 14:02:11.661710,40522476.0,24049204.0,18655560.0,31956140.0,25788848.0,16905832.0,159528480.0
2024-07-10 14:04:01.165025,40370824.0,24238536.0,18397622.0,31606116.0,25838008.0,17169696.0,158866864.0
2024-07-10 14:05:50.669225,40892548.0,24531606.0,17924444.0,31270708.0,26276956.0,17194136.0,159566368.0
2024-07-10 14:07:40.174540,41256576.0,24137850.0,17916700.0,31563458.0,25903164.0,17172116.0,157920256.0
2024-07-10 14:09:29.677865,41147488.0,24233394.0,17665580.0,31705384.0,26258892.0,17384376.0,157130816.0
2024-07-10 14:11:19.182180,40978820.0,24249100.0,17449430.0,33545552.0,26127154.0,17291780.0,157322752.0
2024-07-10 14:13:08.687630,41519888.0,24450100.0,17584046.0,33843956.0,25519932.0,17286262.0,156898560.0
2024-07-10 14:14:58.190945,41987436.0,24403212.0,17510292.0,32594296.0,25511772.0,17293308.0,156323568.0
2024-07-10 14:16:47.696270,40617180.0,25195162.0,18122380.0,32419724.0,25451318.0,17374232.0,157638464.0
2024-07-10 14:18:37.197585,40830852.0,25481496.0,18294480.0,33181952.0,25123202.0,17319062.0,158582448.0
2024-07-10 14:20:26.701910,40815228.0,26252498.0,18162502.0,34997728.0,24986888.0,17527072.0,159373312.0
2024-07-10 14:22:16.207100,40703992.0,26075292.0,19124530.0,35319400.0,25073668.0,17365450.0,160104144.0
2024-07-10 14:24:05.710425,40627704.0,26265742.0,18276424.0,33365132.0,25006992.0,17302552.0,159150560.0
2024-07-10 14:25:55.214740,40599256.0,26140808.0,17757134.0,32067904.0,25206924.0,17276538.0,159550816.0
2024-07-10 14:27:44.719065,40819368.0,25772584.0,17902908.0,33032176.0,25184308.0,17273144.0,159065184.0
2024-07-10 14:29:34.222505,40114992.0,25311184.0,18285276.0,33294642.0,25479952.0,17283318.0,158021920.0
2024-07-10 14:31:23.727830,40468860.0,25225604.0,18451434.0,33746448.0,26305204.0,17133016.0,158294112.0
2024-07-10 14:33:13.236145,40659272.0,25351848.0,19796642.0,31956826.0,26461832.0,17248120.0,160408928.0
2024-07-10 14:35:02.735460,40572664.0,24784232.0,20499188.0,31635394.0,25892784.0,17382674.0,160173680.0
2024-07-10 14:36:52.244785,40281200.0,24380032.0,20255340.0,30704684.0,25976716.0,17265208.0,158399712.0
2024-07-10 14:38:41.744100,40019456.0,25009266.0,20579516.0,30087748.0,25394308.0,17406436.0,159386720.0
2024-07-10 14:40:31.255425,40056124.0,25577312.0,20307084.0,29507916.0,24798412.0,17366140.0,160147280.0
2024-07-10 14:42:20.753740,41063784.0,25245064.0,19280488.0,29287076.0,25007602.0,17295416.0,159739360.0
2024-07-10 14:44:10.260940,40952240.0,24716248.0,19479400.0,29311612.0,25270256.0,17290496.0,159059216.0
2024-07-10 14:45:59.762255,41029692.0,24898528.0,19178888.0,29517376.0,25169464.0,17222368.0,158951168.0
2024-07-10 14:47:49.265580,41193100.0,24558692.0,19298252.0,29389902.0,24842748.0,17231510.0,158398480.0
2024-07-10 14:49:38.767895,41184720.0,24470572.0,19878796.0,29029596.0,25153204.0,17207932.0,159551968.0
2024-07-10 14:51:28.273220,41388212.0,24115956.0,18891382.0,28901612.0,25039980.0,17140064.0,157457648.0
2024-07-10 14:53:17.776660,41108712.0,24362818.0,19045180.0,30559204.0,25201512.0,17021112.0,158957760.0
2024-07-10 14:55:07.281985,41479400.0,24410816.0,18862776.0,29668470.0,25211032.0,17272718.0,158311360.0
