filter2_file,mean_counts_under_contours,QS_mean_counts
2024-07-10T13:31:01.128,79658584,4382.7104
2024-07-10T13:31:19.742,79851390,4379.527
2024-07-10T13:32:50.632,78350720,4343.8438
2024-07-10T13:33:08.579,78090970,4346.0986
2024-07-10T13:34:40.137,76680350,4393.3115
2024-07-10T13:34:58.829,76431920,4400.243
2024-07-10T13:36:29.641,76111576,4366.432
2024-07-10T13:36:47.587,75979224,4355.1567
2024-07-10T13:38:19.146,74998400,4369.3022
2024-07-10T13:38:37.926,74912430,4378.7656
2024-07-10T13:40:08.650,75410616,4383.737
2024-07-10T13:40:26.596,75245170,4378.8228
2024-07-10T13:41:58.154,75278216,4357.234
2024-07-10T13:42:16.100,74793650,4351.997
2024-07-10T13:43:47.659,72883720,4364.653
2024-07-10T13:44:05.605,72558530,4374.3257
2024-07-10T13:45:37.163,72427380,4380.593
2024-07-10T13:45:55.109,72526100,4375.8667
2024-07-10T13:47:26.667,71381040,4364.8354
2024-07-10T13:47:44.613,71150710,4359.778
2024-07-10T13:49:16.171,71075330,4374.556
2024-07-10T13:49:34.117,70872910,4382.7456
2024-07-10T13:51:05.676,71696350,4386.0503
2024-07-10T13:51:23.620,71465990,4378.0137
2024-07-10T13:52:55.181,71292696,4380.0444
2024-07-10T13:53:13.125,71423690,4385.354
2024-07-10T13:54:44.684,71120720,4392.7803
2024-07-10T13:55:02.628,71235384,4389.845
2024-07-10T13:56:34.188,69875200,4399.8115
2024-07-10T13:56:52.132,69757390,4399.409
2024-07-10T13:58:23.693,69878820,4373.61
2024-07-10T13:58:41.637,69960936,4370.3926
2024-07-10T14:00:13.196,69334730,4401.071
2024-07-10T14:00:31.140,69266250,4398.9795
2024-07-10T14:02:02.700,70031590,4384.674
2024-07-10T14:02:20.646,70051010,4379.347
2024-07-10T14:03:52.203,70076856,4372.3115
2024-07-10T14:04:10.149,70243930,4371.9243
2024-07-10T14:05:41.707,70506750,4364.602
2024-07-10T14:05:59.653,70788700,4367.52
2024-07-10T14:07:31.213,69759480,4384.453
2024-07-10T14:07:49.159,69579270,4386.694
2024-07-10T14:09:20.716,69544984,4343.8555
2024-07-10T14:09:38.662,69309350,4337.15
2024-07-10T14:11:10.220,69181320,4367.316
2024-07-10T14:11:28.166,69383016,4369.5254
2024-07-10T14:12:59.725,69450664,4360.053
2024-07-10T14:13:17.672,69089144,4354.4585
2024-07-10T14:14:49.233,68770590,4361.9805
2024-07-10T14:15:07.175,68913944,4361.755
2024-07-10T14:16:38.734,70022000,4366.4214
2024-07-10T14:16:56.680,70463580,4375.5615
2024-07-10T14:18:28.241,70755420,4367.8833
2024-07-10T14:18:46.181,70828400,4359.241
2024-07-10T14:20:17.742,71884090,4380.335
2024-07-10T14:20:35.686,71837560,4389.6797
2024-07-10T14:22:07.251,72768330,4373.6343
2024-07-10T14:22:25.191,72990410,4371.1494
2024-07-10T14:23:56.751,72244104,4390.8345
2024-07-10T14:24:14.695,72295930,4378.074
2024-07-10T14:25:46.259,72493330,4338.742
2024-07-10T14:26:04.199,72697600,4349.942
2024-07-10T14:27:35.759,71695944,4419.9434
2024-07-10T14:27:53.703,71744660,4408.2104
2024-07-10T14:29:25.260,70915650,4333.5464
2024-07-10T14:29:43.207,70918600,4339.334
2024-07-10T14:31:14.766,71097300,4382.3574
2024-07-10T14:31:32.712,71091100,4387.1553
2024-07-10T14:33:04.269,72671420,4381.479
2024-07-10T14:33:22.215,73095270,4375.659
2024-07-10T14:34:53.773,72600490,4378.272
2024-07-10T14:35:11.720,72385820,4380.6567
2024-07-10T14:36:43.279,71506400,4378.177
2024-07-10T14:37:01.225,71530504,4385.3335
2024-07-10T14:38:32.782,71965840,4390.7236
2024-07-10T14:38:50.728,71896340,4376.629
2024-07-10T14:40:22.287,73236090,4368.6865
2024-07-10T14:40:40.235,73350190,4383.4717
2024-07-10T14:42:11.792,72338700,4381.8574
