# Date,QS_Intensity
2024-06-01 07:10:22.791330,3765.0
2024-06-01 07:11:22.224400,3795.0
2024-06-01 07:11:47.846480,3815.0
2024-06-01 07:12:47.807150,3795.0
2024-06-01 07:13:12.902755,3785.0
2024-06-01 07:14:12.134865,3775.0
2024-06-01 07:14:37.958905,3765.0
2024-06-01 07:15:37.191015,3785.0
2024-06-01 07:16:03.151900,3785.0
2024-06-01 07:17:02.247290,3735.0
2024-06-01 07:17:28.713400,3745.0
2024-06-01 07:18:27.303440,3715.0
2024-06-01 07:18:53.127615,3755.0
2024-06-01 07:19:52.359715,3765.0
2024-06-01 07:20:18.187765,3755.0
2024-06-01 07:21:17.415865,3835.0
2024-06-01 07:21:43.240040,3845.0
2024-06-01 07:22:42.472150,3755.0
2024-06-01 07:23:08.296190,3765.0
2024-06-01 07:24:07.528300,3765.0
2024-06-01 07:24:33.352465,3815.0
2024-06-01 07:25:32.584575,3715.0
2024-06-01 07:25:58.408615,3815.0
2024-06-01 07:26:57.640725,3845.0
2024-06-01 07:27:23.464775,3845.0
2024-06-01 07:28:22.697000,3795.0
2024-06-01 07:28:48.521050,3795.0
2024-06-01 07:30:13.577200,3765.0
2024-06-01 07:31:12.650300,3805.0
2024-06-01 07:32:37.418575,3835.0
2024-06-01 07:34:27.945900,3815.0
2024-06-01 07:35:26.954010,3765.0
2024-06-01 07:35:52.715050,3825.0
2024-06-01 07:36:51.723160,3865.0
2024-06-01 07:37:17.483200,3875.0
2024-06-01 07:38:16.491435,3815.0
2024-06-01 07:38:42.251475,3825.0
2024-06-01 07:39:41.258585,3825.0
2024-06-01 07:40:07.186250,3775.0
2024-06-01 07:41:06.277350,3805.0
2024-06-01 07:41:31.787900,3865.0
2024-06-01 07:42:30.828010,3725.0
2024-06-01 07:42:56.586060,3765.0
2024-06-01 07:43:55.596160,3795.0
2024-06-01 07:44:21.355335,3815.0
2024-06-01 07:45:20.364435,3775.0
2024-06-01 07:45:46.122485,3765.0
2024-06-01 07:46:45.132585,3815.0
2024-06-01 07:47:10.890635,3825.0
2024-06-01 07:48:09.900860,3875.0
2024-06-01 07:48:35.658910,3875.0
2024-06-01 07:49:34.668010,3785.0
2024-06-01 07:50:00.426060,3865.0
2024-06-01 07:50:59.437160,3765.0
2024-06-01 07:51:25.199335,3855.0
2024-06-01 07:52:24.205445,3835.0
2024-06-01 07:52:49.963485,3795.0
2024-06-01 07:53:48.972595,3875.0
2024-06-01 07:54:14.730760,3835.0
2024-06-01 07:55:13.741870,3815.0
2024-06-01 07:55:39.499910,3735.0
2024-06-01 07:56:38.510020,3705.0
2024-06-01 07:58:03.278170,3895.0
2024-06-01 07:58:29.353350,3865.0
2024-06-01 07:59:28.454450,3835.0
2024-06-01 07:59:53.804495,3825.0
2024-06-01 08:00:52.812595,3845.0
2024-06-01 08:01:18.541770,3885.0
2024-06-01 08:02:17.391870,3935.0
2024-06-01 08:02:43.117920,3795.0
2024-06-01 08:03:41.997020,3765.0
2024-06-01 08:04:07.725070,3805.0
2024-06-01 08:05:06.573295,3835.0
2024-06-01 08:05:32.301345,3785.0
2024-06-01 08:06:31.150445,3725.0
2024-06-01 08:06:56.878495,3845.0
2024-06-01 08:07:55.726595,3825.0
2024-06-01 08:08:21.453770,3845.0
2024-06-01 08:09:20.301870,3805.0
2024-06-01 08:09:46.299200,3795.0
2024-06-01 08:10:44.879020,3855.0
2024-06-01 08:11:10.607070,3795.0
2024-06-01 08:12:09.455295,3815.0
2024-06-01 08:12:35.187345,3885.0
2024-06-01 08:13:34.624450,3805.0
2024-06-01 08:13:59.790495,3795.0
2024-06-01 08:14:58.702605,3855.0
2024-06-01 08:15:24.430770,3825.0
2024-06-01 08:16:23.344005,3835.0
2024-06-01 08:16:49.719200,3795.0
2024-06-01 08:17:47.951155,3855.0
2024-06-01 08:18:13.679195,3815.0
2024-06-01 08:19:12.559430,3795.0
2024-06-01 08:19:38.287345,3815.0
2024-06-01 08:20:37.204580,3775.0
2024-06-01 08:21:02.960495,3805.0
2024-06-01 08:22:01.872730,3775.0
2024-06-01 08:22:27.600770,3785.0
2024-06-01 08:23:26.512005,3755.0
2024-06-01 08:23:52.240045,3825.0
2024-06-01 08:24:51.152155,3855.0
2024-06-01 08:25:16.881320,3805.0
2024-06-01 08:26:15.793430,3785.0
2024-06-01 08:26:41.521480,3815.0
2024-06-01 08:27:40.432580,3775.0
2024-06-01 08:28:06.160630,3825.0
2024-06-01 08:29:05.727300,3735.0
2024-06-01 08:29:30.800905,3805.0
2024-06-01 08:30:29.714005,3725.0
2024-06-01 08:30:55.410055,3765.0
2024-06-01 08:31:54.991550,3895.0
2024-06-01 08:32:19.794330,3815.0
2024-06-01 08:33:18.482430,3735.0
2024-06-01 08:33:44.178480,3875.0
2024-06-01 08:34:42.866580,3855.0
2024-06-01 08:35:08.560630,3835.0
2024-06-01 08:36:07.283730,3785.0
2024-06-01 08:36:32.979905,3725.0
2024-06-01 08:37:31.667005,3705.0
2024-06-01 08:37:57.361055,3785.0
2024-06-01 08:38:56.511550,3705.0
2024-06-01 08:39:21.745330,3715.0
2024-06-01 08:40:20.435430,3815.0
2024-06-01 08:40:46.129480,3815.0
2024-06-01 08:41:44.820580,3835.0
2024-06-01 08:41:59.811735,3755.0
2024-06-01 08:42:14.797765,3775.0
2024-06-01 08:42:29.783660,3775.0
2024-06-01 08:42:46.179815,3755.0
2024-06-01 08:43:02.575845,3735.0
2024-06-01 08:43:18.971875,3775.0
2024-06-01 08:43:35.367905,3815.0
2024-06-01 08:43:51.764060,3755.0
2024-06-01 08:44:08.159965,3745.0
2024-06-01 08:44:24.555995,3725.0
2024-06-01 08:44:40.952025,3725.0
2024-06-01 08:44:57.347045,3795.0
2024-06-01 08:45:03.449065,3795.0
2024-06-01 08:46:29.783340,3715.0
2024-06-01 08:47:56.559490,3785.0
2024-06-01 08:49:22.903775,3835.0
2024-06-01 08:50:53.835935,3805.0
2024-06-01 08:52:20.152210,3725.0
2024-06-01 08:53:51.114495,3755.0
2024-06-01 08:55:17.430655,3915.0
2024-06-01 08:56:48.361815,3855.0
2024-06-01 08:58:19.275100,3875.0
2024-06-01 08:59:50.191260,3915.0
2024-06-01 09:01:21.130545,3945.0
2024-06-01 09:02:52.437150,3865.0
2024-06-01 09:04:22.956000,3845.0
2024-06-01 09:05:53.867160,3905.0
2024-06-01 09:07:24.780445,3765.0
2024-06-01 09:08:55.724730,3765.0
2024-06-01 09:10:26.636775,3935.0
2024-06-01 09:11:57.549060,3735.0
2024-06-01 09:13:28.461345,3735.0
2024-06-01 09:14:59.374630,3795.0
2024-06-01 09:16:30.125665,3695.0
2024-06-01 09:18:00.878950,3745.0
2024-06-01 09:19:31.631235,3795.0
2024-06-01 09:21:02.382405,3765.0
2024-06-01 09:22:33.166690,3835.0
2024-06-01 09:24:03.919850,3785.0
2024-06-01 09:25:34.639135,3825.0
2024-06-01 09:27:05.359295,3745.0
2024-06-01 09:28:36.805800,3775.0
2024-06-01 09:30:06.799865,3845.0
2024-06-01 09:31:37.519910,3765.0
2024-06-01 09:33:08.241195,3805.0
2024-06-01 09:34:38.961480,3795.0
2024-06-01 09:36:09.680765,3815.0
2024-06-01 09:37:40.401925,3845.0
2024-06-01 09:39:11.122210,3835.0
2024-06-01 09:40:41.809370,3755.0
2024-06-01 09:42:12.496540,3835.0
2024-06-01 09:43:43.152825,3805.0
2024-06-01 09:45:13.809110,3915.0
2024-06-01 09:46:44.241395,3895.0
2024-06-01 09:48:14.674430,3915.0
2024-06-01 09:49:45.105715,3835.0
2024-06-01 09:51:15.538000,3865.0
2024-06-01 09:52:45.970160,3855.0
2024-06-01 09:54:16.402445,3825.0
2024-06-01 09:55:46.834730,3865.0
2024-06-01 09:57:17.266765,3875.0
2024-06-01 09:58:47.700060,3895.0
2024-06-01 10:00:18.131345,3895.0
2024-06-01 10:01:48.563505,3845.0
2024-06-01 10:03:18.996790,3915.0
2024-06-01 10:04:49.460075,3865.0
2024-06-01 10:06:19.892235,3835.0
2024-06-01 10:07:50.325395,3855.0
2024-06-01 10:09:20.756680,3905.0
2024-06-01 10:10:51.188965,3795.0
2024-06-01 10:12:21.622125,3845.0
2024-06-01 10:13:52.534100,3835.0
2024-06-01 10:15:22.422580,3785.0
2024-06-01 10:16:52.598740,3825.0
2024-06-01 10:18:22.774025,3815.0
2024-06-01 10:19:52.951310,3975.0
