time,mode,thresh_area,thresho_tot,exposure,shutter_angle
2024-06-01 07:10:59.336525,3200,14556,52538951.649112105,2000,0.439453125
2024-06-01 07:12:24.390550,3187,13398,48360572.85056956,2000,0.439453125
2024-06-01 07:13:49.446825,3201,12402,44711217.952663675,2000,0.439453125
2024-06-01 07:15:14.502975,3201,13302,47977461.35212316,2000,0.439453125
2024-06-01 07:16:39.559250,3197,13720,49492291.838374406,2000,0.439453125
2024-06-01 07:18:04.615400,3221,13202,47617690.00530223,2000,0.439453125
2024-06-01 07:19:29.671675,3197,13755,49629897.85143846,2000,0.439453125
2024-06-01 07:20:54.727825,3224,14228,51314248.23763378,2000,0.439453125
2024-06-01 07:22:19.784110,3260,13787,49745592.90352511,2000,0.439453125
2024-06-01 07:23:44.840260,3184,13626,49131647.05376728,2000,0.439453125
2024-06-01 07:25:09.896410,3225,14256,51457265.50388087,2000,0.439453125
2024-06-01 07:26:34.952685,3277,15584,56281548.01696982,2000,0.439453125
2024-06-01 07:28:00.883500,3211,14386,51941742.66437834,2000,0.439453125
2024-06-01 07:29:25.651100,3181,14067,50765846.80038792,2000,0.439453125
2024-06-01 07:30:50.252600,3235,13728,49550400.46231864,2000,0.439453125
2024-06-01 07:32:14.794535,3212,14112,50929128.292909175,2000,0.439453125
2024-06-01 07:33:39.562695,3185,15721,56736922.245287195,2000,0.439453125
2024-06-01 07:35:04.329845,3263,14237,51427236.56510648,2000,0.439453125
2024-06-01 07:36:29.991200,3281,14313,51714312.38327834,2000,0.439453125
2024-06-01 07:37:53.867270,3272,14015,50576334.77091417,2000,0.439453125
2024-06-01 07:39:18.634545,3266,13065,47208080.74971531,2000,0.439453125
2024-06-01 07:40:43.403695,3249,12672,45733335.48663501,2000,0.439453125
2024-06-01 07:42:08.175970,3184,13346,48217219.790677965,2000,0.439453125
2024-06-01 07:43:32.972120,3234,12633,45630515.39887867,2000,0.439453125
2024-06-01 07:44:57.739270,3248,13291,48012473.02503321,2000,0.439453125
2024-06-01 07:46:22.508545,3248,13854,50088424.828612834,2000,0.439453125
2024-06-01 07:47:47.276695,3267,13753,49653828.26084145,2000,0.439453125
2024-06-01 07:49:12.439700,3269,13341,48170378.37559754,2000,0.439453125
2024-06-01 07:50:36.813120,3229,13322,48064922.94048838,2000,0.439453125
2024-06-01 07:52:01.581395,3183,14916,53844650.81273354,2000,0.439453125
2024-06-01 07:53:26.349555,3231,15353,55471709.19394947,2000,0.439453125
2024-06-01 07:54:51.116705,3202,14488,52382041.89824981,2000,0.439453125
2024-06-01 07:56:15.885980,3249,15373,55603992.09775886,2000,0.439453125
2024-06-01 07:57:40.654130,3254,16106,58245798.019340746,2000,0.439453125
2024-06-01 07:59:05.421405,3211,16253,58794872.07511077,2000,0.439453125
2024-06-01 08:00:30.196555,3234,14590,52763524.84885245,2000,0.52734375
