filter2_file,counts_under_contours
2024-07-10T11:20:34.162,81009970.0
2024-07-10T11:22:09.394,79999750.0
2024-07-10T11:23:44.625,79395336.0
2024-07-10T11:25:19.858,81302150.0
2024-07-10T11:26:55.908,82295660.0
2024-07-10T11:28:30.322,82579260.0
2024-07-10T11:30:05.555,83139550.0
2024-07-10T11:31:40.979,81701976.0
2024-07-10T11:33:16.466,82505530.0
2024-07-10T11:34:51.955,81850270.0
2024-07-10T11:36:27.475,80922470.0
2024-07-10T11:38:02.995,80803800.0
2024-07-10T11:39:38.516,82223490.0
2024-07-10T11:41:14.363,82973496.0
2024-07-10T11:42:49.556,82071976.0
2024-07-10T11:44:25.769,81431336.0
2024-07-10T11:46:00.597,81498780.0
2024-07-10T11:47:36.116,84025020.0
2024-07-10T11:49:11.636,84664290.0
2024-07-10T11:50:47.156,90587820.0
2024-07-10T11:52:22.643,88868120.0
2024-07-10T11:53:58.132,87935120.0
2024-07-10T11:55:33.621,89540130.0
2024-07-10T11:57:09.108,92810824.0
2024-07-10T12:11:46.694,88246730.0
2024-07-10T12:12:03.638,87918680.0
2024-07-10T12:13:39.227,86939544.0
2024-07-10T12:15:14.840,86256850.0
2024-07-10T12:16:50.391,86506380.0
2024-07-10T12:18:25.976,86053736.0
2024-07-10T12:20:01.527,86837380.0
2024-07-10T12:21:37.110,84961440.0
2024-07-10T12:23:12.662,85309590.0
2024-07-10T12:24:48.218,85770184.0
2024-07-10T12:26:23.767,86223570.0
2024-07-10T12:27:59.319,86982056.0
2024-07-10T12:29:34.872,89531736.0
2024-07-10T12:31:10.487,90102730.0
2024-07-10T12:32:46.295,90805816.0
2024-07-10T12:34:22.104,90781800.0
2024-07-10T12:35:57.912,87869450.0
2024-07-10T12:37:33.720,85822840.0
2024-07-10T12:39:09.529,83547670.0
2024-07-10T12:40:45.338,84725590.0
2024-07-10T12:42:21.145,85793530.0
2024-07-10T12:43:56.954,86170630.0
2024-07-10T12:45:32.762,85084370.0
2024-07-10T12:47:08.569,85156160.0
2024-07-10T12:48:44.379,85451710.0
2024-07-10T12:50:20.219,84879020.0
2024-07-10T12:51:56.263,85341940.0
2024-07-10T12:53:31.866,87746740.0
2024-07-10T12:55:07.674,88941880.0
2024-07-10T12:56:43.615,91664820.0
2024-07-10T12:58:15.176,93398020.0
2024-07-10T12:58:33.120,94140670.0
2024-07-10T13:00:04.678,103439416.0
2024-07-10T13:00:22.621,105288710.0
2024-07-10T13:01:54.180,114894760.0
2024-07-10T13:02:12.126,120096700.0
2024-07-10T13:03:43.685,114984216.0
2024-07-10T13:04:01.631,111839416.0
2024-07-10T13:05:33.189,103496710.0
2024-07-10T13:05:51.136,102270220.0
2024-07-10T13:07:22.694,101136090.0
2024-07-10T13:07:40.140,103397304.0
2024-07-10T13:09:07.571,101891180.0
2024-07-10T13:09:25.249,99532136.0
2024-07-10T13:10:56.584,94934070.0
2024-07-10T13:11:14.530,95624070.0
2024-07-10T13:12:46.881,96157840.0
2024-07-10T13:13:04.341,96179940.0
2024-07-10T13:14:35.593,96691160.0
2024-07-10T13:14:53.539,96371304.0
2024-07-10T13:16:25.966,96658510.0
2024-07-10T13:16:43.426,95487256.0
2024-07-10T13:18:14.601,94091640.0
2024-07-10T13:18:32.547,93622740.0
2024-07-10T13:20:04.105,93430700.0
2024-07-10T13:20:22.494,93187850.0
2024-07-10T13:21:53.610,90912920.0
2024-07-10T13:22:11.554,91242990.0
2024-07-10T13:23:43.114,90344250.0
2024-07-10T13:24:01.579,90028760.0
2024-07-10T13:25:32.618,88401650.0
2024-07-10T13:25:50.562,87883210.0
2024-07-10T13:27:22.121,86405660.0
2024-07-10T13:27:40.655,86012070.0
2024-07-10T13:29:11.627,86084400.0
2024-07-10T13:29:29.571,86306000.0
2024-07-10T13:31:01.128,86776630.0
2024-07-10T13:31:19.742,87000540.0
2024-07-10T13:32:50.632,85409464.0
2024-07-10T13:33:08.579,85135220.0
2024-07-10T13:34:40.137,83701970.0
2024-07-10T13:34:58.829,83421670.0
