T_REC,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,DATE-OBS,TIMESYS,TELESCOP,INSTRUME,BUNIT,RSUN_OBS,DSUN_OBS,CRLN_OBS,CRLT_OBS,CAR_ROT,CROTA2
2024.07.10_03:30:00_TAI,2036.824829,2054.594971,0.0,0.0,0.504039,0.504039,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:29:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.802368,152108967822.54,224.417633,3.877431,2286,179.929779
2024.07.10_03:30:45_TAI,2036.825195,2054.594971,0.0,0.0,0.504039,0.504039,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:29:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.801636,152109083587.21,224.410767,3.877477,2286,179.929855
2024.07.10_03:31:30_TAI,2036.829956,2054.589844,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:30:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.800964,152109199135.49,224.4039,3.877524,2286,179.929642
2024.07.10_03:32:15_TAI,2036.840698,2054.588135,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:31:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.800232,152109314466.14,224.397034,3.877569,2286,179.929794
2024.07.10_03:33:00_TAI,2036.845825,2054.588135,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:32:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.7995,152109429578.18,224.390167,3.877615,2286,179.929749
2024.07.10_03:33:45_TAI,2036.845703,2054.555908,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:32:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.798828,152109544470.25,224.383301,3.877661,2286,179.929733
2024.07.10_03:34:30_TAI,2036.840698,2054.550293,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:33:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.798096,152109659140.88,224.376434,3.877707,2286,179.929886
2024.07.10_03:35:15_TAI,2036.824951,2054.546143,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:34:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.797363,152109773588.84,224.369568,3.877753,2286,179.929718
2024.07.10_03:36:00_TAI,2036.815796,2054.552979,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:35:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.796692,152109887813.19,224.362701,3.877799,2286,179.929688
2024.07.10_03:36:45_TAI,2036.812256,2054.557861,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:35:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.795959,152110001812.54,224.355835,3.877844,2286,179.92984
2024.07.10_03:37:30_TAI,2036.810181,2054.561523,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:36:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.795288,152110115585.46,224.348969,3.877889,2286,179.929642
2024.07.10_03:38:15_TAI,2036.808716,2054.559814,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:37:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.794556,152110229130.71,224.342102,3.877935,2286,179.929825
2024.07.10_03:39:00_TAI,2036.808716,2054.56543,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:38:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.793823,152110342447.36,224.335236,3.87798,2286,179.92984
2024.07.10_03:39:45_TAI,2036.806396,2054.566406,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:38:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.793152,152110455534.04,224.328369,3.878025,2286,179.929779
2024.07.10_03:40:30_TAI,2036.804077,2054.565186,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:39:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.79248,152110568389.31,224.321503,3.87807,2286,179.929886
2024.07.10_03:41:15_TAI,2036.801025,2054.561523,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:40:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.791748,152110681011.98,224.314636,3.878115,2286,179.929718
2024.07.10_03:42:00_TAI,2036.797607,2054.554443,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:41:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.791077,152110793401.09,224.307785,3.87816,2286,179.929749
2024.07.10_03:42:45_TAI,2036.798828,2054.565186,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:41:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.790344,152110905555.3,224.300919,3.878204,2286,179.92984
2024.07.10_03:43:30_TAI,2036.802124,2054.561279,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T03:42:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.789673,152111017473.17,224.294052,3.878249,2286,179.929535
