T_REC,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,DATE-OBS,TIMESYS,TELESCOP,INSTRUME,BUNIT,RSUN_OBS,DSUN_OBS,CRLN_OBS,CRLT_OBS,CAR_ROT,CROTA2
2024.11.03_06:45:00_TAI,2040.652344,2049.046387,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:43:56.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200195,148429281863.5,130.488754,4.113223,2290,179.929825
2024.11.03_06:45:45_TAI,2040.650146,2049.046387,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:44:41.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200256,148429276513.79,130.481934,4.113163,2290,179.929779
2024.11.03_06:46:30_TAI,2040.650146,2049.046387,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:45:26.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200256,148429270829.81,130.475128,4.113104,2290,179.92984
2024.11.03_06:47:15_TAI,2040.650146,2049.057129,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:46:11.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200317,148429264811.4,130.468307,4.113045,2290,179.929733
2024.11.03_06:48:00_TAI,2040.614624,2049.057861,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:46:56.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200378,148429258458.44,130.461487,4.112986,2290,179.929779
2024.11.03_06:48:45_TAI,2040.58313,2049.057861,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:47:41.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200378,148429251770.78,130.454681,4.112927,2290,179.929779
2024.11.03_06:49:30_TAI,2040.582153,2049.056641,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:48:26.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200439,148429244748.26,130.447861,4.112869,2290,179.92984
2024.11.03_06:50:15_TAI,2040.582153,2049.060547,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:49:11.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.2005,148429237390.73,130.441055,4.11281,2290,179.929825
2024.11.03_06:51:00_TAI,2040.591553,2049.060547,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:49:56.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200562,148429229698.09,130.434235,4.112751,2290,179.929871
2024.11.03_06:51:45_TAI,2040.623901,2049.060547,0.0,0.0,0.504038,0.504038,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:50:41.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200623,148429221670.2,130.427414,4.112693,2290,179.929779
2024.11.03_06:52:30_TAI,2040.640869,2049.071289,0.0,0.0,0.504037,0.504037,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-11-03T06:51:26.60Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,967.200623,148429213306.92,130.420609,4.112635,2290,179.929886
