T_REC,CRPIX1,CRPIX2,CRVAL1,CRVAL2,CDELT1,CDELT2,CUNIT1,CUNIT2,CTYPE1,CTYPE2,DATE-OBS,TIMESYS,TELESCOP,INSTRUME,BUNIT,RSUN_OBS,DSUN_OBS,CRLN_OBS,CRLT_OBS,CAR_ROT,CROTA2
2024.07.10_11:30:00_TAI,2036.883911,2054.552002,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:29:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.804688,152108600349.96,220.029007,3.895724,2286,179.92981
2024.07.10_11:30:45_TAI,2036.880737,2054.542969,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:29:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.80542,152108481748.32,220.022141,3.895754,2286,179.929626
2024.07.10_11:31:30_TAI,2036.880737,2054.534424,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:30:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.806152,152108362920.33,220.015259,3.895784,2286,179.929626
2024.07.10_11:32:15_TAI,2036.884277,2054.5271,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:31:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.806885,152108243867.22,220.008377,3.895815,2286,179.929672
2024.07.10_11:33:00_TAI,2036.894409,2054.5271,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:32:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.807617,152108124589.95,220.001511,3.895845,2286,179.929871
2024.07.10_11:33:45_TAI,2036.903564,2054.5271,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:32:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.80835,152108005089.88,219.994629,3.895876,2286,179.929825
2024.07.10_11:34:30_TAI,2036.916016,2054.564453,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:33:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.809082,152107885368.48,219.987747,3.895906,2286,179.929871
2024.07.10_11:35:15_TAI,2036.938843,2054.566895,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:34:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.809814,152107765426.96,219.980881,3.895937,2286,179.929794
2024.07.10_11:36:00_TAI,2036.942993,2054.568848,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:35:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.810608,152107645266.3,219.973999,3.895968,2286,179.929779
2024.07.10_11:36:45_TAI,2036.942993,2054.570801,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:35:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.81134,152107524887.88,219.967117,3.895999,2286,179.92955
2024.07.10_11:37:30_TAI,2036.942383,2054.566895,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:36:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.812073,152107404293.16,219.960251,3.896029,2286,179.929565
2024.07.10_11:38:15_TAI,2036.935059,2054.564697,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:37:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.812805,152107283483.37,219.953369,3.89606,2286,179.929794
2024.07.10_11:39:00_TAI,2036.93103,2054.564941,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:38:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.813599,152107162459.5,219.946487,3.896092,2286,179.929916
2024.07.10_11:39:45_TAI,2036.907959,2054.572021,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:38:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.814331,152107041222.93,219.939606,3.896123,2286,179.92981
2024.07.10_11:40:30_TAI,2036.89978,2054.575195,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:39:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.815063,152106919775.14,219.932739,3.896154,2286,179.929916
2024.07.10_11:41:15_TAI,2036.899536,2054.575195,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:40:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.815857,152106798117.38,219.925858,3.896185,2286,179.929657
2024.07.10_11:42:00_TAI,2036.895386,2054.575195,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:41:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.816589,152106676250.62,219.918976,3.896217,2286,179.92981
2024.07.10_11:42:45_TAI,2036.885742,2054.575439,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:41:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.817383,152106554176.27,219.912094,3.896248,2286,179.929611
2024.07.10_11:43:30_TAI,2036.87146,2054.573975,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:42:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.818115,152106431895.82,219.905228,3.89628,2286,179.929565
2024.07.10_11:44:15_TAI,2036.859497,2054.571045,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:43:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.818848,152106309410.51,219.898346,3.896311,2286,179.929688
2024.07.10_11:45:00_TAI,2036.845581,2054.571045,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:44:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.819641,152106186721.34,219.891464,3.896343,2286,179.929871
2024.07.10_11:45:45_TAI,2036.841064,2054.571045,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:44:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.820374,152106063829.71,219.884583,3.896374,2286,179.929886
2024.07.10_11:46:30_TAI,2036.840576,2054.571045,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:45:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.821167,152105940737.13,219.877716,3.896406,2286,179.929886
2024.07.10_11:47:15_TAI,2036.842651,2054.574707,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:46:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.821899,152105817444.85,219.870834,3.896438,2286,179.929703
2024.07.10_11:48:00_TAI,2036.842651,2054.57666,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:47:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.822693,152105693953.88,219.863953,3.89647,2286,179.929779
2024.07.10_11:48:45_TAI,2036.850464,2054.58667,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:47:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.823486,152105570265.62,219.857071,3.896502,2286,179.929672
2024.07.10_11:49:30_TAI,2036.857422,2054.599609,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:48:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.824219,152105446381.59,219.850189,3.896534,2286,179.929611
2024.07.10_11:50:15_TAI,2036.858643,2054.626953,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:49:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.825012,152105322303.06,219.843307,3.896567,2286,179.929718
2024.07.10_11:51:00_TAI,2036.859497,2054.635742,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:50:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.825745,152105198031.03,219.836441,3.896599,2286,179.929794
2024.07.10_11:51:45_TAI,2036.864258,2054.635742,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:50:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.826538,152105073566.92,219.829559,3.896631,2286,179.929916
2024.07.10_11:52:30_TAI,2036.877563,2054.631592,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:51:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.827332,152104948912.27,219.822678,3.896663,2286,179.929886
2024.07.10_11:53:15_TAI,2036.877563,2054.608398,0.0,0.0,0.504047,0.504047,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:52:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.828064,152104824068.33,219.815796,3.896696,2286,179.929657
2024.07.10_11:54:00_TAI,2036.873657,2054.574219,0.0,0.0,0.504048,0.504048,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:53:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.828857,152104699036.13,219.808914,3.896729,2286,179.929764
2024.07.10_11:54:45_TAI,2036.875732,2054.573975,0.0,0.0,0.504048,0.504048,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:53:53.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.829651,152104573817.09,219.802032,3.896761,2286,179.929688
2024.07.10_11:55:30_TAI,2036.876709,2054.555908,0.0,0.0,0.504048,0.504048,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:54:38.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.830444,152104448412.75,219.795151,3.896794,2286,179.929581
2024.07.10_11:56:15_TAI,2036.875732,2054.546631,0.0,0.0,0.504048,0.504048,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:55:23.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.831177,152104322824.39,219.788269,3.896827,2286,179.929886
2024.07.10_11:57:00_TAI,2036.875,2054.546631,0.0,0.0,0.504048,0.504048,arcsec,arcsec,HPLN-TAN,HPLT-TAN,2024-07-10T11:56:08.90Z,Invalid KeyLink,SDO/HMI,HMI_FRONT2,Gauss,943.83197,152104197053.03,219.781387,3.89686,2286,179.929733
