Date,Mean,Std,diff_count,Diff_error,Img_count,area
2024-10-08 23:56:46.201380,-45.25260956918385,1457.1783851677149,4463248.286221679,21792.71226167855,29870059.79795807,1092
2024-10-08 23:58:23.193675,-104.1123636316041,1496.6406242514179,998948.634536768,10478.638399884645,6900180.102370579,255
2024-10-09 00:00:00.153970,-134.32706491364698,1499.3336775491043,6354109.9408081705,26613.715650070033,44494723.207686864,1623
2024-10-09 00:01:37.111140,-126.89645491253444,1889.3536946061015,5168398.560090032,20467.865804493427,26564148.496699277,959
2024-10-09 00:03:14.714450,-129.78740927861364,2053.6931403129365,6696957.114761658,22369.919344228583,31822281.597454935,1153
2024-10-09 00:04:51.317400,-122.78174839499225,2439.7731054928017,997664.3529626485,7544.770629581087,3661159.547764063,131
2024-10-09 00:06:27.991910,-127.71608214498407,2519.3650841753165,1391306.264334787,8762.007132532939,4945810.696930271,174
2024-10-09 00:08:04.952215,-149.5260237037231,2550.43600697335,841450.7549503857,6867.09206433672,3035617.2790959943,107
2024-10-09 00:09:41.912510,-127.09802490788793,2578.9783055283124,655018.5405241726,5877.042125277084,2230180.223306465,79
2024-10-09 00:11:18.909680,-147.33397250053991,2613.9149781052442,622097.7527259008,5667.49404051007,2076247.0395540837,72
2024-10-09 00:12:55.997975,-139.34376615642364,2556.280032082282,705930.0315281869,6119.31493684996,2417106.192419178,86
2024-10-09 00:14:33.862800,-137.33383179649616,2545.0372689047895,465642.3446705361,4939.499023829199,1575904.7599599329,57
2024-10-09 00:16:10.174450,-198.6200074605865,2568.5241368879715,835462.4916162523,6685.427005187617,2883770.6583364718,103
2024-10-09 00:17:47.262745,-111.78743545611016,2537.4823600205923,617511.692414449,5689.586679140862,2090812.5866642785,75
2024-10-09 00:19:24.351040,-131.5803191036825,2499.894051176687,1003328.9334171993,7368.124610886997,3500799.7555934777,127
2024-10-09 00:21:01.439220,-111.11964752000942,2475.711044977428,568282.9115408728,5603.457348012407,2022621.98239305,73
2024-10-09 00:22:38.527515,-64.93292670955414,2458.0698319510448,308638.43139804,4135.3743613477545,1101467.6433898136,39
2024-10-09 00:24:15.615810,-121.72390921644208,2411.388616439578,622422.2015202972,5916.609495653597,2253057.7956146244,80
2024-10-09 00:25:52.704105,-101.84210061320786,2400.6151131475935,653262.6668172574,6006.778388403261,2324305.896395564,82
2024-10-09 00:27:29.792285,-128.18741124192587,2349.965191092186,436218.0733808792,5028.1123914333775,1624855.4088709138,58
2024-10-09 00:29:06.880455,-162.6041111758277,2437.0401338958172,1026586.8347927346,7578.323799090777,3697300.9318255,130
2024-10-09 00:30:44.750000,-203.22854263332528,2472.9378350144034,624033.9174786888,5826.841858953497,2188771.206075495,77
2024-10-09 00:32:21.890550,-118.84952847784402,2296.477177073634,340047.08990838076,4335.072915419129,1210570.7431314974,45
2024-10-09 00:33:58.177350,-109.3597671511685,2443.544480321555,770667.7444646249,6579.853070431164,2786652.9240246327,100
2024-10-09 00:35:35.265645,-165.30636178609058,2100.1012205331417,570428.3210031433,6047.971677606862,2340225.0927300537,84
2024-10-09 00:37:12.353940,-153.69937108564622,2146.384039058756,1428245.1353197768,9530.285762888368,5813056.635422617,210
2024-10-09 00:38:49.441995,-133.4986027761235,2223.0272983634873,1042351.1746347318,7976.250547971071,4079171.5398066174,142
2024-10-09 00:40:26.529290,-190.88850677015503,2095.1821091329634,131823.33919801813,2949.296753736316,555843.104032627,21
2024-10-09 00:42:03.551585,-156.37619353023175,2233.489746253172,1110793.9855478657,8264.944868972976,4378334.410809593,158
2024-10-09 00:43:40.575880,-168.69622651387735,2548.9466906860594,2293569.5552357305,11043.246059873338,7871013.288924368,281
2024-10-09 00:45:17.568185,-184.58369927292003,2603.087953028403,711590.4297390735,6042.697121012231,2361022.370602071,84
2024-10-09 00:46:54.624480,-201.48481705202124,2603.343364347683,310833.9182080341,3995.105916517557,1031999.3018432636,37
2024-10-09 00:48:31.652525,-189.17216939457995,2579.264446679551,734552.1282321918,6122.049805965526,2424165.6193273882,86
2024-10-09 00:50:08.672830,-157.23375195513177,2581.6604758820895,0.0,0.0,0.0,0
2024-10-09 00:51:45.729125,-131.70631466659685,2531.014991025658,721521.1032852698,6184.938904470035,2469291.1847615754,88
2024-10-09 00:53:22.785420,-69.12671544406851,1830.5476782142941,0.0,0.0,0.0,0
2024-10-09 00:54:59.809715,-116.07982827562286,2401.662277210789,796793.6419335108,6738.7542541747425,2920850.932350553,103
2024-10-09 00:56:36.866010,-115.40917717584078,2574.2205401252063,692373.9022497786,5974.555834159281,2307503.6245922726,84
2024-10-09 00:58:13.922065,-138.4764108034528,2532.386528485337,939219.4111551207,7098.874722608507,3250997.2644986594,117
2024-10-09 01:05:14.883315,-234.3409193536776,2665.5737350573386,617641.5782623306,5675.240236838108,2080848.8206277664,75
2024-10-09 01:06:51.939485,-220.21665477772032,2676.3810616162705,781144.9682432697,6485.382720343281,2712886.9474888644,94
2024-10-09 01:08:28.963780,-214.98199642677173,2675.4838908647857,1094255.9486839317,7578.659689971954,3709454.856174543,131
2024-10-09 01:10:06.508500,-211.35849754258751,2702.643427780852,698707.5345589387,5964.543133849398,2301290.024775252,82
2024-10-09 01:11:43.432550,-203.20150782379926,2704.9001079018967,137472.21961351545,2628.922731813913,447370.7656355507,16
2024-10-09 01:13:20.675500,-219.90510984731975,2691.6062031676374,343171.1445123466,4155.136026771208,1117545.718599197,40
2024-10-09 01:14:57.598450,-263.77110397047176,2678.760939677374,790852.732069255,6381.899685020606,2633028.6479791696,95
2024-10-09 01:16:34.521500,-287.99769965249374,2660.1356640999484,591035.4631864928,5639.0390727395825,2051105.357970512,72
2024-10-09 01:18:11.443200,-262.4663488282298,2627.453863138391,1215411.6833418289,8024.419715753389,4156664.8907773364,148
2024-10-09 01:19:48.666150,-208.61291663121798,2640.4728864961467,1553249.7515372883,8960.371779809417,5189474.78050383,184
2024-10-09 01:21:25.267850,-203.32614215689483,2647.4703594469315,1412706.379188995,8640.97622345195,4820544.909631616,168
2024-10-09 01:23:02.190800,-185.0390142863687,2659.848417735094,829695.7292370595,6357.687759330583,2620933.6133814286,93
2024-10-09 01:24:38.979385,-193.1672676583575,2686.050339137701,1637542.9831943419,8997.754061799555,5245344.18415262,189
2024-10-09 01:26:16.368000,-220.56969104009738,2737.9088124620625,1839803.5056455047,9602.574950619653,5969794.161526879,211
