Date,Mean,Std,diff_count,Img_count
2024-10-08 23:01:14.453450,-1.3198034995670114,114.06237074002362,1107703.6206054688,59595949.44433594
2024-10-08 23:02:51.413745,-7.107097829962814,114.30589073230414,851806.4018554688,45895823.97167969
2024-10-08 23:04:28.406050,-2.4161180021394735,130.7456205731019,763015.8754882812,35128926.54394531
2024-10-08 23:06:05.430345,-2.994902832255107,116.0952281403817,843924.1762695312,41838666.591796875
2024-10-08 23:07:42.422640,-1.4019439916458662,156.38213027717595,811369.6489257812,29363844.80859375
2024-10-08 23:09:19.446810,-5.732772782843462,195.28559374322066,336720.3349609375,8932647.568359375
2024-10-08 23:10:56.437115,-15.506841857266568,194.74937693656332,280318.21630859375,7307144.3369140625
2024-10-08 23:12:33.429410,0.2321487698028628,197.44394681986606,620810.5708007812,14679024.439453125
2024-10-08 23:14:10.453580,1.7037720951556212,240.2032137130652,2068697.1655273438,34089740.96972656
2024-10-08 23:15:47.413875,8.04308236972136,261.15923893088893,5071661.958496094,66006883.29785156
2024-10-08 23:17:24.374055,29.018628062757884,317.53847535772303,6686528.639160156,71643563.53808594
2024-10-08 23:19:01.365350,-7.439321099281749,226.07997344028982,2040736.2509765625,35750911.21484375
2024-10-08 23:20:38.326645,-13.704179613876013,217.31246684672848,985290.9287109375,20801551.235351562
2024-10-08 23:22:15.286940,-5.658556619632215,212.11082149940523,599878.1040039062,12536707.8359375
2024-10-08 23:23:52.278245,-14.001127043961082,213.07172544509697,987829.7231445312,19976288.806640625
2024-10-08 23:25:29.239290,-8.797733813865824,227.29960469335163,1654407.0063476562,34356997.06738281
2024-10-08 23:27:06.199585,-3.3574066527431103,221.91536900468978,1617565.767578125,34158797.55566406
2024-10-08 23:28:43.158880,-11.060032601497632,248.91576800493863,1599712.7563476562,27553517.966796875
2024-10-08 23:30:20.119185,-10.470152437471347,235.60614249504712,1605115.3999023438,28899755.654296875
2024-10-08 23:31:57.794800,-9.316998624624318,240.41556893615729,1566488.900390625,30272158.353515625
2024-10-08 23:33:34.397750,-18.989067036829503,221.49338436585364,489269.607421875,10054786.64453125
2024-10-08 23:35:10.999945,-15.728987315979827,222.8304766365152,691522.7158203125,16408443.946289062
2024-10-08 23:36:47.960250,-6.3838698996485155,230.962850595664,707137.8803710938,16145372.571289062
2024-10-08 23:38:24.920420,-18.183332484336,225.18510707695182,541957.4443359375,12354342.6796875
2024-10-08 23:40:01.880715,-16.26580090163517,230.48489110517116,523387.486328125,10675464.076171875
2024-10-08 23:41:38.841010,-0.9246567928276705,242.603085341,2077608.373046875,36971875.50878906
2024-10-08 23:43:15.801315,-7.872112347817228,263.06377803708017,3954098.6469726562,47273119.08203125
2024-10-08 23:44:52.761485,-8.437286689419794,250.3540596006556,2700948.798828125,39776342.17871094
2024-10-08 23:46:29.753780,-11.261435994090979,240.82068613962207,1287532.787109375,23983735.815429688
2024-10-08 23:48:06.712075,-23.264852147114258,233.41906302051993,464170.31787109375,10294349.423828125
2024-10-08 23:49:43.676255,-16.208741913300393,240.75357269072393,744590.9423828125,16443555.903320312
2024-10-08 23:51:20.668550,-17.122306555957415,236.02753968322955,763422.4130859375,15394586.547851562
2024-10-08 23:52:57.656720,-11.162577683256075,244.34265299685183,1331294.6884765625,23653348.069335938
2024-10-08 23:54:34.649015,-16.394580001018795,248.1817035076376,871890.7231445312,17454286.544921875
2024-10-08 23:56:11.641320,-11.073598517650655,241.01835551477336,559589.4321289062,11330434.690429688
2024-10-08 23:57:48.633615,-19.727236258978145,244.13402735795813,673548.7451171875,14132873.661132812
2024-10-08 23:59:25.593910,-17.638798329173245,240.92270972184082,439022.46337890625,9431697.584960938
2024-10-09 00:01:02.554080,-24.84241760480872,251.22561316300218,522986.73388671875,11484502.07421875
2024-10-09 00:02:39.513260,-3.0701091386073047,395.6959500483199,4132425.7241210938,49505618.37207031
2024-10-09 00:04:16.473555,0.1941285466863634,394.3747761563207,4026546.5478515625,47135295.79785156
2024-10-09 00:05:53.434850,-13.06120740155876,327.2380171721121,1566707.1982421875,26150855.643554688
2024-10-09 00:07:30.394145,-22.0919814324283,266.0329521668724,496229.58642578125,9071649.001953125
2024-10-09 00:09:07.354450,-25.16403265243747,246.4671014572252,192526.05224609375,3889089.623046875
2024-10-09 00:10:44.319620,-25.969165478070398,240.91109814179254,226756.08154296875,4730338.1572265625
2024-10-09 00:12:21.407790,-25.333191126279864,246.7123183321725,207095.0537109375,4290040.5947265625
2024-10-09 00:13:58.496085,-21.950849421832814,250.21984822433572,235240.09228515625,5117981.15234375
2024-10-09 00:15:35.583390,-28.04646668534461,247.9219197387613,412775.62939453125,8807700.748046875
2024-10-09 00:17:12.672685,-26.94991658601192,257.107824103283,315127.08203125,6766239.7529296875
2024-10-09 00:18:49.760980,-22.936828230859355,251.610161903042,332608.052734375,7419589.2451171875
2024-10-09 00:20:26.848285,-25.273671106922723,264.64628003107606,588442.86328125,12760265.227539062
2024-10-09 00:22:03.937330,-18.172297641485407,260.55512997774224,302890.58251953125,6456846.873046875
2024-10-09 00:23:41.256250,-21.763429015332893,262.2593844435961,431682.79443359375,8943530.549804688
2024-10-09 00:25:18.113920,-20.71684453160817,251.04811807908783,527885.2797851562,11078885.549804688
2024-10-09 00:26:55.200225,-18.84776947175386,258.98642144836464,874391.8857421875,18167361.510742188
2024-10-09 00:28:32.288520,-16.341503871427843,259.51071522678654,792271.9174804688,17330439.951171875
2024-10-09 00:30:09.376690,-18.64357393917783,268.2188605055727,1079168.0708007812,19747990.084960938
2024-10-09 00:31:46.496985,-2.1877483317202384,271.14821642654493,1105146.7607421875,20801351.434570312
2024-10-09 00:33:23.585165,-9.811118256838673,262.71155384606095,1001694.8598632812,18948996.758789062
2024-10-09 00:35:00.673460,-3.4359558860985175,267.89412859339456,1164935.5073242188,22617575.984375
2024-10-09 00:36:37.761755,-12.94058186032296,269.28444641369424,914190.435546875,16765600.96484375
2024-10-09 00:38:14.850060,-1.1628769548163618,271.9150015693852,1104935.1684570312,20674909.690429688
2024-10-09 00:39:51.938230,-16.264810758494217,272.0615959138333,828702.2529296875,16336371.390625
2024-10-09 00:41:28.961525,-11.565273037542662,258.0687917697637,903797.4721679688,17750891.251953125
2024-10-09 00:43:05.985695,-5.373147063318221,267.83675445180137,720160.2592773438,13696260.947265625
2024-10-09 00:44:43.100000,-15.14178149355611,269.0876426717847,1363440.8637695312,25529324.534179688
2024-10-09 00:46:20.342950,-7.553267153991136,279.0638111179527,1924788.5893554688,34081400.85449219
2024-10-09 00:47:57.585900,-7.7671539911364675,273.3453256113298,1251893.47265625,23979649.65625
2024-10-09 00:49:34.114760,-9.985472594366053,272.1281066395603,1181221.5659179688,23101708.588867188
2024-10-09 00:51:11.139065,-4.120730604655901,282.2649575856023,1450441.5551757812,25402598.234375
2024-10-09 00:52:48.196235,-0.8918674545361928,284.1742311947694,1593691.9912109375,27664002.680664062
2024-10-09 00:54:25.219530,-11.069816234527023,279.2671650185357,725025.9565429688,12820682.770507812
2024-10-09 00:56:02.275825,-13.002585196882482,276.1589281621688,1081963.517578125,19362911.786132812
2024-10-09 00:57:39.333130,-6.05421909225205,287.59219707261235,1550715.0078125,28224974.743164062
2024-10-09 01:04:40.291255,-17.765711756915085,296.9279357276242,667428.072265625,12512307.98046875
2024-10-09 01:06:17.347425,-6.227118460598033,303.33994018397414,962819.044921875,15143666.049804688
2024-10-09 01:07:54.403720,-9.316132647343487,309.54994976186765,1514724.4321289062,20363627.536132812
2024-10-09 01:09:31.395890,-2.296126025164281,308.9834574042553,2096954.3962402344,27272939.6640625
2024-10-09 01:11:08.484195,11.428518669451378,314.3501381234491,2591147.803955078,28619697.880859375
2024-10-09 01:12:45.507490,1.4832057714838776,318.56735022874466,2748352.3474121094,31441510.252441406
2024-10-09 01:14:22.499785,4.819803499567011,310.37085947585257,1581189.4853515625,20389693.375
2024-10-09 01:15:59.492955,1.1700785747032754,302.22275813582667,1503946.5573730469,22974704.6484375
2024-10-09 01:17:36.484260,14.962100759003617,304.0010252193539,1511737.2380371094,26701833.24560547
2024-10-09 01:19:13.508430,2.4879208904284043,298.3245604956511,1235451.8283691406,20612304.520996094
2024-10-09 01:20:50.469725,1.5529455962508278,297.6500958296213,1062683.3264160156,19156777.377929688
2024-10-09 01:22:27.461020,10.131380214966125,304.52414689215607,904556.0434570312,16666074.145507812
2024-10-09 01:24:04.421325,9.53969805409811,309.9274837654853,1029897.212890625,18695081.11328125
2024-10-09 01:25:41.414495,4.7891058784575415,321.299947794401,2158920.981567383,38580681.671875
2024-10-09 01:27:18.437790,2.1823200550150275,322.99631345080945,2324339.0356445312,33874452.220214844
2024-10-09 01:28:55.429960,22.27658422902552,341.1813762912764,3772113.0989990234,56028806.5625
2024-10-09 01:30:32.455265,25.586524502063064,366.5158348967072,6074385.548461914,85142363.36035156
2024-10-09 01:32:09.510560,65.50069087158066,478.31408819285576,15471182.12121582,169376407.56591797
2024-10-09 01:32:46.374630,112.15910422291275,651.8297896689401,27955877.17138672,237374170.8774414
2024-10-09 01:33:05.766785,130.80515829555296,718.2350435931492,33619563.69934082,267774142.7578125
2024-10-09 01:33:25.158690,136.81590023432327,740.0571969343451,34797522.98925781,270448317.46972656
2024-10-09 01:33:45.958730,152.51314566247262,796.7312162814256,39002125.84387207,291098284.46240234
2024-10-09 01:34:06.758895,153.0815642351383,779.7931742723734,38368843.97180176,292016687.4379883
2024-10-09 01:34:27.558925,184.98914663032957,890.5312648720065,46813606.84460449,336482320.09521484
2024-10-09 01:34:48.359965,227.8559421323417,1034.6342226085037,58203410.060180664,386092147.71875
2024-10-09 01:35:09.160005,239.79893090010697,1045.9066564195616,62623479.03588867,420108053.0415039
2024-10-09 01:35:29.960170,263.1172030207325,1133.4994526611808,69934319.36425781,452364529.67529297
2024-10-09 01:35:50.759075,269.3650858336305,1140.2631012024478,72165087.92590332,464320809.2163086
2024-10-09 01:36:11.559115,293.56017268605774,1235.1363793605908,79500886.44372559,497053972.76708984
2024-10-09 01:36:32.359280,303.4589934287606,1239.9478404477168,80751515.17675781,503772100.0019531
2024-10-09 01:36:53.159185,337.50162370740156,1312.686108281182,89230294.58569336,540482399.5996094
2024-10-09 01:37:13.959350,368.51641536345574,1416.3588404558186,97224440.72973633,567635331.6245117
2024-10-09 01:37:34.759390,389.16616894197955,1467.413874079712,103183779.13562012,590327656.0493164
2024-10-09 01:37:55.559545,423.8086062859763,1580.1276832776982,112563222.40515137,614384230.0014648
2024-10-09 01:38:16.359460,494.5360335693546,1772.5349757647218,132061340.49475098,678709274.9414062
2024-10-09 01:38:37.159625,525.4942851866945,1824.4159218652196,139289346.2677002,703890635.4169922
2024-10-09 01:38:57.959665,580.4816807600224,1959.219861635944,155064165.74926758,760846904.3647461
2024-10-09 01:39:18.765570,607.8509341093169,2011.0495883790059,163968352.50634766,796128427.2006836
2024-10-09 01:41:02.975010,858.0695551678468,2639.759793921343,224944495.65966797,744042636.3422852
2024-10-09 01:42:48.151200,1004.6587349090723,3320.5493697189213,276746127.5449219,595144148.088623
2024-10-09 01:44:19.754850,1150.7146477510062,3859.351162573663,311580717.7949219,189443814.6165161
2024-10-09 01:46:04.181665,1125.8783779481432,3701.221446248047,308246659.81103516,617974964.8554688
2024-10-09 01:47:35.108085,1221.4188655697621,4389.0753790326535,326455605.3125,187061812.27044678
2024-10-09 01:49:20.214265,1224.6565349447303,4070.686072010587,337675551.9016113,662904705.0734863
2024-10-09 01:50:51.140425,1112.1488048240028,3573.146049775159,293811640.0341797,178347536.6992798
2024-10-09 01:52:36.246740,1061.7454058631756,3370.863869679522,283522715.5727539,583625061.411377
2024-10-09 01:54:07.173025,1061.4276749783505,3401.607080634343,273041181.9086914,168323486.1578369
2024-10-09 01:55:52.279340,1047.1190273037544,3437.767996134623,269031769.43481445,545589198.8151855
2024-10-09 01:57:36.480655,936.4474619224695,2947.825416991326,232544406.3071289,749633501.1254883
