time,crpix1,crpix2
2024-07-10 03:31:01.863340,1279.4,1279.4
2024-07-10 03:32:33.635000,1278.5,1278.5
2024-07-10 03:34:04.263795,1277.8,1277.8
2024-07-10 03:35:35.464080,1277.2,1277.2
2024-07-10 03:37:06.664115,1276.9,1276.9
2024-07-10 03:38:37.864400,1279.4,1279.4
2024-07-10 03:40:09.646950,1279.1,1279.1
2024-07-10 03:41:40.264855,1279.0,1279.0
2024-07-10 03:43:11.465140,1278.0,1278.0
2024-07-10 03:44:42.665300,1278.0,1278.0
2024-07-10 03:46:14.254600,1278.6,1278.6
2024-07-10 03:47:45.449755,1276.4,1276.4
2024-07-10 03:49:16.874040,1276.1,1276.1
2024-07-10 03:50:48.298075,1277.0,1277.0
2024-07-10 03:52:19.728360,1277.4,1277.4
2024-07-10 03:53:51.144655,1276.2,1276.2
2024-07-10 03:55:22.568815,1276.2,1276.2
2024-07-10 03:56:53.992975,1276.6,1276.6
2024-07-10 03:58:25.449270,1276.8,1276.8
2024-07-10 03:59:56.873430,1276.8,1276.8
2024-07-10 04:01:28.294430,1276.6,1276.6
2024-07-10 04:02:59.751180,1275.4,1275.4
2024-07-10 04:04:31.239805,1277.3,1277.3
2024-07-10 04:06:02.696555,1278.3,1278.3
2024-07-10 04:07:34.185305,1276.4,1276.4
2024-07-10 04:09:05.641930,1276.5,1276.5
2024-07-10 04:10:37.986800,1276.4,1276.4
2024-07-10 04:12:08.587230,1275.5,1275.5
2024-07-10 04:13:40.753900,1276.6,1276.6
2024-07-10 04:15:11.563675,1278.9,1278.9
2024-07-10 04:16:43.275845,1277.5,1277.5
2024-07-10 04:18:14.988130,1279.4,1279.4
2024-07-10 04:19:46.700425,1280.4,1280.4
2024-07-10 04:21:18.412460,1280.4,1280.4
2024-07-10 04:22:50.124745,1281.4,1281.4
2024-07-10 04:24:21.836905,1280.7,1280.7
2024-07-10 04:25:53.549200,1281.2,1281.2
2024-07-10 04:27:25.261485,1282.2,1282.2
2024-07-10 04:28:57.564500,1282.8,1282.8
2024-07-10 04:30:28.721940,1282.3,1282.3
2024-07-10 04:32:00.430100,1284.0,1284.0
2024-07-10 04:33:32.142385,1284.2,1284.2
2024-07-10 04:35:03.854555,1282.3,1282.3
2024-07-10 04:36:35.566715,1281.6,1281.6
2024-07-10 04:38:07.278875,1280.6,1280.6
2024-07-10 04:39:38.991170,1281.7,1281.7
2024-07-10 04:41:10.703455,1281.8,1281.8
2024-07-10 04:42:42.415615,1281.4,1281.4
2024-07-10 04:44:14.125910,1280.9,1280.9
2024-07-10 04:45:45.968070,1282.0,1282.0
2024-07-10 04:47:17.934355,1282.2,1282.2
2024-07-10 04:48:49.902525,1282.0,1282.0
2024-07-10 04:50:21.870685,1282.9,1282.9
2024-07-10 04:51:53.838970,1283.4,1283.4
2024-07-10 04:53:25.807140,1284.6,1284.6
2024-07-10 04:54:57.807425,1284.7,1284.7
2024-07-10 04:56:29.775585,1284.8,1284.8
2024-07-10 04:58:01.775880,1284.0,1284.0
2024-07-10 04:59:33.776040,1285.3,1285.3
2024-07-10 05:01:05.776335,1282.8,1282.8
2024-07-10 05:02:37.776495,1284.7,1284.7
2024-07-10 05:04:09.776780,1283.6,1283.6
2024-07-10 05:05:41.776950,1282.4,1282.4
2024-07-10 05:07:13.777110,1281.3,1281.3
2024-07-10 05:08:45.777395,1280.1,1280.1
2024-07-10 05:10:17.777565,1279.6,1279.6
2024-07-10 05:11:49.777975,1280.8,1280.8
2024-07-10 05:13:21.778135,1280.8,1280.8
2024-07-10 05:14:53.778305,1279.7,1279.7
2024-07-10 05:16:26.345900,1279.6,1279.6
2024-07-10 05:17:58.322760,1279.5,1279.5
2024-07-10 05:19:30.579045,1280.4,1280.4
2024-07-10 05:21:02.835205,1281.4,1281.4
2024-07-10 05:22:35.913750,1280.8,1280.8
2024-07-10 05:24:07.347660,1280.4,1280.4
2024-07-10 05:25:39.603955,1280.0,1280.0
2024-07-10 05:27:11.860115,1277.4,1277.4
2024-07-10 05:28:44.116410,1274.0,1274.0
2024-07-10 05:30:16.372570,1275.2,1275.2
2024-07-10 05:31:48.628730,1272.8,1272.8
2024-07-10 05:33:20.885025,1273.7,1273.7
2024-07-10 05:34:53.141310,1275.9,1275.9
2024-07-10 05:36:25.395480,1275.6,1275.6
2024-07-10 05:37:57.653640,1275.6,1275.6
2024-07-10 05:39:29.907925,1277.2,1277.2
2024-07-10 05:41:02.164095,1276.4,1276.4
2024-07-10 05:42:34.420380,1276.6,1276.6
2024-07-10 05:43:50.990645,1277.1,1277.1
2024-07-10 05:45:09.134785,1277.0,1277.0
2024-07-10 05:46:39.246945,1277.4,1277.4
2024-07-10 05:47:58.351210,1275.8,1275.8
2024-07-10 05:49:30.901370,1275.6,1275.6
2024-07-10 05:51:03.445540,1275.8,1275.8
2024-07-10 05:52:35.989825,1277.1,1277.1
2024-07-10 05:54:08.536120,1277.6,1277.6
2024-07-10 05:54:27.416150,1278.8,1278.8
2024-07-10 05:54:46.296180,1278.9,1278.9
2024-07-10 05:55:05.176220,1278.2,1278.2
2024-07-10 05:55:25.464250,1278.8,1278.8
2024-07-10 05:55:45.756290,1278.8,1278.8
2024-07-10 05:56:06.403300,1279.8,1279.8
2024-07-10 05:56:26.328360,1278.9,1278.9
2024-07-10 05:56:46.616525,1278.8,1278.8
2024-07-10 05:57:06.904555,1278.8,1278.8
2024-07-10 05:57:27.192595,1279.8,1279.8
2024-07-10 05:57:47.480635,1278.9,1278.9
2024-07-10 05:58:07.772665,1280.0,1280.0
2024-07-10 05:58:28.567050,1280.2,1280.2
2024-07-10 05:58:48.344860,1279.4,1279.4
2024-07-10 05:59:08.632900,1279.4,1279.4
2024-07-10 05:59:28.920815,1281.2,1281.2
2024-07-10 05:59:49.208845,1281.7,1281.7
