T_REC,CRPIX1,CRPIX2,USFLUX,MEANSHR,MEANPOT,TOTPOT,SHRGT45,MEANJZD,TOTUSJZ,MEANGBH
2024.11.13_15:00:00_TAI,875.5,285.0,3.212845e+22,42.122,13397.33,7.597111e+23,42.568,0.26402071,50214990000000.0,71.276
2024.11.13_15:12:00_TAI,875.5,285.0,3.198103e+22,42.213,13286.98,7.555005e+23,42.583,0.23922405,49472950000000.0,71.181
2024.11.13_15:24:00_TAI,875.5,285.0,3.16965e+22,42.203,13268.65,7.477271e+23,42.811,0.18647859,48611550000000.0,70.937
2024.11.13_15:36:00_TAI,875.5,285.0,3.136191e+22,42.418,13263.19,7.470668e+23,43.277,0.13588689,48692760000000.0,70.687
2024.11.13_15:48:00_TAI,875.5,285.0,3.124641e+22,42.468,13346.41,7.457632e+23,43.282,0.08755955,48223140000000.0,70.693
2024.11.13_16:00:00_TAI,875.5,285.0,3.133774e+22,42.236,13321.82,7.448317e+23,43.048,0.10858356,48154570000000.0,71.268
2024.11.13_16:12:00_TAI,875.5,285.0,3.123859e+22,42.348,13404.04,7.47809e+23,43.212,0.01730797,48288760000000.0,71.493
2024.11.13_16:24:00_TAI,875.5,285.0,3.10799e+22,42.495,13567.22,7.506963e+23,43.625,0.14885168,47874160000000.0,71.957
2024.11.13_16:36:00_TAI,875.5,285.0,3.126377e+22,42.361,13601.62,7.523835e+23,43.254,0.122928,47917980000000.0,72.143
2024.11.13_16:48:00_TAI,875.5,285.0,3.127774e+22,42.333,13656.58,7.540084e+23,43.053,0.11830023,48586550000000.0,72.783
2024.11.13_17:00:00_TAI,875.5,285.0,3.138642e+22,42.094,13738.93,7.539573e+23,42.5,0.0057389,48773260000000.0,73.858
2024.11.13_17:12:00_TAI,875.5,285.0,3.172304e+22,41.846,13865.89,7.588802e+23,41.826,0.06633147,48618460000000.0,74.546
2024.11.13_17:24:00_TAI,875.5,285.0,3.198719e+22,41.623,14053.93,7.647862e+23,41.317,0.12499604,48360830000000.0,75.062
