file,region_id,x0_pix,y0_pix,width_pix,height_pix,top_left_hpc_Tx,top_left_hpc_Ty,bottom_right_hpc_Tx,bottom_right_hpc_Ty,Centre_hpc_Tx,Centre_hpc_Ty,max_intensity,area_pix
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,1,2818,1364,684,644,466,-20,876,-408,671,-214,941.8915422284967,92581
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,2,1098,2214,510,461,-565,382,-260,104,-413,243,707.499801805274,85198
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,3,2822,2556,395,322,469,501,706,307,588,404,378.7094717763172,22254
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,4,300,2239,293,445,-1045,389,-869,121,-957,255,321.6734775593961,22167
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,5,285,1528,356,527,-1055,11,-842,-305,-948,-147,281.0376972549436,37253
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,6,2339,1359,526,478,178,-122,493,-410,335,-266,279.1560141870285,42634
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,7,567,1459,268,273,-886,-183,-725,-347,-806,-265,275.635942886557,12326
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,8,3354,1173,446,891,788,12,1054,-523,921,-255,240.0015009913368,50718
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,9,3117,2504,366,360,647,493,866,276,756,384,169.21529706378863,21303
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,10,3087,1291,387,381,627,-222,859,-452,743,-337,144.6791045795483,14298
aia.lev1_euv_12s.2024-10-31T233008Z.131.image_lev1.fits,11,662,2130,306,242,-828,201,-644,55,-736,128,133.22976468125788,10766
