time,exposure,region_1,region_2,region_3,region_4,region_5,region_6,region_7,region_8,region_9,region_10,region_11
2024-11-01 00:23:30.622,2.9007899999999998,2.2341352e+07,1.1803107e+07,5.373171e+06,5.450846e+06,8.402757e+06,1.0943207e+07,2.988268e+06,1.3783728e+07,5.341406e+06,7.817121e+06,2.844407e+06
2024-11-01 00:23:42.622,2.900792,2.2324168e+07,1.1779045e+07,5.368781e+06,5.454201e+06,8.399761e+06,1.0955248e+07,2.986819e+06,1.377517e+07,5.341056e+06,7.820888e+06,2.838813e+06
2024-11-01 00:23:54.630,2.9007899999999998,2.231522e+07,1.1767433e+07,5.375257e+06,5.449522e+06,8.405233e+06,1.0976439e+07,2.98383e+06,1.3772693e+07,5.341098e+06,7.815507e+06,2.843751e+06
2024-11-01 00:24:06.622,2.900788,2.2340628e+07,1.1727161e+07,5.375418e+06,5.451365e+06,8.410843e+06,1.0979613e+07,2.990029e+06,1.376804e+07,5.347549e+06,7.822232e+06,2.842612e+06
2024-11-01 00:24:18.622,2.9007889999999996,2.2378746e+07,1.1705156e+07,5.369054e+06,5.451772e+06,8.410193e+06,1.0993332e+07,2.992072e+06,1.3780144e+07,5.34742e+06,7.831281e+06,2.83793e+06
2024-11-01 00:24:30.622,2.9007889999999996,2.2409338e+07,1.1699318e+07,5.362173e+06,5.454896e+06,8.410734e+06,1.1000536e+07,2.994837e+06,1.3774099e+07,5.34303e+06,7.844036e+06,2.842048e+06
2024-11-01 00:24:42.622,2.9007899999999998,2.2413436e+07,1.167711e+07,5.36681e+06,5.449153e+06,8.41803e+06,1.10278e+07,2.99365e+06,1.3765317e+07,5.343845e+06,7.843308e+06,2.842636e+06
2024-11-01 00:24:54.622,2.900791,2.2403836e+07,1.1668421e+07,5.362875e+06,5.448427e+06,8.423778e+06,1.1023206e+07,2.992952e+06,1.3771173e+07,5.339086e+06,7.840103e+06,2.83897e+06
2024-11-01 00:25:06.622,2.9007899999999998,2.2393868e+07,1.1647456e+07,5.361556e+06,5.449454e+06,8.432193e+06,1.1005255e+07,2.996591e+06,1.3770475e+07,5.337534e+06,7.837366e+06,2.839558e+06
2024-11-01 00:25:18.639,2.9007899999999998,2.2393368e+07,1.1643817e+07,5.345718e+06,5.449535e+06,8.437464e+06,1.1012672e+07,2.997977e+06,1.3773569e+07,5.346038e+06,7.836914e+06,2.84302e+06
2024-11-01 00:25:30.622,2.9007899999999998,2.239274e+07,1.1650093e+07,5.338266e+06,5.456258e+06,8.445415e+06,1.1005427e+07,2.998373e+06,1.3775228e+07,5.345545e+06,7.842921e+06,2.842603e+06
2024-11-01 00:25:42.622,2.9007899999999998,2.2377892e+07,1.164011e+07,5.347408e+06,5.444902e+06,8.439596e+06,1.0992999e+07,2.997778e+06,1.377885e+07,5.334717e+06,7.829915e+06,2.84289e+06
2024-11-01 00:25:54.622,2.900791,2.237322e+07,1.1619434e+07,5.340015e+06,5.444051e+06,8.452068e+06,1.0985546e+07,3.004107e+06,1.3780151e+07,5.329307e+06,7.838976e+06,2.839635e+06
2024-11-01 00:26:06.647,2.9007899999999998,2.2372714e+07,1.161638e+07,5.346585e+06,5.444861e+06,8.462915e+06,1.0980372e+07,3.004743e+06,1.3781564e+07,5.331729e+06,7.831692e+06,2.842345e+06
2024-11-01 00:26:18.622,2.900793,2.237598e+07,1.1593774e+07,5.348448e+06,5.438353e+06,8.458636e+06,1.0989532e+07,3.00397e+06,1.3791509e+07,5.330488e+06,7.839246e+06,2.838566e+06
2024-11-01 00:26:30.622,2.900794,2.2371306e+07,1.1577302e+07,5.357716e+06,5.441887e+06,8.470278e+06,1.0986891e+07,3.010422e+06,1.3795329e+07,5.335584e+06,7.844495e+06,2.837464e+06
