Peak time,Peak total count
2024-11-13 15:11:26.400015,65158379.82921838
2024-11-13 15:21:08.385680,6013332.60556171
2024-11-13 15:24:22.402270,14094300.190504003
2024-11-13 15:27:36.384745,16175503.17860465
2024-11-13 15:34:04.258810,19819055.86076264
2024-11-13 15:45:56.358200,11178993.03758598
2024-11-13 15:49:09.956420,13976232.81258773
2024-11-13 16:08:33.636615,34613482.75177371
2024-11-13 16:26:20.267515,46705361.53067097
2024-11-13 16:31:11.239275,35384794.90126777
2024-11-13 16:39:16.134645,41743162.086617775
2024-11-13 16:48:57.896300,44933232.5285435
