Time (UTC),10.00-30.00 keV
2024-11-13 15:08:01.871,20
2024-11-13 15:09:01.871,10
2024-11-13 15:10:01.871,14
2024-11-13 15:11:01.871,15
2024-11-13 15:12:01.871,10
2024-11-13 15:13:01.871,3
2024-11-13 15:14:01.871,1
2024-11-13 15:15:01.871,7
2024-11-13 15:16:01.871,5
2024-11-13 15:17:01.871,1
2024-11-13 15:18:01.871,1
2024-11-13 15:19:01.871,0
2024-11-13 15:20:01.871,3
2024-11-13 15:21:01.871,4
2024-11-13 15:22:01.871,4
2024-11-13 15:23:01.871,4
2024-11-13 15:24:01.871,4
2024-11-13 15:25:01.871,3
2024-11-13 15:26:01.871,7
2024-11-13 15:27:01.871,2
2024-11-13 15:28:01.871,5
2024-11-13 15:29:01.871,2
2024-11-13 15:30:01.871,3
2024-11-13 15:31:01.871,2
2024-11-13 15:32:01.871,4
2024-11-13 15:33:01.871,3
2024-11-13 15:34:01.871,6
2024-11-13 15:35:01.871,4
2024-11-13 15:36:01.871,9
2024-11-13 15:37:01.871,7
2024-11-13 15:38:01.871,4
2024-11-13 15:39:01.871,7
2024-11-13 15:40:01.871,3
2024-11-13 15:41:01.871,7
2024-11-13 15:42:01.871,4
2024-11-13 15:43:01.871,5
2024-11-13 15:44:01.871,5
2024-11-13 15:45:01.871,11
2024-11-13 15:46:01.871,5
2024-11-13 15:47:01.871,7
2024-11-13 15:48:01.871,1
2024-11-13 15:49:01.871,4
2024-11-13 15:50:01.871,2
2024-11-13 15:51:01.871,2
2024-11-13 15:52:01.871,5
2024-11-13 15:53:01.871,3
2024-11-13 15:54:01.871,6
2024-11-13 15:55:01.871,5
2024-11-13 15:56:01.871,10
2024-11-13 15:57:01.871,5
2024-11-13 15:58:01.871,3
2024-11-13 15:59:01.871,8
2024-11-13 16:00:01.871,6
2024-11-13 16:01:01.871,5
2024-11-13 16:02:01.871,7
2024-11-13 16:03:01.871,4
2024-11-13 16:04:01.871,8
2024-11-13 16:05:01.871,6
2024-11-13 16:06:01.871,12
2024-11-13 16:07:01.871,4
2024-11-13 16:08:01.871,3
2024-11-13 16:09:01.871,5
2024-11-13 16:10:01.871,5
2024-11-13 16:11:01.871,5
2024-11-13 16:12:01.871,2
2024-11-13 16:13:01.871,7
2024-11-13 16:14:01.871,2
2024-11-13 16:15:01.871,3
2024-11-13 16:16:01.871,3
2024-11-13 16:17:01.871,2
2024-11-13 16:18:01.871,8
2024-11-13 16:19:01.871,8
2024-11-13 16:20:01.871,4
2024-11-13 16:21:01.871,4
2024-11-13 16:22:01.871,10
2024-11-13 16:23:01.871,2
2024-11-13 16:24:01.871,4
2024-11-13 16:25:01.871,6
2024-11-13 16:26:01.871,6
2024-11-13 16:27:01.871,6
2024-11-13 16:28:01.871,4
2024-11-13 16:29:01.871,5
2024-11-13 16:30:01.871,8
2024-11-13 16:31:01.871,4
2024-11-13 16:32:01.871,6
2024-11-13 16:33:01.871,6
2024-11-13 16:34:01.871,3
2024-11-13 16:35:01.871,5
2024-11-13 16:36:01.871,9
2024-11-13 16:37:01.871,5
2024-11-13 16:38:01.871,6
2024-11-13 16:39:01.871,4
2024-11-13 16:40:01.871,9
2024-11-13 16:41:01.871,6
2024-11-13 16:42:01.871,3
2024-11-13 16:43:01.871,2
2024-11-13 16:44:01.871,4
2024-11-13 16:45:01.871,3
2024-11-13 16:46:01.871,5
2024-11-13 16:47:01.871,2
2024-11-13 16:48:01.871,8
2024-11-13 16:49:01.871,11
2024-11-13 16:50:01.871,7
2024-11-13 16:51:01.871,2
2024-11-13 16:52:01.871,7
2024-11-13 16:53:01.871,4
2024-11-13 16:54:01.871,9
2024-11-13 16:55:01.871,12
2024-11-13 16:56:01.871,14
2024-11-13 16:57:01.871,10
2024-11-13 16:58:01.871,30
2024-11-13 16:59:01.871,22
2024-11-13 17:00:01.871,8
2024-11-13 17:01:01.871,10
2024-11-13 17:02:01.871,7
2024-11-13 17:03:01.871,30
2024-11-13 17:04:01.871,865
2024-11-13 17:05:01.871,2986
2024-11-13 17:06:01.871,4393
2024-11-13 17:07:01.871,5179
2024-11-13 17:08:01.871,4229
2024-11-13 17:09:01.871,2659
2024-11-13 17:10:01.871,2190
2024-11-13 17:11:01.871,1375
2024-11-13 17:12:01.871,961
2024-11-13 17:13:01.871,741
2024-11-13 17:14:01.871,571
2024-11-13 17:15:01.871,406
2024-11-13 17:16:01.871,265
2024-11-13 17:17:01.871,213
2024-11-13 17:18:01.871,156
2024-11-13 17:19:01.871,104
2024-11-13 17:20:01.871,94
2024-11-13 17:21:01.871,59
