date_time,suit_counts,helios_counts
#2024-11-01 12:40:09.000,46260.8369140625,0.8666666666666667
#2024-11-01 12:51:23.000,1037026.9350585938,25.916666666666668
2024-11-01 13:13:40.000,8047885.822998047,0.35
2024-11-01 13:19:18.000,1097957.7631835938,0.5166666666666667
#2024-11-01 13:24:56.000,51058.1875,0.4
#2024-11-01 13:37:38.000,34653.5400390625,0.23333333333333334
#2024-11-01 13:56:03.000,399973.26708984375,1.3833333333333333
2024-11-01 14:07:23.000,1353483.5083007812,0.5166666666666667
2024-11-01 14:14:29.000,1820395.9370117188,0.4
