Date,QS_mode,AR_mode,AR mean,Ar_sigma,ARmode_200G,ARmean200G,AR_sigma200G
2024-11-12 22:00:21.386340,4402,4941,6810.47408658386,1728.4083121835658,8973,7611.592970451011,1780.1837575358456
2024-11-12 22:01:58.633635,4356,5938,6805.928355245635,1738.0812154795015,8673,7611.28432348367,1786.3838780831945
2024-11-12 22:03:35.881805,4367,4937,6803.93246531561,1733.3041006230412,9063,7602.913888024883,1779.332446879843
2024-11-12 22:05:13.131110,4459,4820,6796.648894699886,1723.5758231115408,8485,7593.463608087091,1770.6361999472545
2024-11-12 22:06:50.378405,4487,5147,6801.996701048401,1729.8522463846973,8389,7603.415754276827,1775.9040459654714
2024-11-12 22:08:27.644575,4443,4690,6812.577122829955,1726.415221839165,8362,7611.702192846034,1763.8036035737196
2024-11-12 22:10:04.907880,4434,4956,6819.957942906952,1726.0746286554968,9121,7620.922721617419,1755.8987683023524
2024-11-12 22:11:42.155050,4381,4863,6819.10926490884,1716.461109625768,8715,7619.682519440124,1740.8522261960713
2024-11-12 22:13:19.403345,4395,4911,6823.691448148955,1713.4409188711923,8735,7632.290715396579,1732.1883280868892
2024-11-12 22:14:56.652650,4356,4919,6836.884694075204,1723.112500721856,7630,7646.052223950233,1750.1398594129384
2024-11-12 22:16:33.899820,4469,4997,6844.855728361081,1717.5007885802563,8777,7651.591288056206,1742.9150471429182
2024-11-12 22:18:11.148115,4399,4414,6853.646753309939,1728.394899947493,7720,7673.888058301013,1751.7856759058143
2024-11-12 22:19:48.397295,4428,4911,6838.028764058532,1730.3242372476284,8402,7655.550240054869,1761.6595383245563
2024-11-12 22:21:25.644590,4320,4786,6848.832729146459,1741.9932906569522,8985,7679.670025896228,1764.4399626167528
2024-11-12 22:23:02.892885,4374,4794,6871.96215000152,1745.1939137068023,8318,7692.237406818253,1765.8221332453775
2024-11-12 22:24:40.142055,4321,4793,6866.330654100317,1757.6423598071415,7510,7700.431843000219,1772.5053625675594
2024-11-12 22:26:17.389360,4443,5004,6854.974862233875,1749.8985647917357,8790,7677.32237964775,1770.6704408651415
2024-11-12 22:27:54.637655,4370,5255,6854.902760712059,1763.8538199548498,8345,7692.811326061818,1775.8023425593337
2024-11-12 22:34:55.851655,4362,4649,6837.190536449503,1755.9808422853157,8386,7667.45372115849,1777.8928290378083
2024-11-12 22:36:33.999500,4270,5108,6833.355242993089,1749.9257516449331,9139,7649.455835740495,1784.941984208699
2024-11-12 22:38:10.349130,4341,5290,6835.606048274438,1748.3724082992637,7677,7658.849442844623,1781.4059661460487
2024-11-12 22:39:47.596425,4388,4996,6836.2502788284355,1742.7167125461287,8611,7662.765985497693,1781.609240942033
2024-11-12 22:41:24.844595,4438,4971,6842.135095966485,1730.4246232102091,7576,7655.854749738252,1764.7238369839758
2024-11-12 22:43:02.937650,4324,5440,6842.883046563328,1730.5028850173892,8478,7654.195911920177,1761.8268750131365
2024-11-12 22:44:39.341070,4429,4958,6871.168047743764,1736.5782916215685,8937,7669.174310064935,1771.4924397893324
2024-11-12 22:46:16.590240,4418,4909,6849.841266459283,1739.5210075791229,8639,7661.92876941006,1768.777245366906
2024-11-12 22:47:53.838535,4439,4944,6853.525847591695,1730.2936685345064,8431,7673.449173650819,1749.7918324592895
2024-11-12 22:49:31.858400,4418,4872,6856.983440874575,1736.8442105473184,8272,7685.486689805726,1761.7473604669292
2024-11-12 22:51:08.335010,4425,4515,6857.110053868697,1730.6854568763654,7893,7676.88376675163,1753.3493983158864
2024-11-12 22:52:45.582305,4309,4708,6848.66157867542,1737.8201260770666,8232,7676.572956634771,1754.3055433903999
2024-11-12 22:54:22.830485,4457,4665,6871.020281446885,1768.943496093779,8775,7706.943473760156,1791.1362514806003
2024-11-12 22:56:00.797800,4273,5321,6846.087952185084,1754.9592020551631,8683,7685.686634430308,1778.0546554563505
2024-11-12 22:57:37.327075,4321,5003,6841.985075260471,1756.1562455522387,8479,7672.778537990637,1784.8768473355162
2024-11-12 22:59:14.575245,4304,6111,6844.5942521724955,1745.0739084707993,8560,7678.2909408763035,1780.604943820109
2024-11-12 23:00:51.823550,4468,4555,6845.112911401571,1748.183936125684,8806,7683.22683600741,1785.3589147946327
2024-11-12 23:02:29.708450,4357,4922,6843.109674125755,1752.7970005779393,8055,7671.845577611659,1796.2393042449205
2024-11-12 23:04:06.319015,4315,5165,6825.520840259936,1744.230751993586,8614,7659.164639498433,1785.9576591104321
2024-11-12 23:05:43.568320,4451,4922,6838.318928200044,1745.6494769516544,8107,7681.314981977746,1776.8803641476852
2024-11-12 23:07:20.815490,4430,5006,6821.19935002451,1736.4534688484066,7727,7656.842970922286,1768.5543052329792
2024-11-12 23:08:58.647850,4286,5006,6799.501605422762,1728.5864682532,7917,7629.005871824662,1758.4684690490244
2024-11-12 23:10:35.313090,4477,5095,6807.449954374875,1729.863759772559,8633,7630.014340957839,1776.7698692396739
