,counts
2024-11-13 00:00:00,4.0
2024-11-13 00:01:00,4.0
2024-11-13 00:02:00,3.0
2024-11-13 00:03:00,9.0
2024-11-13 00:04:00,20.0
2024-11-13 00:05:00,8.0
2024-11-13 00:06:00,0.0
2024-11-13 00:07:00,5.0
2024-11-13 00:08:00,4.0
2024-11-13 00:09:00,7.0
2024-11-13 00:10:00,10.0
2024-11-13 00:11:00,0.0
2024-11-13 00:12:00,7.0
2024-11-13 00:13:00,6.0
2024-11-13 00:14:00,15.0
2024-11-13 00:15:00,23.0
2024-11-13 00:16:00,28.0
2024-11-13 00:17:00,245.0
2024-11-13 00:18:00,1395.0
2024-11-13 00:19:00,1445.0
2024-11-13 00:20:00,935.0
2024-11-13 00:21:00,541.0
2024-11-13 00:22:00,267.0
2024-11-13 00:23:00,165.0
2024-11-13 00:24:00,72.0
2024-11-13 00:25:00,50.0
2024-11-13 00:26:00,27.0
2024-11-13 00:27:00,18.0
2024-11-13 00:28:00,13.0
2024-11-13 00:29:00,6.0
2024-11-13 00:30:00,11.0
2024-11-13 00:31:00,9.0
2024-11-13 00:32:00,3.0
2024-11-13 00:33:00,3.0
2024-11-13 00:34:00,7.0
2024-11-13 00:35:00,15.0
2024-11-13 00:36:00,2.0
2024-11-13 00:37:00,3.0
