TIME,COUNTS
2024-10-09 01:10:01.005,0
2024-10-09 01:10:31.005,2
2024-10-09 01:11:01.005,0
2024-10-09 01:11:31.005,2
2024-10-09 01:12:01.005,1
2024-10-09 01:12:31.005,1
2024-10-09 01:13:01.005,0
2024-10-09 01:13:31.005,1
2024-10-09 01:14:01.005,1
2024-10-09 01:14:31.005,1
2024-10-09 01:15:01.005,0
2024-10-09 01:15:31.005,1
2024-10-09 01:16:01.005,0
2024-10-09 01:16:31.005,0
2024-10-09 01:17:01.005,0
2024-10-09 01:17:31.005,2
2024-10-09 01:18:01.005,0
2024-10-09 01:18:31.005,0
2024-10-09 01:19:01.005,2
2024-10-09 01:19:31.005,1
2024-10-09 01:20:01.005,2
2024-10-09 01:20:31.005,1
2024-10-09 01:21:01.005,1
2024-10-09 01:21:31.005,2
2024-10-09 01:22:01.005,1
2024-10-09 01:22:31.005,0
2024-10-09 01:23:01.005,1
2024-10-09 01:23:31.005,1
2024-10-09 01:24:01.005,0
2024-10-09 01:24:31.005,0
2024-10-09 01:25:01.005,1
2024-10-09 01:25:31.005,1
2024-10-09 01:26:01.005,1
2024-10-09 01:26:31.005,0
2024-10-09 01:27:01.005,1
2024-10-09 01:27:31.005,2
2024-10-09 01:28:01.005,0
2024-10-09 01:28:31.005,5
2024-10-09 01:29:01.005,1
2024-10-09 01:29:31.005,1
2024-10-09 01:30:01.005,1
2024-10-09 01:30:31.005,4
2024-10-09 01:31:01.005,2
2024-10-09 01:31:31.005,5
2024-10-09 01:32:01.005,17
2024-10-09 01:32:31.005,31
2024-10-09 01:33:01.005,43
2024-10-09 01:33:31.005,52
2024-10-09 01:34:01.005,109
2024-10-09 01:34:31.005,133
2024-10-09 01:35:01.005,146
2024-10-09 01:35:31.005,224
2024-10-09 01:36:01.005,241
2024-10-09 01:36:31.005,185
2024-10-09 01:37:01.005,262
2024-10-09 01:37:31.005,303
2024-10-09 01:38:01.005,538
2024-10-09 01:38:31.005,577
2024-10-09 01:39:01.005,596
2024-10-09 01:39:31.005,605
2024-10-09 01:40:01.005,738
2024-10-09 01:40:31.005,930
2024-10-09 01:41:01.005,945
2024-10-09 01:41:31.005,816
2024-10-09 01:42:01.005,859
2024-10-09 01:42:31.005,1600
2024-10-09 01:43:01.005,1725
2024-10-09 01:43:31.005,1281
2024-10-09 01:44:01.005,857
2024-10-09 01:44:31.005,1048
2024-10-09 01:45:01.005,1039
2024-10-09 01:45:31.005,1179
2024-10-09 01:46:01.005,1679
2024-10-09 01:46:31.005,2162
2024-10-09 01:47:01.005,1865
2024-10-09 01:47:31.005,1458
2024-10-09 01:48:01.005,1135
2024-10-09 01:48:31.005,1099
2024-10-09 01:49:01.005,914
2024-10-09 01:49:31.005,841
2024-10-09 01:50:01.005,688
2024-10-09 01:50:31.005,456
2024-10-09 01:51:01.005,496
2024-10-09 01:51:31.005,488
2024-10-09 01:52:01.005,531
2024-10-09 01:52:31.005,471
2024-10-09 01:53:01.005,348
2024-10-09 01:53:31.005,385
2024-10-09 01:54:01.005,427
2024-10-09 01:54:31.005,534
2024-10-09 01:55:01.005,440
2024-10-09 01:55:31.005,414
2024-10-09 01:56:01.005,351
2024-10-09 01:56:31.005,326
2024-10-09 01:57:01.005,256
2024-10-09 01:57:31.005,234
2024-10-09 01:58:01.005,290
2024-10-09 01:58:31.005,304
2024-10-09 01:59:01.005,262
2024-10-09 01:59:31.005,245
2024-10-09 02:00:01.005,218
2024-10-09 02:00:31.005,205
2024-10-09 02:01:01.005,182
2024-10-09 02:01:31.005,241
2024-10-09 02:02:01.005,205
2024-10-09 02:02:31.005,208
2024-10-09 02:03:01.005,174
2024-10-09 02:03:31.005,153
2024-10-09 02:04:01.005,131
2024-10-09 02:04:31.005,121
2024-10-09 02:05:01.005,121
2024-10-09 02:05:31.005,110
2024-10-09 02:06:01.005,71
2024-10-09 02:06:31.005,61
2024-10-09 02:07:01.005,68
2024-10-09 02:07:31.005,65
2024-10-09 02:08:01.005,82
2024-10-09 02:08:31.005,72
2024-10-09 02:09:01.005,73
2024-10-09 02:09:31.005,85
2024-10-09 02:10:01.005,88
