T_REC,CRPIX1,CRPIX2,USFLUX,MEANSHR,MEANPOT,TOTPOT,SHRGT45,MEANJZD,TOTUSJZ,MEANGBH
2024.11.01_12:36:00,1082.5,384.0,5.194575e+22,43.995,23205.6,1.861195e+24,44.876,-0.00614459,61798230000000.0,53.382
2024.11.01_12:48:00,1082.5,384.0,5.171414e+22,44.057,23230.23,1.854656e+24,45.014,0.00164278,61726100000000.0,53.334
2024.11.01_13:00:00,1082.5,384.0,5.200402e+22,43.906,23000.96,1.854068e+24,44.749,-0.03666907,61907000000000.0,53.138
2024.11.01_13:12:00,1082.5,384.0,5.180866e+22,44.02,23106.96,1.856783e+24,44.896,-0.02451859,62083580000000.0,53.165
2024.11.01_13:24:00,1082.5,384.0,5.179534e+22,44.04,23096.1,1.856462e+24,44.915,-0.07836328,61639480000000.0,53.271
2024.11.01_13:36:00,1082.5,384.0,5.179754e+22,44.159,23086.86,1.857743e+24,45.084,-0.02598367,62384330000000.0,53.422
2024.11.01_13:48:00,1082.5,384.0,5.168299e+22,44.264,23180.59,1.861006e+24,45.266,-0.0154009,62983170000000.0,53.784
2024.11.01_14:00:00,1082.5,384.0,5.176681e+22,44.444,23147.56,1.868129e+24,45.57,-0.03360664,63022730000000.0,53.511
2024.11.01_14:12:00,1082.5,384.0,5.164539e+22,44.524,23068.48,1.866588e+24,45.775,-0.08939089,62511020000000.0,53.157
2024.11.01_14:24:00,1082.5,384.0,5.18516e+22,44.537,22995.61,1.869365e+24,45.658,0.00949996,62957580000000.0,53.364
2024.11.01_14:36:00,1082.5,384.0,5.182039e+22,,23118.58,1.875523e+24,45.794,0.03007351,63361920000000.0,53.715
2024.11.01_14:48:00,1082.5,384.0,5.176631e+22,44.576,23198.85,1.877413e+24,45.944,0.02327505,63327930000000.0,54.063
2024.11.01_15:00:00,1082.5,384.0,5.172516e+22,44.637,23195.91,1.878285e+24,45.976,0.016404,62850800000000.0,53.794
