10.494,772459608.8290942,27793.15757520185
97.79,771304164.4045594,27772.363313193207
185.868,772026218.5274061,27785.35977812776
272.383,773444812.9283864,27810.875786281886
359.71,774325511.811384,27826.70499717852
447.639,773192190.3248041,27806.3336310273
534.399,773569936.5885327,27813.12524690456
621.951,774351443.4257382,27827.170948553143
709.503,773179106.534459,27806.098359892207
797.553,773010251.8176316,27803.06189972608
884.607,773617099.9998562,27813.973089078805
972.159,773782410.3468239,27816.94465609047
1059.744,773901956.6486559,27819.093371280094
1147.296,772798122.7667799,27799.246788357414
1234.847,772822456.6738923,27799.68445864089
1322.4,773165846.3017806,27805.85992196609
1409.953,772809251.3085002,27799.446954930598
1497.505,773764137.5915271,27816.616203269583
1585.572,770737110.7771335,27762.152474186867
1672.609,771743017.2201694,27780.26308370747
1760.162,771935648.3989124,27783.729915185973
