,temperature,emission_measure
2024-06-02 06:30:00.578126,8.456173390847075,2.417190349979927e+48
2024-06-02 06:30:01.578132,8.408902719111623,2.4377652992574424e+48
2024-06-02 06:30:02.578140,8.338343241591199,2.4636076633546008e+48
2024-06-02 06:30:03.578137,8.33190615756229,2.4709758626826275e+48
2024-06-02 06:30:04.578144,8.341797135809236,2.4595790630282904e+48
2024-06-02 06:30:05.578144,8.456203150119043,2.4064115316782272e+48
2024-06-02 06:30:06.578148,8.348940060229022,2.4624118856031493e+48
2024-06-02 06:30:07.578152,8.500546164288123,2.3788468744943126e+48
2024-06-02 06:30:08.578152,8.380999039798928,2.4364488579412275e+48
2024-06-02 06:30:09.578156,8.282006225899037,2.495526708426019e+48
2024-06-02 06:30:10.578164,8.36225454614512,2.458040302129515e+48
2024-06-02 06:30:11.578158,8.36769939152289,2.463101705108218e+48
2024-06-02 06:30:12.578168,8.344330234072295,2.4564660358819794e+48
2024-06-02 06:30:13.578166,8.365108537971668,2.4438486051100347e+48
2024-06-02 06:30:14.578169,8.598752471643987,2.3354684815534292e+48
2024-06-02 06:30:15.578172,8.408485820943316,2.4275731166037284e+48
2024-06-02 06:30:16.578175,8.247003857508338,2.5142194304441343e+48
2024-06-02 06:30:17.578177,8.23400432830766,2.5060396650341204e+48
2024-06-02 06:30:18.578182,8.3050608141383,2.479514082830386e+48
2024-06-02 06:30:19.578185,8.228803252289056,2.5125426471847833e+48
2024-06-02 06:30:20.578187,8.323214767862922,2.458325964504727e+48
2024-06-02 06:30:21.578187,8.374630117991924,2.432754250050711e+48
2024-06-02 06:30:22.578195,8.20675719589915,2.5275325537719368e+48
2024-06-02 06:30:23.578194,8.515537124501703,2.3625874398269865e+48
2024-06-02 06:30:24.578195,8.329993204750949,2.461820652768762e+48
2024-06-02 06:30:25.578200,8.384953794657493,2.4322513963368107e+48
2024-06-02 06:30:26.578201,8.37728632395528,2.441027772044837e+48
2024-06-02 06:30:27.578204,8.187408976462255,2.5393264717682434e+48
2024-06-02 06:30:28.578209,8.44192911171301,2.422214811251357e+48
2024-06-02 06:30:29.578212,8.370907074297905,2.436857337448222e+48
2024-06-02 06:30:30.578212,8.39592755755107,2.430499702841471e+48
2024-06-02 06:30:31.578213,8.162688203420739,2.5579689966690298e+48
2024-06-02 06:30:32.578218,8.345948470084407,2.4547494183217574e+48
2024-06-02 06:30:33.578222,8.335984848400344,2.4546653555376058e+48
2024-06-02 06:30:34.578225,8.454795122166761,2.4079792452218084e+48
2024-06-02 06:30:35.578228,8.319784234124977,2.4854192814996317e+48
2024-06-02 06:30:36.578228,8.336729553016033,2.465327915592667e+48
2024-06-02 06:30:37.578235,8.211892468321313,2.533282370581303e+48
2024-06-02 06:30:38.578238,8.496259330577718,2.3728236474293484e+48
2024-06-02 06:30:39.578240,8.241504161705294,2.4969537535934394e+48
2024-06-02 06:30:40.578244,8.431522635635991,2.4123665813369648e+48
2024-06-02 06:30:41.578243,8.239048763955598,2.511831645438356e+48
2024-06-02 06:30:42.578249,8.386297898373106,2.419293550196503e+48
2024-06-02 06:30:43.578251,8.415255150999876,2.4197560223777008e+48
2024-06-02 06:30:44.578253,8.417828959358197,2.4166944734148355e+48
2024-06-02 06:30:45.578256,8.122219924001504,2.5716466144486065e+48
2024-06-02 06:30:46.578257,8.576145067329023,2.3390110712621476e+48
2024-06-02 06:30:47.578261,8.34894574764036,2.4509424501306252e+48
2024-06-02 06:30:48.578264,8.37499201688281,2.4211796953076756e+48
2024-06-02 06:30:49.578265,8.166464903393905,2.5530407912343165e+48
2024-06-02 06:30:50.578269,,
2024-06-02 06:30:51.578276,8.231283344537562,2.509347768186795e+48
2024-06-02 06:30:52.578277,8.320795220681013,2.472440600042722e+48
2024-06-02 06:30:53.578276,8.408952810421795,2.4268839959519014e+48
2024-06-02 06:30:54.578279,8.11514389910329,2.5808896684365516e+48
2024-06-02 06:30:55.578283,8.415723860108274,2.4190676628311903e+48
2024-06-02 06:30:56.578290,8.436217280080612,2.4069529138173887e+48
2024-06-02 06:30:57.578287,8.265836352505763,2.491312161207146e+48
2024-06-02 06:30:58.578291,8.157367657216799,2.539894291904894e+48
2024-06-02 06:30:59.578295,8.204493808347346,2.5301477192922294e+48
2024-06-02 06:31:00.578296,8.23400432830766,2.5060396650341204e+48
2024-06-02 06:31:01.578302,8.26310219015695,2.4945942960506696e+48
2024-06-02 06:31:02.578300,8.345479523737252,2.4439772936598015e+48
2024-06-02 06:31:03.578303,8.232576561324333,2.4960027342513478e+48
2024-06-02 06:31:04.578310,8.14052205278862,2.548608481957373e+48
2024-06-02 06:31:05.578311,8.101361068642072,2.5606274023777307e+48
2024-06-02 06:31:06.578317,8.262940418959404,2.4830169133300416e+48
2024-06-02 06:31:07.578315,8.359900595897843,2.4272147814417892e+48
2024-06-02 06:31:08.578318,8.203854033578645,2.5068859590608453e+48
2024-06-02 06:31:09.578325,8.108056989738479,2.5646100517105997e+48
2024-06-02 06:31:10.578322,8.021958577278784,2.61158523695421e+48
2024-06-02 06:31:11.578329,8.461955958045376,2.378587892746522e+48
2024-06-02 06:31:12.578329,8.334599829095895,2.456278522325423e+48
2024-06-02 06:31:13.578335,8.082868367420899,2.584033258673512e+48
2024-06-02 06:31:14.578337,8.251795397658046,2.4729003982764945e+48
2024-06-02 06:31:15.578339,7.974123327396905,2.6491496865449902e+48
2024-06-02 06:31:16.578345,8.199315084601668,2.52441006776171e+48
2024-06-02 06:31:17.578349,8.346398297968872,2.4201263974385656e+48
2024-06-02 06:31:18.578353,8.124738574913737,2.5558384333795803e+48
2024-06-02 06:31:19.578351,8.079129015439719,2.5890668764611778e+48
2024-06-02 06:31:20.578355,8.295918584839617,2.4559457051891764e+48
2024-06-02 06:31:21.578357,8.20202304935969,2.5210750543223546e+48
2024-06-02 06:31:22.578357,8.175091909434286,2.5303133861000947e+48
2024-06-02 06:31:23.578365,8.225514412220265,2.504395895461548e+48
2024-06-02 06:31:24.578368,8.186650867907673,2.52787530567301e+48
2024-06-02 06:31:25.578369,8.473275426680782,2.3768599364937036e+48
2024-06-02 06:31:26.578372,8.297069397301119,2.466006520460137e+48
2024-06-02 06:31:27.578373,8.231758666331404,2.5091170718877563e+48
2024-06-02 06:31:28.578379,8.267204594156452,2.4896719726121975e+48
2024-06-02 06:31:29.578378,8.20497289108941,2.5176254786089458e+48
2024-06-02 06:31:30.578383,7.978689123569195,2.642953557856386e+48
2024-06-02 06:31:31.578385,8.316305749494987,2.4664221945763058e+48
2024-06-02 06:31:32.578385,8.179111517648685,2.5494940030245076e+48
2024-06-02 06:31:33.578388,8.285307968617264,2.468286666735033e+48
2024-06-02 06:31:34.578392,8.039643239503256,2.6145754775032468e+48
