image_index,image datetime,area_px,intensity_sum,mean_intensity,centroid_row,centroid_col,w_centroid_row,w_centroid_col,peak_intensity,peak thresh
3,2024-07-10 04:04:45.454930,1072.0,15783646.48828125,14723.55082862057,338.3414179104478,304.17910447761193,338.3495593799433,304.3401244207494,18057.072265625,6642.825654270475
4,2024-07-10 04:06:16.911680,2056.0,27729057.584960938,13486.895712529638,345.8657587548638,284.91634241245134,345.31293404933893,286.4644995886123,17067.0,6278.598422473006
7,2024-07-10 04:10:51.313805,1319.0,15121375.77734375,11464.272765234078,362.5473843821077,385.49658832448824,363.331975254658,383.2576271120073,16442.171875,6048.7370010198065
8,2024-07-10 04:12:22.803385,1278.0,13948581.820800781,10914.383271362114,362.320813771518,388.03051643192487,363.5121751784577,385.29430261286933,16164.4404296875,5946.565312122507
12,2024-07-10 04:18:29.203160,1534.0,19783344.923828125,12896.574265859274,362.3311603650587,260.6075619295958,362.02470661380937,261.5305949578217,15572.5791015625,5728.831697480894
13,2024-07-10 04:20:00.915445,2407.0,31358790.262695312,13028.163798377778,362.3714167012879,261.5500623182385,362.12155629622526,263.3192526109151,16704.060546875,6145.080459278312
31,2024-07-10 04:47:32.148260,1077.0,15673966.250976562,14553.35770749913,358.6870937790158,328.71866295264624,358.06067781997933,328.6457584799548,18267.447265625,6720.218291706918
32,2024-07-10 04:49:04.120545,2316.0,31616536.896484375,13651.354445804998,360.43048359240066,349.4145077720207,360.1753209975292,347.4188747472015,18384.45703125,6763.263778896644
33,2024-07-10 04:50:36.847050,2230.0,29458146.260742188,13209.931058628783,359.8322869955157,353.6,359.83109426291844,352.91013725532673,16009.41015625,5889.532861765663
63,2024-07-10 05:36:39.608500,2342.0,32491221.090820312,13873.279714269987,366.0789923142613,331.08368915456873,365.23161843451845,331.6187580176662,16506.767578125,6072.500432187508
64,2024-07-10 05:38:11.864670,2469.0,34323319.67578125,13901.709062689853,364.58444714459296,331.7318752531389,363.74855884705244,332.24148647675565,16437.560546875,6047.040588206123
65,2024-07-10 05:39:44.124955,1918.0,27246468.357421875,14205.66650543372,361.4822732012513,337.5568300312826,360.7664374788572,337.48588942493865,17474.318359375,6428.442472898751
66,2024-07-10 05:41:16.377240,1936.0,27983310.987304688,14454.189559558206,359.558367768595,335.63119834710744,358.88551827179464,335.358174136665,18632.619140625,6854.557517013445
67,2024-07-10 05:48:12.569105,1313.0,17911097.46484375,13641.35374321687,363.1964965727342,340.6945925361767,362.6939607792707,340.7174276743914,15662.853515625,5762.041798478286
68,2024-07-10 05:49:45.135400,1590.0,22549086.904296875,14181.815663079795,364.6389937106918,338.26666666666665,363.91351991283494,338.41116257327974,17175.607421875,6318.552860139453
69,2024-07-10 05:51:17.657685,1868.0,27177609.174804688,14549.041314135271,364.57976445396145,339.66488222698075,363.8940922236469,339.749438567437,18310.2265625,6735.955915535
70,2024-07-10 05:52:50.201855,383.0,5504247.58984375,14371.403628834856,331.52741514360315,306.3133159268929,331.96542492230236,306.523853801514,16119.6689453125,5930.094803470216
70,2024-07-10 05:52:50.201855,2823.0,42218062.21582031,14955.034437059976,364.5880269217145,347.60573857598297,364.3300634711957,347.5042423010343,20356.6953125,7488.80969565982
71,2024-07-10 05:54:21.338015,3491.0,54085701.70703125,15492.89650731345,357.78372959037523,336.6442280148954,357.897536064186,337.50791812209025,22360.1640625,8225.844659814267
72,2024-07-10 05:54:40.218045,3755.0,58944242.58984375,15697.534644432424,357.58695073235685,336.5411451398136,357.66854147952324,337.2233290307257,22468.673828125,8265.763171754037
73,2024-07-10 05:54:59.982100,3760.0,57812276.12890625,15375.605353432513,358.2659574468085,337.59175531914894,358.2147298597725,337.90289219291583,21038.30078125,7739.558334602969
74,2024-07-10 05:55:19.386240,3666.0,56443282.685546875,15396.421900040064,356.7836879432624,336.8417894162575,356.7511878963768,337.1336075262673,20840.166015625,7666.6686277482095
75,2024-07-10 05:55:39.674280,3608.0,55736356.830078125,15447.992469533849,356.73253880266077,336.41518847006654,356.69470667638143,336.91547547192266,21403.181640625,7873.790501244
76,2024-07-10 05:55:59.962320,3631.0,57337208.23046875,15791.024023814032,357.9044340402093,337.67722390526023,357.6154222619962,337.9417610482551,22042.47265625,8108.972522818049
77,2024-07-10 05:56:20.250350,3638.0,57898860.29394531,15915.02481966611,358.3490929081913,337.4158878504673,358.0189598231938,337.6552503281485,22245.0,8183.4781688587345
78,2024-07-10 05:56:40.539390,3425.0,52879633.943359375,15439.309180542883,357.5121167883212,337.3678832116788,357.0691364912165,337.3643529431279,20432.09765625,7516.5486677415865
79,2024-07-10 05:57:00.827420,3378.0,52070880.1015625,15414.706957241711,357.22409709887506,336.941089402013,356.7563048260781,336.9000471237999,20317.525390625,7474.3998866897155
80,2024-07-10 05:57:21.119585,3262.0,49183360.1171875,15077.670176942827,357.6125076640098,338.02023298589825,357.21148962085573,338.1096993949544,19974.291015625,7348.131016623886
81,2024-07-10 05:57:41.402625,3207.0,47617034.431640625,14847.843602008303,357.8525101340817,338.73308387901466,357.3882431349878,338.6815576501786,18754.6796875,6899.461082786901
82,2024-07-10 05:58:01.690655,3079.0,45231218.40234375,14690.230075460782,357.60798960701527,338.40759987008767,357.1241889933298,338.232398192027,17962.19140625,6607.920936745734
