image_index,image datetime,area_px,intensity_sum,mean_intensity,centroid_row,centroid_col,w_centroid_row,w_centroid_col
0,2024-07-10 04:00:27.322930,17.0,317773.06,18692.533,229.8235294117647,489.94117647058823,229.83097204288632,489.9476146766419
0,2024-07-10 04:00:27.322930,18.0,328606.88,18255.938,270.3888888888889,439.6111111111111,270.39293387264524,439.61978183385406
0,2024-07-10 04:00:27.322930,20.0,362473.16,18123.656,309.9,311.0,309.89993479850483,311.00039235129697
0,2024-07-10 04:00:27.322930,25.0,431863.72,17274.55,324.16,303.48,324.17433159674835,303.4748485417517
0,2024-07-10 04:00:27.322930,17.0,296101.38,17417.73,331.3529411764706,434.52941176470586,331.25720678104636,434.52215222417834
0,2024-07-10 04:00:27.322930,23.0,406398.5,17669.5,393.4782608695652,344.04347826086956,393.4536462959146,344.00734725165563
0,2024-07-10 04:00:27.322930,17.0,321717.4,18924.553,404.1764705882353,338.3529411764706,404.19140213039736,338.3381187364814
0,2024-07-10 04:00:27.322930,16.0,295826.12,18489.133,408.1875,342.9375,408.1960923212627,342.9281403005433
0,2024-07-10 04:00:27.322930,16.0,311655.53,19478.47,452.25,535.375,452.24767667005943,535.3768069086243
0,2024-07-10 04:00:27.322930,17.0,309046.7,18179.217,456.29411764705884,324.4117647058824,456.2952760009675,324.4147395672596
0,2024-07-10 04:00:27.322930,23.0,425125.25,18483.705,467.9130434782609,362.5652173913044,467.90735128636703,362.5606461015167
0,2024-07-10 04:00:27.322930,31.0,579222.75,18684.605,473.93548387096774,337.96774193548384,473.9262372849122,337.98084958611526
0,2024-07-10 04:00:27.322930,32.0,597788.5,18680.89,473.5625,348.875,473.5560259656132,348.87708553805373
0,2024-07-10 04:00:27.322930,22.0,401433.62,18246.982,472.8181818181818,372.59090909090907,472.8140378397118,372.58887437796307
0,2024-07-10 04:00:27.322930,28.0,540426.06,19300.932,473.10714285714283,560.7142857142857,473.09872640307134,560.7125567982226
0,2024-07-10 04:00:27.322930,20.0,387539.16,19376.957,473.7,486.2,473.7039574777232,486.20002564458673
0,2024-07-10 04:00:27.322930,21.0,405515.25,19310.248,475.2857142857143,498.85714285714283,475.2921355738362,498.8594335330726
0,2024-07-10 04:00:27.322930,19.0,355153.75,18692.3,479.05263157894734,363.4736842105263,479.05244974170023,363.4733570223838
0,2024-07-10 04:00:27.322930,22.0,422161.38,19189.154,478.8181818181818,477.54545454545456,478.81923683094556,477.5467846223335
0,2024-07-10 04:00:27.322930,16.0,303905.25,18994.078,489.0625,474.0625,489.0722938763435,474.0643785095794
0,2024-07-10 04:00:27.322930,26.0,480934.25,18497.47,493.7307692307692,336.84615384615387,493.72940616716437,336.84814687723264
0,2024-07-10 04:00:27.322930,19.0,365728.7,19248.879,526.578947368421,588.2631578947369,526.5660929856651,588.2697778404475
0,2024-07-10 04:00:27.322930,21.0,350316.5,16681.738,582.5714285714286,50.76190476190476,582.5672127130572,50.765538300883605
0,2024-07-10 04:00:27.322930,16.0,265527.56,16595.473,590.8125,49.875,590.8104651937527,49.874963848869676
1,2024-07-10 04:01:58.748680,62.0,1.1620871e+06,18743.34,578.4516129032259,380.30645161290323,578.4821130528227,380.3160247896293
1,2024-07-10 04:01:58.748680,24.0,444780.97,18532.541,582.1666666666666,367.2916666666667,582.1540843423411,367.2974996251007
1,2024-07-10 04:01:58.748680,18.0,332368.34,18464.908,600.0,316.3333333333333,599.9929077238585,316.3373784050651
2,2024-07-10 04:03:30.205430,20.0,377082.2,18854.111,338.0,522.7,337.99095078807574,522.6955970891502
2,2024-07-10 04:03:30.205430,17.0,328488.44,19322.85,633.1764705882352,537.6470588235294,633.1731743859784,537.6438195763936
3,2024-07-10 04:05:01.697055,16.0,287120.12,17945.008,252.625,587.375,252.6317719387129,587.378272814578
3,2024-07-10 04:05:01.697055,21.0,409494.44,19499.734,467.1904761904762,413.76190476190476,467.17154251991843,413.7563857204828
3,2024-07-10 04:05:01.697055,22.0,415905.62,18904.799,482.90909090909093,405.27272727272725,482.91089445182604,405.277401330535
3,2024-07-10 04:05:01.697055,22.0,418922.72,19041.94,511.59090909090907,577.0454545454545,511.5972336427429,577.0460299486283
4,2024-07-10 04:06:33.149805,22.0,375896.28,17086.193,72.9090909090909,552.1818181818181,72.91263397419851,552.1831749665224
4,2024-07-10 04:06:33.149805,18.0,310651.62,17258.422,221.38888888888889,311.6111111111111,221.38921228053556,311.6266088120461
4,2024-07-10 04:06:33.149805,20.0,323204.38,16160.217,387.95,284.25,387.88592152783707,284.43218785355066
4,2024-07-10 04:06:33.149805,23.0,440348.16,19145.572,452.60869565217394,508.82608695652175,452.6212036151688,508.83338381126913
4,2024-07-10 04:06:33.149805,32.0,611650.9,19114.09,497.0625,523.0625,497.07046128795923,523.0575124854529
4,2024-07-10 04:06:33.149805,21.0,401143.53,19102.072,498.9047619047619,550.2380952380952,498.90496121057663,550.2327421249223
4,2024-07-10 04:06:33.149805,128.0,2.484658e+06,19411.39,511.90625,545.1171875,511.93601565040547,545.1173449560363
4,2024-07-10 04:06:33.149805,21.0,401406.8,19114.611,509.57142857142856,448.04761904761904,509.5723788843241,448.050305172075
4,2024-07-10 04:06:33.149805,53.0,1.018915e+06,19224.81,511.52830188679246,525.6037735849056,511.53914662687845,525.6199853693944
4,2024-07-10 04:06:33.149805,16.0,310614.3,19413.396,512.125,553.8125,512.1234608995654,553.811230343004
4,2024-07-10 04:06:33.149805,17.0,322497.94,18970.467,522.5882352941177,576.1764705882352,522.5819480607516,576.1764267307252
4,2024-07-10 04:06:33.149805,31.0,588008.5,18968.016,544.5806451612904,343.5806451612903,544.5936330971515,343.56978244727344
